,musical_title,rate,review_title,review_text,review_date
0,엑스칼리버,5,최고,재연 기다릴게요!!,2021.09.27
1,엑스칼리버,5,총막!,아쉬운 부분이 많았지만 그래도 행복하게 보낼 수 있도록 해준 극,2021.09.27
2,엑스칼리버,5,최고,배우님들의 연기는 최규...,2021.09.27
3,엑스칼리버,4,재밌게 봤던 공연,재밌었습니다 !!,2021.09.27
4,엑스칼리버,5,재밌었어요,넘버들도 다 좋고 배우들 합도 잘 맞아서 잘 보고 나왔어요,2021.09.24
5,엑스칼리버,5,재밌었어요,넘버 정말 좋고 배우들 합도 잘 맞아서 잘 보고 나왔습니다,2021.09.24
6,엑스칼리버,5,최고에요...,제가 본 뮤지컬 중 최고에요.... 너무 재미있어요,2021.09.20
7,엑스칼리버,5,배우들의 열연이 돋보였어요,세 분 모듀 정말 잘하시고 마치 실존 인물들을 눈앞에서 보는 것 같았어요,2021.09.13
8,엑스칼리버,5,좋아요,좋아요,2021.09.13
9,엑스칼리버,3,넘버는 좋음...,지루하고 좀 뻔하지만 넘버가 좋아요,2021.09.13
10,엑스칼리버,5,와일드그레이.. ㅠㅠㅠㅠ 다시봐도좋아요,"최고의 넘버와 아름다운 이야기, 다시 없을 공연입니다!",2021.09.13
11,엑스칼리버,5,재밌었어요,잘봤습니다,2021.09.13
12,엑스칼리버,5,회색 안개,빠른 시일 안에 다시 만날 수 있기를...!,2021.09.13
13,엑스칼리버,5,뮤지컬 〈와일드 그레이〉,정말 재미있게 봤어요!!!!!!!,2021.09.13
14,엑스칼리버,5,뮤지컬 〈와일드 그레이〉,정말 재미있게 봤어요!!!!!!!,2021.09.13
15,엑스칼리버,5,뮤지컬 〈와일드 그레이〉,재밌게 관람했습니다!,2021.09.13
16,엑스칼리버,4,잘 봤습니당,재밌었어요...,2021.09.13
17,엑스칼리버,4,음...,나쁘지 않다. 이제 안녕.,2021.09.13
18,엑스칼리버,5,하.....개쩔어요,말해뭐해... 에녹 최고에요.,2021.09.13
19,엑스칼리버,5,잘 봤습니다.,와글 초연 행복했어요~,2021.09.12
20,엑스칼리버,5,와일드 그레이,세상에 이런극이 와일드 그레이 제목부터 포스터 색감까지 범상치않다 사랑을 했다 잘했다,2021.09.12
21,엑스칼리버,5,재연 꼭 왔으면 하는 공연,마지막까지 너무 재미있게 잘 봤어요. 관련 책들을 읽으면서 인물들을 더 잘 이해할 수 있었고 배우분들의 연기에 공감하면서 극을 더 재미있게 볼 수 있었던 것 같아요.,2021.09.12
22,엑스칼리버,5,제가안봤어요,지인지잘보고왔대요,2021.09.10
23,엑스칼리버,5,보고싶다,"재연 빨리 돌아와,,,",2021.09.10
24,엑스칼리버,5,와일드그레이,와일드그레이가 끝났다니  빨리 재연으로 와주세요  전곡 스튜디오 ost도 주시고요  감사합니다,2021.09.09
25,엑스칼리버,5,와일드그레이,성스카 너무 다정해서 눈물 나요  세 달 동안 참 행복했습니다,2021.09.09
26,엑스칼리버,5,페어막 너무 좋았어요,제가 좋아하는 페어 막공이라 아쉽기도 했지만 그만큼 좋은 공연 보여주셔서 잘 보고 왔습니다... 빨리 돌아와주세요 와일드그레이,2021.09.09
27,엑스칼리버,5,와글 ㅠㅜ,막공이라니 너무 아쉬워요 ㅠㅜㅠㅜ,2021.09.09
28,엑스칼리버,5,와일드 그레이 전곡 Inst OST 갖고 싶어요 ..,와일드 그레이 전곡 Inst OST 갖고 싶어요 .ㅠㅠㅠㅠㅠㅠㅠ 넘버 너무 좋아요 ㅠㅠㅠ,2021.09.08
29,엑스칼리버,5,ㅎㅎ와글,"와글이가끄,낫군요",2021.09.08
30,엑스칼리버,5,마지막..!,"마지막이라고 하니까 더 아쉽네요.. 저의 여름을 함께 했던 극, 곧 다시 돌아올 거라 믿습니다!!",2021.09.08
31,엑스칼리버,4,굿굿,넘버가 좋아요,2021.09.08
32,엑스칼리버,5,재밌어요,재밌어요,2021.09.07
33,엑스칼리버,5,이제 없어요...와글....,환상적인 넘버와 배우들의 연기.. 또 보고싶습니다.,2021.09.07
34,엑스칼리버,5,가지마 보시 나의도리안 돌아와 보시 나의도리안..,도리안그레이의 실화소재로 매력적인 넘버와 춤 연기력을 볼 수 있다.. 빨리 재연보고싶다,2021.09.07
35,엑스칼리버,5,뮤지컬 〈와일드 그레이〉,뮤지컬 〈와일드 그레이〉,2021.09.07
36,엑스칼리버,5,뮤지컬 〈와일드 그레이〉,뮤지컬 〈와일드 그레이〉,2021.09.07
37,엑스칼리버,5,뮤지컬 〈와일드 그레이〉,뮤지컬 〈와일드 그레이〉,2021.09.07
38,엑스칼리버,5,대학로뮤지컬 (개인적인) 편견을 깨준 작품,대학로 공연하면 영화 텍스트를 옮긴 커플용..제4의벽 깨고 호응만 유도하는 연기도 드럽게 못하는 그런 극들만 있는 줄 알고 있다가헤드윅 공연정보 찾으려고 갔다가 스페셜커튼콜보고 아니 이렇게 노래도 좋고 옷도 예쁘고 연기도 잘하고 잘생긴 배우들이 나오다니 해서 홀린듯 결제해서 갔는데너무너무 만족했습니다.노래도 너무 잘하고 발음 톤 감정 모든게 완벽.너무 좋았어요.,2021.09.07
39,엑스칼리버,5,캐슷변경이 아쉬웠지만 공연은 너무좋았어요,최고다  제작진 만세,2021.09.07
40,엑스칼리버,3,개인적으로 인물에 이입이 어려워,몰입도는 떨어졌지만 넘버는 정말 좋았어요,2021.09.07
41,엑스칼리버,5,와일드 그레이,와일드 그레이가 다시 보고 싶어지네요.. 꼭 금방 다시 볼 수 있으면 좋겠습니다!,2021.09.07
42,엑스칼리버,5,와일드 그레이,와일드 그레이가 다시 보고 싶어지네요.. 꼭 금방 다시 볼 수 있으면 좋겠습니다!,2021.09.07
43,엑스칼리버,5,돌아와,다시돌아와 모든캐슷그대로,2021.09.06
44,엑스칼리버,4,잘봤어요,재밌어요,2021.09.06
45,엑스칼리버,4,최고,와글...짱!,2021.09.06
46,엑스칼리버,5,"너무너무 좋았던 와글,,",넘버도 그렇고 배우들의 호연도 완벽했던 작품오래오래 기억 될 거 같아요.,2021.09.06
47,엑스칼리버,5,와글,와글은 레전드다,2021.09.06
48,엑스칼리버,4,와일드 그레이,음… 내가 이걸 왜 보았을까…,2021.09.06
49,엑스칼리버,5,와일드그레이 보내기 싫어지네요,오픈런 해주세요 제발요,2021.09.06
50,엑스칼리버,5,추천합니다!!추천합니다!!추천합니다!!추천합니다!!,추천합니다!!추천합니다!!추천합니다!!추천합니다!! 추천합니다!!추천합니다!!추천합니다!!추천합니다!! 추천합니다!!추천합니다!!추천합니다!!추천합니다!!,2021.09.06
51,엑스칼리버,5,추천합니다!!추천합니다!!추천합니다!!추천합니다!!,추천합니다!!추천합니다!!추천합니다!!추천합니다!! 추천합니다!!추천합니다!!추천합니다!!추천합니다!! 추천합니다!!추천합니다!!추천합니다!!추천합니다!!,2021.09.06
52,엑스칼리버,5,종영 아쉽네요,재미있게 잘 봤습니다! 넘버가 넘 좋았어요,2021.09.06
53,엑스칼리버,5,잘봤습니다,좋은공연 잘 봤습니다!,2021.09.06
54,엑스칼리버,3,와일드 그레이,다시 돌아올 때까지 안녕,2021.09.06
55,엑스칼리버,5,올해 가장 사랑했던 극,"처음 보고 나왔을 때 묘한 느낌과 귀에 맴도는 넘버들 때문에 두 번 세 번 보러 가다 보니 어느새 회전문을 돌고 있었습니다. 처음에는 넘버들이 좋았고, 이후에는 인물들의 감정도 점점 이해되다 보니 갈수록 매력이 크게 다가왔습니다. 특히, 배우들마다 대사나 디테일을 다르게 표현한 것과 세 인물을 맡은 배우들의 페어가 달라질 때마도 또 다른 느낌이 되는 극이라는 게 가장 큰 매력이었습니다. 다음에 올 재연까지 열심히 기다리고 있겠습니다 :)",2021.09.06
56,엑스칼리버,5,막공이 끝났지만..,"아직 와일드 그레이를 보내주지 못하고 있습니다. 시간이 일주일 밖에 안 지났다니...... 공연 중일 때는 시간이 느리게 흘렀으면 했고, 끝나고 나니 시간이 어서 흘러 재연이 빨리 오길 바라는 마음입니다 ㅠㅠㅠㅠㅠ 증정 OST로 버텨보고 있지만 전 넘버가 너무나도 좋기 때문에 전곡이 실린 OST가 꼭 꼭 나와줬으면 하는 마음입니다..!!",2021.09.06
57,엑스칼리버,5,감동적인 무대ㅜㅜ,배우분들이 보여주신 무대가 너무 감동적이고 슬펐어요ㅜ 정말 최고의 공연이었습니다!,2021.09.06
