,musical_title,rate,review_title,review_text,review_date
0,V 에버 애프터,5,돌아와 V에버애프터,2021년에 본 창작 뮤지컬 중에 가장 신선하고 에너지 넘치는 좋은 작품이었어요 초연 캐스트 그대로(중요×100) 앵콜 기다립니다 중계라도 해주세요,2022.01.03
1,V 에버 애프터,5,다시 돌아오길 바랍니다.,아무 생각없이 보기 시작했다가.. 타의가 아닌 자의로 나름 개인적인 기준으로 회전문 돈 작품 불가... 가 꼭 다시 데려오길 희망하며.. 레미의숲에서... 프란체스와 레미 그리고 조이까지 행보하게 살았으면 좋겠어요^^ㅋ,2021.12.20
2,V 에버 애프터,5,그래서 레미는,살았지요,2021.12.20
3,V 에버 애프터,5,해피에버애프터,돌아와요,2021.12.20
4,V 에버 애프터,5,V 에버 애프터,정말 다시 돌아와줘야 해요.. 너무 보고 싶을꺼야... 사랑해 혁준병,2021.12.20
5,V 에버 애프터,5,V 에버 애프터,시간이 없어 많이 보지는 못 했지만 페어막을 이렇게 챙겨볼 수 있어서 다행이에요 넘버가 유독 좋았고 고정페어로 해서 그런지 페어합도 너무 좋았습니다 얼른 다시 만날 수 있었으면 좋겠어요,2021.12.20
6,V 에버 애프터,5,그리워요,보고싶당,2021.12.20
7,V 에버 애프터,5,해피 에버 애프터....,샤이닝 에버 애프터....,2021.12.20
8,V 에버 애프터,5,븨앺 도라와....,도라와 븨앺....,2021.12.20
9,V 에버 애프터,5,뱀파이어 로맨스,총막공이라니요ㅠㅠ 기다릴게....300년이 지나면 다시 만나는거야...기다릴게..,2021.12.18
10,V 에버 애프터,5,어떻게 널 보내 가려거든 떠나려거든 내 가슴 못 전해,나 아프지 않게 레미랑 프란이랑 살아갈수라도 잇게  안된다면 어차피 못살거 죽어도 못보내ㅠ,2021.12.17
11,V 에버 애프터,5,어쩌면 이렇게 해피에버애프터,김지온 배우님 프란체스와 박상혁 배우님 레미를 볼 수 있다는 것이 정말 얼마나 감사한 일인지에 대해 생각해보는 시간이었습니다. 제가 이런 공연을 고작 43000원을 내고 봐도 될까요? 이렇게 행복하게 공연을 보고 있어서 정말 너무 감동적이고 행복하고 또 행복한 하루였습니다.,2021.12.17
12,V 에버 애프터,5,작가가 뱀파이어면 ..,뱀파이어 파트는 커버가 되니까.  신인들이라 처음에는 별 기대 없었는데 다들 노래도 잘하고 연기도 넘 좋았어요. 다시 만날 날을 기다릴께....,2021.12.17
13,V 에버 애프터,5,널 만나러 와도 될까,너무 재밌게 봣어요. 뱀파이어 로맨스 스토리라고 생각해서 어떨까 했는데 음악도 좋고 배우들도 최고,2021.12.17
14,V 에버 애프터,5,이런 뮤지컬도 있구나,끝난 지 좀 됐는데 계속 생각나요 어떡해요,2021.12.16
15,V 에버 애프터,5,재밌었어요,다음에 꼭 재연 또 와주세요 너무너무 즐거웠습니다!! 템푸스부깃 아모르마넷!-!,2021.12.16
16,V 에버 애프터,5,앵콜 올려주세요ㅠ,기다릴게요...,2021.12.15
17,V 에버 애프터,5,너무 좋아요,넘버도 스토리도 배우님들도 다 너무 좋았네요. 끝난게 아쉽습니다.,2021.12.15
18,V 에버 애프터,5,잘 봤어요,다음에 또 와주세요 약속,2021.12.15
19,V 에버 애프터,4,좋아요,재밌게 잘 봤어요,2021.12.14
20,V 에버 애프터,5,재밌어요,잘봤습니다~,2021.12.14
21,V 에버 애프터,5,재밌었어요,재밌었습니다,2021.12.14
22,V 에버 애프터,5,V 에버 애프터,꼭 다시 돌아와야 해요??,2021.12.13
23,V 에버 애프터,4,V 에버 애프터,혼란하지만 중독성 있는 넘버에 감겨서 세번이나 봤다  그렇지만 넘버가 아니었다면…? 두번만 봤을꺼같다,2021.12.13
24,V 에버 애프터,5,V 에버 애프터,기다려줄래 나를 기다려줄래 ㅠ 빨리 다시 돌아올꺼지 ㅠ,2021.12.13
25,V 에버 애프터,5,재미있어요,안녕 ㅠㅜㅠㅜㅠㅜㅠㅜㅠㅜㅠㅠ,2021.12.13
