,musical_title,rate,review_title,review_text,review_date
0,경종수정실록,5,재미ㅆ어요,재밍서요 너무너무!!,2021.12.13
1,경종수정실록,4,재밌지만 중간중간 약간 지루함,역사를 좋아하면 한 번 정도는 볼만한 극,2021.12.12
2,경종수정실록,5,언제 다시 볼 수 있을까,지금도 보고 싶네요,2021.12.06
3,경종수정실록,5,존잼 에녹,잘생겼너용 재밌음,2021.12.06
4,경종수정실록,4,예예 고생햇어요,ㅇㅖ 잘 보앗습니다,2021.12.06
5,경종수정실록,5,경종수정실록,막공다운 깔끔함이었다. 이번 시즌 너무 재미있게 봤고 증정오슷 빨리 받고싶고.. 스튜 오슷 내주면 좋겠고...^^,2021.12.06
6,경종수정실록,5,추천,벌써 끝이라니 아쉬워요,2021.12.06
7,경종수정실록,5,볼수록 재밌어서 아쉽네요,이번 시즌 많이 못 본게 계속 아쉽습니다  그래도 최선을 다해 관극해서 후회는 없네요  너무 늦지 않게 또 돌아와주시길 기대해보겠습니다,2021.12.06
8,경종수정실록,5,경종 삼연 언제죠...,초연 재연 캐슷 제발... 다시 보고싶습니다. ㅠㅠㅠ 평생 해주세요 ㅠㅠㅠㅠ,2021.12.06
9,경종수정실록,5,최고였어요,"총막, 정말 최고였어요. 가장 사랑한 페어 성태준, 신성민, 김종구 배우님. 다음에도 이 세 분 조합 꼭 보고 싶어요!!",2021.12.06
10,경종수정실록,5,질척..,오슷이랑 딥디줘요..,2021.12.06
11,경종수정실록,5,경종,재밌게 잘 보았습니다! 다음에 또 만 날 수 있기를!,2021.12.06
12,경종수정실록,5,최고의 마지막공연,"막공이 이렇게까지 완벽할 수 있다니 너무 행복하네요. 최고의 배우, 최고의 페어를 만나서 즐겁게 볼 수 있었습니다.",2021.12.06
13,경종수정실록,5,경종수정실록 돌아와.............,빠른 시일내로 돌아와아아아아악..... 그립ㄷㅏ...... 보여주마 경종 홧팅........,2021.12.06
14,경종수정실록,5,행복했어요,경종 돌아와... 이번에 스튜디오 오슷 나오는거 맞죠 기다릴게요,2021.12.06
15,경종수정실록,5,사랑해요,섭미니 진짜 고마웠습니다ㅠㅠ,2021.12.06
16,경종수정실록,5,너무 늦지 않게 와주세요.,"마지막은 항상 아쉬웠어요. 막공이라서 그런지 지난시즌 막공이 생각납니다. 이제는 모든 배우들이 무대에 서서 무대인사를 할 수 없지만, 그래도 좋아요. 재연에 초연 배우들이 모두가 온다는 것이 사실 쉽지 않은데, 똑같이 온 것이 너무 신기하고 감사하게 생각합니다. 마지막은 항상 아쉬웠어요. 막공이라서 그런지 지난시즌 막공이 생각납니다. 이제는 모든 배우들이 무대에 서서 무대인사를 할 수 없지만, 그래도 좋아요. 재연에 초연 배우들이 모두가 온다는 것이 사실 쉽지 않은데, 똑같이 온 것이 너무 신기하고 감사하게 생각합니다. 다음 시즌에도 이 배우들 그대로 보고 싶어요. 하실 수 있을거라고 생각합니다. 꼭 해내주세요. 정말 감사합니다. 미리 감사드려요. 추가캐슷 해주셔도 좋을거 같아요. 오래 걸리지 않게해주세요.",2021.12.06
17,경종수정실록,5,막공 아쉬워요,"마지막은 항상 아쉬웠어요. 막공이라서 그런지 지난시즌 막공이 생각납니다. 이제는 모든 배우들이 무대에 서서 무대인사를 할 수 없지만, 그래도 좋아요. 재연에 초연 배우들이 모두가 온다는 것이 사실 쉽지 않은데, 똑같이 온 것이 너무 신기하고 감사하게 생각합니다. 마지막은 항상 아쉬웠어요. 막공이라서 그런지 지난시즌 막공이 생각납니다. 이제는 모든 배우들이 무대에 서서 무대인사를 할 수 없지만, 그래도 좋아요. 재연에 초연 배우들이 모두가 온다는 것이 사실 쉽지 않은데, 똑같이 온 것이 너무 신기하고 감사하게 생각합니다. 다음 시즌에도 이 배우들 그대로 보고 싶어요. 하실 수 있을거라고 생각합니다. 꼭 해내주세요. 정말 감사합니다. 미리 감사드려요. 추가캐슷 해주셔도 좋을거 같아요. 오래 걸리지 않게해주세요.",2021.12.06
18,경종수정실록,5,존잼,재미가 장난 아니에요,2021.12.04
19,경종수정실록,5,재밌었어요!!!,넘버가 너무 좋아서 또 봤어요!!,2021.12.04
20,경종수정실록,5,3연 꼭 와야합니다..,모든 캐슷을 다 사랑했고 모든 페어를 다 사랑한 사람으로써 삼연만 기다려요 안오면 불충.. 늦게 와도 불충....,2021.12.04
21,경종수정실록,5,삼연 안오시면 불충..,서른번 넘게 봤는데 정말 안질리는 뮤지컬 작품은 처음이었고 너무너무 사랑해써요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2021.12.04
22,경종수정실록,5,재미있어요,"사극과 뮤지컬은 어울리지 않는다고 생각하고 기대를 전혀 안하고있었는데 장말 재밌게봤습니다!! 사극과 기타, 피아노가 너무 잘어울려서 깜짝놀랐습니다 세 배우님분들의 감정연기도 좋았고, 앞으로 이런 극이 많이 올라오면 정말 좋을 것 같습니다~",2021.12.03
23,경종수정실록,4,너무 좋았어요,꼭 보고 싶은 페어가 있어서 시간 쪼개 보러 갔는데 배우님들 연기가 너무 좋아서 같이 울다가 나왔어요ㅠㅠ 페어 따라 느낌이 달라서 신기했습니다ㅎㅎ 재밌게 잘 봤어요!,2021.12.03
24,경종수정실록,5,너무 잘 봤습니다. ,넘버들 너무 좋습니다. 그리고 피아노가 이렇게 위대한 악기인지 처음 알았습니다. 삼연 기대해봅니다.,2021.12.02
25,경종수정실록,5,삼연도 다들 손잡고 오시면 안되나요?,저 9명 배우들의 쫀쫀한 합과 성대의 합 절대 잊지못해요.. 막공날 그렇게 찢고가시면 더 보고싶자나여.... 손잡고 또 돌아오세요.,2021.12.02
26,경종수정실록,4,ㄹㅇ 사극 뮤는 오랜만,한번쯤은 보기에 괜찮고 나쁘지 않아요!,2021.12.02
27,경종수정실록,4,재밌어요,좀 지루하긴 한데,2021.12.01
28,경종수정실록,5,경종,다시 왔으면 좋겠네요,2021.12.01
