,musical_title,rate,review_title,review_text,review_date
0,드라큘라,5,돌아와요 샤큘님..,"할배님이였을때, 젊어졌을때 목소리와 연기가 바뀌는데 소름... 눈빛연기에 정말 감탄을 했네요!! 노래만 잘하는줄알았는데 연기까지 잘하는 김준수배우님 항상 응원합니다",2021.09.23
1,드라큘라,5,진짜좋았어요,취저였네요ㅎㅎ,2021.08.31
2,드라큘라,5,오디 컴퍼니 관계자님,제발 vod 내주세요…. 엉엉,2021.08.30
3,드라큘라,5,진화하는 드라큘라 김준수,"드라큘라는 2014년 16년 20년에 이어 4번째 올려진 작품입니다. 무대장치나 좋은 넘버도 좋지만 무엇보다 배우들의 원숙미에 큰 감동을 받았어요.  특히 드라큘라와 미나역의 김준수, 조정은배우님은 거듭되는 회차와 출연에도 진화하는 연기를 보여주셨습니다.  역할에 대한 높은 이해도에 섬세한 감정연기는 정말 감동 그자체.  만약 또 한번 드라큘라가 올려진다며 두 배우는 꼭 다시 연기해주시면 좋을거 같아요",2021.08.29
4,드라큘라,5,샤큘의 위대한 러브 스토리,명불허전 샤큘!!!눈과 귀를 모두 사로잡는 김준수 배우의 연기와 노래함께한 조정은 배우도 너무 잘하시고또 한번 더 보고 싶은 공연이었어요,2021.08.27
5,드라큘라,5,"이번 시즌, 가장 사랑했던 동젼페어.",다음시즌에도 두분 돌아오실거죠...? 전동석 드라큘라는 이제 고정하셔야 될것같고.. 이제 뮤지컬 드라큘라하면 전동석이 자동으로 떠오릅니다.  박지연미나는 이번 드라큘라에 새로운 바람을 불어오게 한 새로운 미나였고 최애 미나였어요.  다음 시즌이 언제가 될지모르지만 꼭 다시 뵙길 바랍니다.  동큘표 너무 구하기 어려워서 관극인생에 없을줄 알았던 하느님 자리에 앉았지만 볼수있어서 행복했네요.,2021.08.25
6,드라큘라,5,마지막이라니 아쉬었지만 좋았네요,이번시즌 정말 열심히 봤는데 마지막까지 좋았어요.,2021.08.25
7,드라큘라,5,드라큘라-김준수=0,저 말의 의미가 무엇인지 한번 더 느낀 공연!!!!,2021.08.25
8,드라큘라,2,배우는  아무나   하는게  아니다  ㅋㅋㅋ,노래 좀  하는  아이돌  ㅋㅋㅋ,2021.08.24
9,드라큘라,5,최고의 공연!,가장 좋아하는 뮤지컬이라 역시 기대를 져버리지 않네요!! 샤큘 최고최고!!,2021.08.22
10,드라큘라,5,덕분에 행복한 여름이었습니다,"샤큘을 보면 언제나 감사하고 언제나 복종하게 돼요ㅜ 뮤지컬 공연을 연달아 몇번씩 본게 처음인데요 볼때마다 더 좋아지는 즨님과 여러 미나,교수님,렌필드를 보는 재미가 있었어요 배우님들 마다 각자의 매력이 있어서 누가 낫다를 말할 수 없었네요 어제 엑칼을 보고 드라큘라가 생각나서 뒤늦게 후기 남겨봅니다. 감사합니다~",2021.08.21
11,드라큘라,5,역쉬 드라큘라,왜 김준수 김준수 하는지 알겠더라고요 무대변형이 정말 놀라웠어요 너무 몰입감있는 공연이었습니다,2021.08.20
12,드라큘라,5,시아준수 최고!!!,드라큘라는 역시 시아준수가 최고!!,2021.08.20
13,드라큘라,5,샤큘샤큘하는데는 다 이유가 있네요,잘 봤습니다!!,2021.08.20
14,드라큘라,5,추천합니다,좋은 뮤지컬 넘버가 많아요,2021.08.19
15,드라큘라,5,다시 돌아와 톡임 ㅠㅠㅠ,아직도 0724 톡임에 갇혀있어요비록 티몬 전관 취소되고 잔뜩 화난 상태로 잡은 표지만 그걸 배려해준듯 배우들 연기가 정말 너무너무 았습니다진짜ㅠㅠ 다시 돌아와 톡큘 ㅠㅠ,2021.08.18
16,드라큘라,5,역시???!,마티네의 연인이 또...! 톡선녀는 사랑이에요 정말 짱짱한 컨디션으로 아주 좋은 공연을 보여줬습니다. 신성록 드라큘라는 최고의 캐스팅!,2021.08.18
17,드라큘라,5,멋진 공연,몰입도 높아서 집중하며 잘 관람했습니다. 다음 공연도 기대합니다.,2021.08.18
18,드라큘라,5,.,말이 필요 없습니다. 계속 생각나는 뮤지컬...,2021.08.16
19,드라큘라,5,드라큘라,최고였어요,2021.08.16
20,드라큘라,5,돌아와요 내 사랑,진짜 선녀님 제발 다시 돌아온다고 해줘요...0,2021.08.16
21,드라큘라,5,드라큘라,마지막 공연이라 그런지 더 좋았습니다 ㅠ 다시볼수없는게 아쉽지만 너무 잘보고왔어요,2021.08.15
22,드라큘라,5,마지막공연,너무 감동적이고 최고였습니다 ㅠㅠ드라큘라 그 자체 ㅠ 너무 좋아요,2021.08.15
23,드라큘라,5,역시 드라큘라,넘버는 물론이고 무대장치와 배우들의 미친 연기력.코로나로 환호할 수는 없지만  손바닥이 아플정도로 열심시 박수쳤다,2021.08.15
24,드라큘라,5,다시찾은 록큘,샤큘 동큘도 좋은데이번에 처음만난 록큘에 푹 빠지고 말았다.뭐하나 흠 잡을곳 없는 록큘의 미친 연기와  감정 노래까지..새로운 록큘의 탄생을 축하하며 담에도 꼭오시길..,2021.08.15
25,드라큘라,5,록큘의 세미막공.,새로운 드큘 신성록. 노인에서 젊음이로 변할때의 모습이 아직도 기억난다정말 소름돋는 연기와 피지컬에 배우는 배우다..최고,2021.08.15
26,드라큘라,5,총막공,6번의 관극..록큘의 막공의 드라큘라 총막공.미나와의 이루어질 수 없는 슬픔.미친선곡들의 감동과 볼거리 배우들의 연기무대장치까지..보내야 하는 아쉬움.새로운 드라큘라 신성록 당신의 최고,2021.08.15
27,드라큘라,5,최고의 드라큘라,전동석배우님의 인생작으로 꼽을 수 있는데 아쉽네요. 맘껏 환호할 수도 없고 .... 담 공연에서 또다른 드라큘라로 만날 수 있길 바랍니다. 그동안 모든 배우님들 수고하셨어요.,2021.08.13
28,드라큘라,5,최고의 드라큘라,이제 언제 볼 수 있을려나...한번 더 남았지만 최고의 뮤지컬배우 전동석배우님... 이젠 프랑켄슈타인으로 오실거죠?!,2021.08.13
29,드라큘라,4,좋았어요~,드라큘라 즐겁게 관람하고 왔습니다. 1막 마지막 라이프 애프터 라이프~ 올해 공연 중 제일 만족했어요. 마지막까지 행복했습니다~ 다음에 다시 또 만나길!!,2021.08.13
30,드라큘라,4,재밌엉용,백작님 얼굴이 너무 재밌었어요,2021.08.12
31,드라큘라,5,드라큘라... 다시 와라 꼭,진짜 완전 후회 안 함. 제발 다음에 또 오기를 바랍니다. 기왕이면 샤롯데로!,2021.08.12
