,musical_title,rate,review_title,review_text,review_date
0,라 레볼뤼시옹,3,음,방향을 하나로 정했으면 더 좋았을거 같네요,2021.10.30
1,라 레볼뤼시옹,5,매력적이에여,좋아요,2021.08.30
2,라 레볼뤼시옹,5,재밌었어요,다시한번 보고싶은 작품이에요,2021.08.24
3,라 레볼뤼시옹,5,재밌네요,배우님들의 연기와 넘버 너무 좋았어요,2021.08.24
4,라 레볼뤼시옹,5,최고의 공연,불타오르는 혁명의 과정과 그 속에서의 레옹 이야기 그리고 한성과 연결되는 지점까지 배우들이 표현하는 극의 흐름이 너무 좋았습니다 노래는 물론 연출 또한 최고였습니다!,2021.08.23
5,라 레볼뤼시옹,4,잘봤어요,잘봤어요,2021.08.16
6,라 레볼뤼시옹,5,강추,노래 다 좋아요,2021.08.16
7,라 레볼뤼시옹,5,재밌어요,다시 재연오길 기원해요,2021.08.16
8,라 레볼뤼시옹,5,이시기에 생각나는 뮤지컬,배우들의 열연과 극이 주는 메세지까지 완벽했습니다.  삼연을 기다리겠습니다.,2021.08.16
9,라 레볼뤼시옹,5,혁명은 끝나지 않았다!,항상 좋았던건 아니지만 그래도 또 그립고 보고 싶어질 공연이 하나 늘었다.라레볼 잊지 못한다. 꼭 다시 볼 수 있기를 ㅠ,2021.08.16
10,라 레볼뤼시옹,5,김지온 레옹 짱,김지온 레옹 짱,2021.08.16
11,라 레볼뤼시옹,5,재밌어요,재밌어요,2021.08.16
12,라 레볼뤼시옹,5,김지온 레옹홍규 평생해,김지온 레옹 홍규 평생해,2021.08.16
13,라 레볼뤼시옹,5,재연와주세요,하ㅜㅜㅜ핵존잼 재연이 시급해요,2021.08.16
14,라 레볼뤼시옹,5,라 레볼뤼시옹,배우들이 너무 열연했던 그 날을 잊지 못합니다.,2021.08.16
15,라 레볼뤼시옹,5,라레볼 최고!,진짜 좋은 극이었어요! 강추!,2021.08.12
16,라 레볼뤼시옹,5,라레볼 왜 이제서야...,라레볼 왜 이제서야 봤는지.. 너무 감동적입니다. 조선과 프랑스를 오가는 장면들 최고에요!,2021.08.12
17,라 레볼뤼시옹,5,라레볼 최고입니다,라레볼 최고입니다! 다음에 또 만나요,2021.08.12
18,라 레볼뤼시옹,5,빅또르휴고에 버금갑니다,마리안느 혁명해…. 사랑아 홍규한다그리고 피에르야 원표하자,2021.08.12
19,라 레볼뤼시옹,5,라레볼이 돌아오는 꿈을 꾸겠소,조국은 프랑스지만 심장엔 한성의 목련꽃 품고 살아가는ㄱㅓ잖아요,2021.08.12
20,라 레볼뤼시옹,5,너무,재밌게 봤습니다,2021.08.11
21,라 레볼뤼시옹,5,끝난게 끝난게 아니다,나는 영원히 여기 살래 봄은 온다 무너지고 짓밟혀도 ㅠㅠㅠㅠㅠ 흔들리고 얼룩져도 ㅠㅠㅠ 반드시 봄은 온다 ㅠㅠㅠㅠㅠㅠㅠㅠ,2021.08.10
22,라 레볼뤼시옹,5,줄줄 울고 나왔어요ㅠㅠㅠㅠ,거기서 그렇게 외치고 나가는게 어딧어요 ㅠㅠㅠㅠ 이들의 동지애 안 울 수가 없었다,2021.08.10
23,라 레볼뤼시옹,5,라레볼 앵콜로 꼭 겨울에 돌아오자,봄 기다리면서 추운 겨울 같이 보내보고싶다,2021.08.10
24,라 레볼뤼시옹,5,아직도 혁명을 못 보내고,질척거리면서 후기 쓰네... 갓극이었어요... 봄은 온다 피날레에서 품 속의 태극기 꺼내 흔들고 싶은 극이었다구요,2021.08.10
25,라 레볼뤼시옹,5,다시 돌아와야 하는 극,보고싶다,2021.08.10
26,라 레볼뤼시옹,3,흥미로운 소재 배우들의 열연,갑신정변과 프랑스 혁명의 평행이론 구성은 재미있었고 넘버도 좋았다 3연 올때는 쉬어가는 넘버가 있었으면 좋겠다,2021.08.10
27,라 레볼뤼시옹,5,피웅덩이 앞에 빛나는 눈을 가진,관객이 오열함ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2021.08.09
28,라 레볼뤼시옹,5,세느강 북쪽에서 오늘도 들려온다,말발굽 소리와 함께 나타난 황금빛 마차,2021.08.09
29,라 레볼뤼시옹,5,꼭 다시 왔으면 좋겠습니다.,이 극을 다시 볼 수 있다면 좋겠습니다.,2021.08.09
30,라 레볼뤼시옹,5,혁명의 바람이 불어온다,이제 혁명의 바람은 어디서 느끼죠..,2021.08.09
31,라 레볼뤼시옹,5,이걸 이렇게나 보다니,하지만 너무 재밌어요... 또 보고 싶지만 없네....,2021.08.09
32,라 레볼뤼시옹,5,다시 올라올날을 기다리고 있겠습니다,꼭 다시 보고싶어요,2021.08.09
33,라 레볼뤼시옹,5,라 레볼뤼시옹,마지막까지 너무너무 좋았던 라 레볼뤼시옹... 꼭 다시 왔으면 좋겠어요. 가끔 프랑스시민이 될 수 있어서 재밌었어요.,2021.08.09
34,라 레볼뤼시옹,5,전혀 데뷔작 같지 않은 실력,준우배우님 너무...너무 잘하셔요 이번이 데뷔라니 믿을 수 없을 정도입니다...,2021.08.09
35,라 레볼뤼시옹,4,흥미진진,너무 재밌어서 왜 회전도는지 알겠더란,2021.08.09
