,musical_title,rate,review_title,review_text,review_date
0,마리 앙투아네트,5,재밌어요,추천헙니덩,2022.04.20
1,마리 앙투아네트,5,기대이상의 작품,뭔가 작품성에 비해 흥행이 덜되는것같아요 무대도 예쁘고 의상도 노래도 연기도 완전 몰아치는작품 배우님들 너무잘하십니다 ㅠㅠ 온라인 중계 기다릴게요,2021.10.26
2,마리 앙투아네트,5,마리 앙투아네트,멋졌습니다.,2021.10.23
3,마리 앙투아네트,5,마리 앙투아네트,나름 괜찮은 공연이었습니다.,2021.10.23
4,마리 앙투아네트,5,마리 앙투아네트,최고의 공연이었습니다.,2021.10.23
5,마리 앙투아네트,5,NCT 도영군을 관람하면서,안녕하세요? 최남수입니다. 뮤지컬 <마리 앙투아네트> NCT 도영군을 두번째 관람을 하였습니다. 샤롯데씨어터의 NCT 도영군의 관람은 관객들의 반응이 매우 뜨겁습니다. 저도 NCT 도영군을 보면서 뮤지컬 <마리 앙투아네트>에서 많은것을 느꼈는데요. 뮤지컬 <마리 앙투아네트>에서는 끝내는 누명을 뒤집어쓰고 단두대에 처형을 당하면서 비극을 맞이하면서 끝내는 누명을 뒤집어씌우면서 죽게 되는거죠. 극의 말미는 매우 안타까운거 같습니다. 뮤지컬 <마리 앙투아네트>에서는 마리 앙투아네트가 악셀 폰 페르젠 백작과 사랑에 빠지게 되는데요. 그중 마그리노 아르노가 마리 앙투아네트하고 배다른 형제입니다. 도영군의 그 찬란한 목소리와 감미로운거는 아직도 잊혀지지가 않는데요. 열심히 도영군도 멋진 공연과 멋진 활약을 펼치시길 바랍니다. 뮤지컬 <마리 앙투아네트> 다음 시즌에는 더 좋은 모습으로 관객들을 맞이하였으면 좋겠습니다.,2021.10.23
6,마리 앙투아네트,5,쏘마리 행복해야해,"슬픈이야기 이지만, 마리를 생각 하면서 잘 봤습니다.",2021.10.17
7,마리 앙투아네트,4,너무좋았어요.,"1막에서는 ....??? 하는 부분들이 많았는데, 2막까지보고나니까 1막을 보지 않았더라면 2막의 내용이 이해가 안갔을껀데, 전체적으로 모두 보고오니까 이해가 가고 배우님들의 연기가 너무 감동적이었어요,",2021.10.12
8,마리 앙투아네트,5,잘봤습니다.,좋았어요,2021.10.12
9,마리 앙투아네트,5,최고의 공연이었어요,두번째 보는 건데 몰입해서 봤습니다 김소향 마리앙트와네트 연기와 노래가 너무 좋았지만 유지 마그리드 김준현 오를레앙은 기대보단 좀 아쉬웠고 민우혁 페르젠은 괜찮았습니다 1막이 너무 긴 거 같아서 몰입은 잘 안됐지만 2막은 극전개가 스피디하게 전개되고 극적인게 많아서 재밌었습니다 특히 결말에 김소향배우님 연기가 대단했어요 정말 재밌게 잘봤습니다,2021.10.11
10,마리 앙투아네트,5,뮤지컬 마리앙투아네트 벌써 그립네요,눈을 뗄수 없을 만큼 화려한 무대와 의상들.아름답고 때론 웅장했던 노래들.각자 맡은 배역을 멋지게 소화해주신 배우님들.모두 그리울꺼예요~,2021.10.11
11,마리 앙투아네트,5,재밌어요,저무 즐겁게 잘봤습니다,2021.10.11
12,마리 앙투아네트,5,마리앙!!,정말 너무 고대했던 공연이었는데 드디어 보게됐어요 많은 앙상블 분들이랑 배우분들의 합창들이 너무 인상 깊었어요 우연히 좋은 자리 잡아서 간 건데 너무 재밌었고 또 보고싶네요 마리앙..,2021.10.11
13,마리 앙투아네트,5,생애 첫 뮤지컬,태어나서 처음으로 뮤지컬 보러갔는데... 너무 만족하고 재미있게 보고 왔습니다. 이창섭배우님 김소향 배우님 목소리 합이 너무 소름돋을 정도로 잘 맞았습니다.,2021.10.10
14,마리 앙투아네트,5,재미있었어요,또 보고 싶은 공연이에요,2021.10.10
15,마리 앙투아네트,5,향마리,향마리 막공이 믿기지가 않아요ㅜㅜ,2021.10.08
16,마리 앙투아네트,4,좋아여,좋아여 좋아여 재밌어여,2021.10.07
17,마리 앙투아네트,5,굿,재밌었다,2021.10.07
18,마리 앙투아네트,5,"멋진 연출과 배우, 앙상블이 돋보인 극","일부 가사의 불쾌함을 제외하고는 멋진 연출이 돋보인 극이었습니다.  배우들의 연기와 넘버도 훌륭했고, 앙상블도 멋졌습니다.  다음에도 다시 보고 싶은 공연이었습니다.",2021.10.07
19,마리 앙투아네트,5,재미있어요~~,재미있어요~~,2021.10.07
20,마리 앙투아네트,5,간만에 힐링했어요,화려한 의상과 무대 등 볼거리가 많은 극 오랜만에 봤네요  향마리 인생캐 저도 본사되었어요 한번쯤 보고싶었는데 대만족!!!,2021.10.07
21,마리 앙투아네트,5,마리 앙투아네트,마리 앙투아네트,2021.10.06
22,마리 앙투아네트,5,"완벽했던 쏘마리, 연그리드","쏘마리 연그리드 페어 너무 좋았어요. 공연의 두 M.A, 두 큰 축이 ""고마워, 마그리드""로 만나는데 울컥했어요. 막공이라서 그런지 기립박수가 나왔는데, 민영기 배우가 오케스트라가 들을 수 있도록 쿵쿵 치신게 기억에 남네요",2021.10.06
23,마리 앙투아네트,4,재밋뇌,재밋어요,2021.10.05
24,마리 앙투아네트,5,총막공 고생하셨습니다,마리앙투아네트와 함께 할수있어 행복했어요 모두 고생하셨습니다,2021.10.05
25,마리 앙투아네트,4,짱투아네트,티켓팅 너무 힘들었어요 사실 이거 용병표라 뭐라 쓸말은 없으나... 초연보단 많이 나아졌다고 하더라구여 이엠케이 화이팅 레베카 할인도 조금만 더 주세요 ^^7,2021.10.05
26,마리 앙투아네트,5,앙상블분들 너무 잘하시네요!,자첫 자막이었는데 막공주 아니었으면 ㅜㅜ 더봤을거같아요 아쉬워요 갓상블들 깨알연기 너무 귀엽고 ㅋㅋㅋㅋㅋ멋져요ㅠㅠ 문지기님 ㅋㅋㅋㅋ낚시하시는 배우님들 깨알연기 너무 재밌었고 ㅠㅠㅠ 쏘마리 ㅠㅠㅠㅠ 울때 너무 놀랐어요ㅠㅠㅠ진짜 덜덜떨면서 연기하시는데 ㅠㅠ최고입니다!,2021.10.05
27,마리 앙투아네트,5,좋은 시간 이였습니다.,좋은 시간 이였습니다.,2021.10.05
28,마리 앙투아네트,5,좋은공연 감사합니다.,좋은공연 감사합니다.,2021.10.05
29,마리 앙투아네트,4,좋았어요,전체적으로 배우분들이 다 실력이 너무 좋으셔서 귀가 즐거운 시간이였습니다!,2021.10.05
30,마리 앙투아네트,5,민영기 배우님 최고,민영기 배우님 최고 민영기 배우님 보러 왔는데 김연지 배우님도 너무 잘하셨음,2021.10.05
31,마리 앙투아네트,5,짱,재밌어요 역시,2021.10.05
32,마리 앙투아네트,5,가족이랑 같이 보러갔는데 넘 좋았어요,"자리가 좋아서 몰입하며 봤습니다 배우들이 1열관객들과 호흡하면서 연기하는 부분은 너무 좋았어요 옷과 무대도 화려하고 노래는 딱히 귀에 확 꽂히진 않았지만 배우들 성량과 역량이 대단했어요 공연은 약간 지루한 감도 있었는데 2막이 대단했어요 전개가 빠르고 마지막 재판부분은 너무 슬퍼서 눈물이 펑펑 나더라구요 대극장의 묘미를 다 느끼고 왔습니다 김소현, 김연지 두 배우 너무 잘하네요",2021.10.05
33,마리 앙투아네트,5,김소현 마리앙 최고의 공연,마리 앙투아네트 별로 끌리지 않아서 한번도 안 보다가 친구가 보라고 여려번 권유해서 봤습니다 1막은 지루했는데 2막은 전개도 빠르고 마지막에 배우들 열연에 눈물 펑펑 흘리고 봤어요 김소현 배우 평소 좋아하는 배우는 아닌데 정말 연기와 노래 잘하네요 2막에 몸을 아끼지 않는 연기에 감탄했어요 김연지 배우도 평소 좋아하는 배우가 아닌데 마그리드역 성량에 감탄하고 봤어요 여기 배우들 다 잘하네요 왜 진즉 마리앙을 보지 않았나 후회했어요 최고의 캐스팅 최고의 공연이었습니다,2021.10.05
34,마리 앙투아네트,5,정말 재밌어요,얼른 다시 보고싶어요 자주자주 볼 수 있기를,2021.10.04
35,마리 앙투아네트,5,정말 재밌어요,의상이 너무 예뻐요 그래서 우리애가 했나봐요,2021.10.04
36,마리 앙투아네트,5,재밌어요 또볼게요!,재밌어요 또볼게요!,2021.10.04
37,마리 앙투아네트,5,재밌어요 또볼게요!,재밌어요 또볼게요!,2021.10.04
