,musical_title,rate,review_title,review_text,review_date
0,"마마,돈크라이",5,덕분에 너무너무 행복한 여름이었어요,여러가지 우여곡절이 있었지만 그럼에도 불구하고 막공까지 멋지고 아름다운 공연 보여주신 조형균 배우님 응원합니다 사랑합니다,2021.09.13
1,"마마,돈크라이",4,굿굿,보름달이 뜨는 밤에 지옥으로 질주하는~,2021.09.08
2,"마마,돈크라이",5,다시 보고 싶은 공연,다시 보고 싶은 공연,2021.09.07
3,"마마,돈크라이",5,다시 보고 싶은 공연,다시 보고 싶은 공연,2021.09.07
4,"마마,돈크라이",5,다시보고싶은 공연,계속 생각 나는 공연이에요 꼭 다음 공연에서도 두 배우님 볼 수있었으면 좋겠어요,2021.09.06
5,"마마,돈크라이",5,다시보고싶은 공연,꼭 다시 돌아왔으면 좋겠어요,2021.09.06
6,"마마,돈크라이",5,좋은 공연이었습니다,기대했던 만큼 잘 보고 왔어요 코로나때문에 박수밖에 칠수없어서 아쉬웠습니다 최고였어요!!,2021.09.06
7,"마마,돈크라이",5,빨리 돌아와줘요,이주가 지났지만 여전히 아쉽습니다,2021.09.06
8,"마마,돈크라이",5,타임 플라이,다시 과거로 돌아갈 수 있다면 마돈크 첫공으로,2021.09.06
9,"마마,돈크라이",5,마스크 없이 빠르게 또 만나길,이번 마돈크는 코로나때문에 페어도 너무 적고ㅠㅠ취소되어 못보게 되어버린게 많아서 너무 아쉬웠네요. 마스크 안쓰고 볼수 있을때 이번 캐슷 분들 모두 다시 만날수있었으면 좋겠어요. 마돈크는 마돈크 너무나 매혹적인 넘버에 언제나 감동받아요. 좋았습니다,2021.09.06
10,"마마,돈크라이",5,마돈크 돌려줘요 딥디줘요 오슷줘요,아랜디는 바보야,2021.09.06
11,"마마,돈크라이",5,엄마 울지마,근데 내가 울어ㅠㅠ 가지마 마돈크,2021.09.06
12,"마마,돈크라이",5,또보고 또보고,넘 재밌어요 또올려주세요,2021.09.06
13,"마마,돈크라이",5,재밌었어요 ㅠㅠ,너무 재밌었는데 왜 OST랑 DVD 안 나오나요 ㅠㅠ 딥디 페어별로 낼 수도 있잖아요 ㅠㅠ 그렇게 예쁜 무대 좋은 노래를 왜 안주세요...ㅠㅠ,2021.09.06
