,musical_title,rate,review_title,review_text,review_date
0,멸화군,3,조선판 소방관 이야기~,재미있게 봤어요,2022.01.31
1,멸화군,4,잘봤습니다.,재밌게 잘 봤습니다.,2022.01.17
2,멸화군,5,멸화군,그래서 일지는요,2022.01.17
3,멸화군,5,재밌어요!,연출도 신선하고 재밌었습니다ㅋㅋㅋ,2022.01.17
4,멸화군,5,아쉬워요,어느새 마지막 공연을 마쳤네요. 박민성 배우님께서 말씀 하신것처럼 큰 극장에서 화려한 앙상블과 무대로 다시 만날 수 있었으면 좋겠네요. 다만 의상은 시대적 고증을 지켜주셨으면 좋겠습니다.,2022.01.17
5,멸화군,5,재연 언제와요,기다리고 있어요 언제오실거에요!!!!,2022.01.17
6,멸화군,5,진짜 재밌어요!,멸화군 최고! 재연 꼭 와주길 ㅠㅠ,2022.01.17
7,멸화군,5,멸화군,즐겁게 봤습니다 다음시즌 기대할게요,2022.01.17
8,멸화군,4,멸화군,총막이었는데 나름 잘 봤습니다서사가 좀 깔끔하지 않은 면이 아쉽습니다다음에 다시 극을 올린다면조금 더 채워진 공연이었으면 좋겠습니다,2022.01.17
9,멸화군,5,잘 봤습니다~~~,멸화군 짱!,2022.01.17
10,멸화군,5,좋은 공연이었습니다~,다시 올라올 수 있음 좋겠네요,2022.01.17
11,멸화군,5,재미있었어요,귀엽게 시작해서 마지막에 감동적이라 좋았어요,2022.01.17
12,멸화군,4,스토리가 더 보강 되었으면 좋겠어요,영상도 더 세련된 것이면 좋겠어요,2022.01.17
13,멸화군,5,멸화군 너무 사랑했다 다음에 더 멋진 모습으로 만나자,다음에는 이화사거리에 있는 큰 극장에서 뛰노는 며라군사들을 보고싶어요  중림 천수 연화 강구 칠복이 전캐 모두 사랑했따 안녕....,2022.01.17
14,멸화군,5,막공 끝나니 아쉽네요,재연으로 더 자주 볼 수 있었으면,2022.01.17
15,멸화군,5,그리워요,또 보고싶습니다ㅠㅠ,2022.01.16
16,멸화군,5,잘봤습니다,잘 봤습니다,2022.01.14
17,멸화군,5,재밌어요,네..,2022.01.13
18,멸화군,5,성중림!!,최고최고 짱짱! 민성배우 보러갑니다,2022.01.12
19,멸화군,5,20220102 멸화군 막공,세번째이자 마지막으로 본 멸화군..잊지 못할 것 같아요ㅠㅠ,2022.01.11
20,멸화군,5,불을 멸하는 자,매 회차마다 멸화군의 일원이 되어서 좋았음,2022.01.11
21,멸화군,5,벌써 끝났다니 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,왜 벌써 끝난거죠 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2022.01.10
22,멸화군,5,아쉬운 막공,막공 챙기러 갔어용 미련이 없을 줄 알았는데 보고 나오니 두 번만 본 게 아쉽더라고요ㅠㅠ 넘버도 좋고 배우들의 열창과 열연이 정말 멋진데 스케일이 따라주지 못해 아쉬울 따름이에요.. 그래도 막공인지라 객석이 처음 본 날보다 더 많이 차 있는 게 보기 좋았네요 어려운 시국에 끝까지 최선을 다해 준 배우들에게 박수를 보냅니다????,2022.01.10
23,멸화군,5,막공 너무 아쉽습니다,막공까지 재밌게 보았어요,2022.01.10
24,멸화군,4,막공..,막공이 끝난 지 일주일 정도가 지났네요. 유난히 좁았던 무대와 적은 수의 인원이 항상 아쉬웠는데 무인 때 잠깐 언급된 것처럼 극장 규모도 인원도 더 덩치를 키워서 재연 올 수 있겠죠?,2022.01.10
25,멸화군,5,잘 봤습니다,잘 봤습니다,2022.01.10
26,멸화군,5,재연으로 꼭 다시 만나길,"넘버가 주는 여운이 참 길어요 ,,불을 멸하는 멸화군을 꿈꿨던 천수가 이제는 희망의 불씨가 되어 타오를 준비를 한다는 게 .. 타올라, 불새 이 두가지 넘버로 너무 잘 와닿았던 것 같아요 ㅠㅠ 꼭 다시 봅시다 우리",2022.01.10
27,멸화군,3,그래요,서사 부족한데 배우들이 채움,2022.01.10
28,멸화군,2,역시,역시 아쉬운데 쫌만 디벨롭ㅠ,2022.01.10
29,멸화군,4,수고하셨어요,많이 힘드셨을 것 같은데 조기폐막 안하고 끝까지 와주셔서 감사하고 그동안 수고하셨습니다 재연기대할게요,2022.01.10
30,멸화군,5,멸화군!,멸화군!,2022.01.10
31,멸화군,4,100,성중림,2022.01.10
32,멸화군,5,좀 더 잘짜여졋더라먼,좋앗을틴디…아쉬움이 많리 남는 겅연,2022.01.10
33,멸화군,5,다음에는 좀 더 다듬어서 풍성하게 오길,고생많으셨습니다,2022.01.10
34,멸화군,4,음악이 주는힘,넘버가 귀에 쏙쏙. 자꾸생각나요,2022.01.10
35,멸화군,5,금방,돌아와줬으면 좋겠드,2022.01.10
36,멸화군,3,멸화군,멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 멸화군 ㅍㅍ,2022.01.10
37,멸화군,5,좋았습니다.,넘버가 좋았습니다.,2022.01.10
38,멸화군,5,좋았어요,재밌어용,2022.01.10
39,멸화군,5,ㅋㅋㅋㅋㄱㄱㅋ,밍수조아요,2022.01.10
40,멸화군,5,막공이라나,끝나버렸네요ㅠ,2022.01.10
41,멸화군,5,멸화군 또 와주세요,재연 기다리겠습니다   순종 배우님 너무 좋아요,2022.01.10
