,musical_title,rate,review_title,review_text,review_date
0,명성황후,4,뮤지컬 show,"예당 오페라극장 그 큰 무대를 가득 메운 건 앙상블 군무였다뮤지컬 show를 제대로 보여준 듯!2층에서 무대 전체를 내려다 볼 수 있어서 더 멋지게 느껴진건가근데, 창작뮤지컬인데 노랫말과 음을 좀 맞추면 좋을텐데곡에 한글가사를 끼워맞춘거 같은 부분들이 군데군데 들리고그냥 대사 처리해도 될 듯 한 부분에 굳이 음을 넣어서 어색했음(코미디 프로에서 뮤지컬 패러디 하는 듯한 ㅡㅡ)",2021.08.09
1,명성황후,1,재밌진 않고 조금 지루하네요,딱히 끌리는 넘버도 없고 음향도 좋지않아서 가사도 잘 안 들려서 뭐라고하는지 아예 못 들었어요.,2021.07.01
2,명성황후,2,생각보다 너무 안좋았던 음향,"배우님들은 정말 열연을 하셔서 보는건 즐거웠다.하지만 공연을 즐기기에는 음향이 너무 안좋았다.대사의 절반 이상을 못 알아들을 정도였고, 뮤지컬 넘버마저 가사전달이 안되니 장면전환 등으로 내용을 이해한거지 소리를 들어서 이해하는게 되지 않으니 뮤지컬도 절반만 즐긴 느낌이다.",2021.05.27
3,명성황후,3,재관람,"7,8년전쯤 봐서 내용이 기억 안나 재관람했어요. 역사적 내용이라 아는 스토리라 그런지 그냥 그랬네요. 그리고 별기군 깃발의 쇄 한자가 왜 간체자인지..;; 소품팀 신경쓰셔야 할듯.",2021.05.22
4,명성황후,3,좀 지났지만 후기를 남기자면...,배우님들의 열연은 좋았고 춤도 좋았습니다. 다만 벤허도 그랬지만 사실이 섞인 비극은 불편하다보니 마음이 좋진 않았어요. 그리고 좀 루즈한 감이 있습니다...,2021.04.30
5,명성황후,5,좋아여~,이시기에 이런 공연을 볼 수 있다는 것이 행복입니다,2021.04.19
6,명성황후,5,너무 재밌었어요 ㅎㅎ,뮤지컬 첫 관람이라 넘버 잘 안들리거나 취향에 안맞을까봐 걱정했는데 걱정과 달리 너무 재밌게 잘 봤습니다. 감사 합니다,2021.03.30
7,명성황후,5,역시짱짱,감동의물겨르 ㅠㅠ,2021.03.24
8,명성황후,5,막공했어요,"막공인데 좋았습니다. 무대인사는 없어서 아쉬웠어요. 배우들도 할말이 많았을텐데, 퇴근길도 없어서 무대인사로 뭔가 인사하고 싶었는데 없어서 아쉬웠어요. 그래서 음악감독님께서 지휘로 재미있게 해주셔서 좋았습니다. 마지막을 배우님들 모두다 웃으시면서 끝났어요.  막공인데 좋았습니다. 무대인사는 없어서 아쉬웠어요. 배우들도 할말이 많았을텐데, 퇴근길도 없어서 무대인사로 뭔가 인사하고 싶었는데 없어서 아쉬웠어요. 그래서 음악감독님께서 지휘로 재미있게 해주셔서 좋았습니다. 마지막을 배우님들 모두다 웃으시면서 끝났어요. 지방공연이 없어져서 많이 아쉬웠지만 다음엔 음향좋게 해서 보고 싶습니다. 약간 고어들이 많은데 대사들이 많이 잘 안들려서 듣기 힘들었어요. 다음에 온다면 좀더 뚜렷하게 듣고 싶습니다.",2021.03.22
9,명성황후,5,명성황후 25주년 공연 관람,"김소현 배우, 손준호 배우 공연을 관람하였습니다. 코로나로 작년부터 휴직중에 있고 이전에는 뮤지컬을 접하지 못하다 쉬게 되면서 뮤지컬과 오페라 등 공연을 보게 되었습니다. 역사적 배경을 하고 있는 작품이라 진지한 마음으로 관람하였고, 배우분들의 뛰어난 연기와 노래에 감탄하였습니다. 어떤 장면에서는 눈물이 맺히기도 했네요. 좋은 시간 보냈습니다. 감사드립니다.",2021.03.21
10,명성황후,5,대박임,무조건 보세요,2021.03.19
11,명성황후,3,명성왕후,너무 기대가 컸음,2021.03.19
12,명성황후,5,백성이여 일어나라,꼭보고 싶던공연이라 예매를 했지만 sns이벤트 당첨이 되어 초대를 받았다 하지만 입시가 미뤄져 시간이 안돼서 속상해하던 찰나 공연개막이 다행인지 불행인지 연기되어 입시가 끝나고 보게되었다. 괜히 25주년이 아니라는것을 느꼈다. 신영숙배우님을 봤다. 그래서 이번엔 김소현배우님걸 봤다. 소름돋는다 둘다 꼭봐라 팬텀 본다이제,2021.03.17
13,명성황후,5,명성황후,교과서에서 보던 작품을 직접봐서 좋았습니다.,2021.03.16
14,명성황후,5,만족스러운 공연이었습니다.,29회 회전문 달성!,2021.03.15
15,명성황후,5,공연은 끝났지만,여운이 가득하네요. 다시 또 볼수 있기를,2021.03.15
16,명성황후,5,좋아요~^^,&#128077;&#128077;&#128077;&#128077;&#128077;,2021.03.15
17,명성황후,2,사실 아쉬움이 많은 극,"무대 / 의상에 공들인 티가 나는건 좋았는데, 시나리오 자체의 재미 없음은.. 어케 안되는듯..  사건 나열식이라 등장 인물들의 감정선을 납작하게 만들어, 크게 공감하기 어렵다.  음향도 넘 안좋아서 사전 지식이 있지 않은이상.. 무슨 사건에 대해서 이야기하고 있는건지.. 알수도 없고..",2021.03.15
18,명성황후,5,뮤지컬 명성황후,뮤지컬 명성황후 공연 잘 보고왔습니다,2021.03.15
19,명성황후,5,명성황후,모든 배우님들의 훌륭한 연기와 노래 모두 잘 보고와서 행복햇습니다,2021.03.15
20,명성황후,2,아쉬움,아쉬워요,2021.03.13
21,명성황후,5,최고의 공연,명성황후는 정말 최고의 감동적인 공연 입니다.왜 25년동안 공연이 되고있는지 알것같습니다.너무 좋았습니다.,2021.03.13
22,명성황후,5,너무너무 좋아요,잘 보고 왔습니다.,2021.03.13
23,명성황후,5,어머니 보여드렸습니다.,재미있게 보았습니다.,2021.03.13
24,명성황후,5,어머니 보여드렸습니다.,너무너무 잘 보고 오셨다고 했습니다.,2021.03.13
25,명성황후,5,역시 막공이라 그런지 너무ㅠㅠㅠ 아쉽고 좋았습니다,너무 잘봤습니다.,2021.03.12
26,명성황후,4,배우들 열심히 하시네요,배우님들 다 너무 잘하십니다,2021.03.11
27,명성황후,5,너무 재미있었어요!,너무 재밌었어요! 기대했던 만큼 감동과 재미가 컸던 것 같아요. 그리고 25주년이어서 더 의미있는 공연이 아니었나 생각됩니다. 강력 추천합니다!!:),2021.03.10
28,명성황후,4,200224 명성황후,"무대가 화려해서 너무 예뻤어요!! 재미있고 배우들도 연기, 노래 전부 잘해서 좋았어요!",2021.03.10
29,명성황후,5,재미있어요,재미있습니다,2021.03.10
30,명성황후,5,조선후기 역사는...반전의 희망적 메세지,한국사 중 조선후기시대는 그야말로 울분의 시대이다. 뮤지컬 ''명성황후''가 뻔한 내용을 어떻게 풀어 갈지 기대하고 공연을 보았다. 마지막 ''명성황후''와 그 울분의 시대를 살다갔던 사람들이 주는 희망적 메세지는 감동에 전율을 느끼기에 충분했다. 나도 오늘을 사는 지금 이 시간이 처음이듯 혼돈의 시대에 나라와 백성을 걱정하는 마음은 하나였으리라~~명성왕후역 배우가 내뿜는 고음은 오랜시간 간직하고 싶다.,2021.03.10
31,명성황후,5,잘 보고 왔습니다.,25년의 깊이가 잘 느껴졌습니다. 잘 보고 왔습니다.,2021.03.10
32,명성황후,4,연출 너무멋졌어요,일본군의 안무와 넘버가 많은것같아서 혈압오름 하지마누연출은 넘 멋졌음,2021.03.10
