,musical_title,rate,review_title,review_text,review_date
0,"스웨그에이지 : 외쳐, 조선!",5,재밌네요!,재밌었습니다! 또 보고싶네요!,2021.07.01
1,"스웨그에이지 : 외쳐, 조선!",5,최고,말이필요없!,2021.06.14
2,"스웨그에이지 : 외쳐, 조선!",5,흥이 넘치는 뮤지컬,그야말로 흥이 나는 드라마가 있는 뮤지컬,2021.04.14
3,"스웨그에이지 : 외쳐, 조선!",5,우리나라 창작뮤지컬수준 높다!,멜론에서 음원 공개된거 듣고급하게 예매했는데만족스러워요스토리 넘버 다 맘에 들어요,2021.04.09
4,"스웨그에이지 : 외쳐, 조선!",5,최고,최고!,2021.04.07
5,"스웨그에이지 : 외쳐, 조선!",5,최고,최고!,2021.04.07
6,"스웨그에이지 : 외쳐, 조선!",5,최고,최고!,2021.04.07
7,"스웨그에이지 : 외쳐, 조선!",4,"경쾌한 음악, 해피엔딩",보면 신나는 뮤지컬이에요. 음악도 좋고 경쾌해서 신이 나죠. 단이의 이야기가 해피엔딩이여서 기쁩니다. 아쉬운 것은 중간중간 서사적으로 부족함이 느껴질 때? 물론 뮤지컬이기에 어쩔 수 없는 부분도 있는 것 같아요 일일히 다 설명할 수는 없으니까,2021.03.30
8,"스웨그에이지 : 외쳐, 조선!",5,너무나도 아름다웠다..,너무 멋졌습니다.... 이호원 배우 랩 실력에 감탄하고갑니다... 중저음 부분에서는 불안불안 했는데 고음 뚫는 모습에 안도했습니당.... 전체적으로 너무 좋아서 아직도 헤어나오지를 못하고 있습니다.......,2021.03.22
9,"스웨그에이지 : 외쳐, 조선!",5,최고예요,언제돌아오나요 희준단희준단 수하진의 막공을 볼 수 있어서 좋았습니다,2021.03.22
10,"스웨그에이지 : 외쳐, 조선!",5,역시 외쳐조선,신나고 흥겹게 잘 봤습니다 또 올거죠???? 기다릴게요 용십주 짱&#12336;,2021.03.22
11,"스웨그에이지 : 외쳐, 조선!",4,모두가 최고 조선 기다립니다,완벽했던 공연 다시 오는 그날까지 존버합니다,2021.03.22
12,"스웨그에이지 : 외쳐, 조선!",5,양희준 평생 홍단해,평생 홍단 해주세요,2021.03.22
13,"스웨그에이지 : 외쳐, 조선!",5,꼭 다시 와주세요,ㅠㅠ조선덕분에 행복한 1월 2월이었어요! 꼭 다시 와주세요 ㅠㅜㅠ,2021.03.15
14,"스웨그에이지 : 외쳐, 조선!",5,즐거웠던 공연!!,배우분들이 보여주신 무대가 너무나 감동적이고 즐거웠어요!! 정말 최고의 공연이었습니다!!,2021.03.15
15,"스웨그에이지 : 외쳐, 조선!",5,끝났다는게 너무 아쉬워요,끝났다는게 너무 아쉬워요,2021.03.15
16,"스웨그에이지 : 외쳐, 조선!",5,조선 스웩,그건 바로 조선 스웩! 한국인의 흥은 이곳에서 폭발한다,2021.03.15
17,"스웨그에이지 : 외쳐, 조선!",5,오에오,너무 늦게서야 봤어요 ㅠㅠ,2021.03.13
18,"스웨그에이지 : 외쳐, 조선!",5,오에오,너무 늦게서야 봤어요 ㅠㅠ,2021.03.13
19,"스웨그에이지 : 외쳐, 조선!",5,오에오,너무 늦게서야 봤어요 ㅠㅠ,2021.03.13
20,"스웨그에이지 : 외쳐, 조선!",5,오에오,너무 늦게서야 봤어요 ㅠㅠ,2021.03.13
21,"스웨그에이지 : 외쳐, 조선!",5,오에오,너무 늦게서야 봤어요 ㅠㅠ,2021.03.13
22,"스웨그에이지 : 외쳐, 조선!",5,오에오,너무 늦게서야 봤어요 ㅠㅠ,2021.03.13
23,"스웨그에이지 : 외쳐, 조선!",5,오에오,너무 늦게서야 봤어요 ㅠㅠ,2021.03.13
