,musical_title,rate,review_title,review_text,review_date
0,시카고,5,어떻게 이렇게 믿고보는 배우들만,최정원 배우님 애드립 넘 재밌고 아이비배우님 푼수연기 넘 재밌었어요 ㅋㅋㅋ큐ㅠㅠㅠ 최재림배우님 뺏으려해엣~~~~~~~~네~~~ 진짜 감동의순간 잊을수없습니다ㅠㅠㅠ,2022.01.15
1,시카고,5,시카고,재밌어요~~,2022.01.10
2,시카고,3,조금 아쉬움,오래전에 봤던 무대보다 작은 스케일이라 그런가.... 물론 연주자들이 무대에 있고 그걸 이용하는게 특이했던 건 맞는데...,2022.01.03
3,시카고,5,크리스마스,즐거운 공연 관람으로 가족들과 좋은 시간 보낼 수 있었습니다:),2022.01.03
4,시카고,5,12.25,즐겁게 잘 관람했습니다 :),2022.01.03
5,시카고,5,크리스마스,재밌게 잘 봤습니다 :),2022.01.03
6,시카고,5,좋았습니다.,좋았습니다.,2022.01.03
7,시카고,3,팊배우 혼자 콘서트에서 노래하는 줄,가사 틀리고 혼자 성량 딸리고....아쉬웠어요.,2022.01.01
8,시카고,5,재밌었어요-,크리스마스에 좋은 추억 만들었습니다!!,2022.01.01
9,시카고,5,최고의 공연이었습니다,최고의 공연이었습니다. 화려한 무대가 좋았어요.,2022.01.01
10,시카고,5,재밌게 잘 봤습니다,오페라하우스는 소리가 앞쪽 위주로만 나외서 아쉽긴 했지만 배우분들 연기나 노래가 아쉬움을 잡아줬습니다,2021.12.29
11,시카고,4,부모님 선물,선물로다가 예매해드렸어요,2021.12.29
12,시카고,4,가족끼리 관람,영화를 재밌게 봐서 보러갔다왔어요~,2021.12.29
13,시카고,4,바람불고 추운 날씨에도 많은 관객이 오셨네요,"그날 많이 추운 날씨였는데도 관객들이 많이 오셔서 성황리에 공연이 진행되었습니다 입구에서 방역패스 체크도 불편함이 없이 순조롭게 진행되었구요 경쾌하고 신나는 음악과 배우들의 멋진 열연으로 바깥날씨는 추웠지만,, 공연장 실내는 정말 후끈후끈 했답니다 시카코와 함께 해피 크리스마스 였습니다",2021.12.28
14,시카고,5,그냥 보세요. 제발 봐주세요,첫 내돈내산 뮤지컬이라 걱정이였는데 진짜 돈이 하나도 아깝지 않고 재미있었어요ㅠㅠ,2021.12.28
15,시카고,5,최고의 뮤지컬,"가기 전에도 영상들 보면서 엄청 기대 많이 하고 갔는데, 저의 기대를 넘어섰던 뮤지컬이었어요ㅠㅠ  배우분들 정말 최고였어요!!!",2021.12.27
