,musical_title,rate,review_title,review_text,review_date
0,엔딩 노트,5,잘봤습니다.,잘봤습니다.,2022.02.14
1,엔딩 노트,5,잘봤습니다.,잘봤습니다.,2022.02.14
2,엔딩 노트,4,최고의 뮤지컬,호불호가 많이 갈릴수 있다고 하지만 전 정말 재밌게 봤어요! 막공으로 자첫해서 너무 아쉬워요ㅠ,2022.02.14
3,엔딩 노트,5,강력추천합니다,강력추천합니다! 꽃길만 걷길ㅠ,2022.02.14
4,엔딩 노트,5,마지막 공연 그립다,너무너무 좋았습니다,2022.02.14
5,엔딩 노트,4,너무 슬퍼요,총막공을 레전공연으로 만들어주셔서 감사했습니다... 정말 잊지못할 공연일거에요... 정말 진심으로 너무 많이 행복했어요... 제 1월이 하나도 안아까웠어요... 다시보고싶네요 그립다 엔딩노트...,2022.02.14
6,엔딩 노트,4,최곱니다,배우들의 연기가 배우들의 노래가 배우들의 감정이 정말 짱입니다... 자유극장 의자의 고통이 안느껴질정도로 행복했습니다 진심으로요..................................,2022.02.14
7,엔딩 노트,5,재연 꼭!!,올때 극장은 바꾸고!!! 오슷도 데려오세요!!!!,2022.02.14
8,엔딩 노트,5,재밌어요,슬픈데 재밌어요. 마지막까지 멋진 공연이였습니다. 좋게 잘 보내줄 수 있을거 같아요.,2022.02.14
9,엔딩 노트,5,너무 슬퍼요,너무 슬픈데 무언가 남는다. 슬픔이 지나간 빈자리 라는 넘버처럼 이 공연이 그런것같다. 슬픔만 있는게 아니다,2022.02.14
10,엔딩 노트,5,에디,그리고 알피의 이야기,2022.02.14
11,엔딩 노트,5,엔딩노트,엔딩노트,2022.02.14
12,엔딩 노트,5,^^,뮤지컬 엔딩노트 내용은 슬프지만 넘버도 좋고 배우님들 연기도 너무너무 좋았어요 김준영배우님 막공이라 보러 왔는데 오늘공연도  너무너무 좋았어요^^,2022.02.14
13,엔딩 노트,4,엔딩노트 화이팅,화이팅이에요 진짜 총막했지만,2022.02.14
14,엔딩 노트,5,재밌게 보았습니다!,두 형제와 그들을 지켜보는 A까지.. 너무 잘 보았습니다ㅠㅠ 에디와 알피가 부디 행복하길,2022.02.14
15,엔딩 노트,5,엔딩노트,재밌어요,2022.02.14
16,엔딩 노트,5,엔딩 노트,드디어 끝이 났다!,2022.02.14
17,엔딩 노트,5,엔딩 노트 관람평,오랜만에 많은 생각 할 수 있는 연극 본것 같아 좋았습니다 배우들이 다들 너무 잘하네요,2022.02.14
18,엔딩 노트,3,ㅎㅎㅎㅎ,ㅎㅎㅎㅎㅎㅎ,2022.02.14
