,musical_title,rate,review_title,review_text,review_date
0,잭더리퍼,5,최고..,기대한 것 보다 진짜 너무 너무 재밌었어요.. 엄수페어 막공 못 간게 천추의 한 ㅠㅠ,2022.02.25
1,잭더리퍼,5,잭더리퍼,넘버도 좋고 배우들의 연기도 좋고 너무 재미있었습니다!,2022.02.14
2,잭더리퍼,5,역시 엄다니엘ㅠㅠ,다니엘 장인답게 엄다니엘 연기 미쳤습니다ㅠㅠ 사랑에 빠진 순수한 청년부터 광기 어린 모습까지 완벽하게 소화해내는 모습에 감탄하면서 봤네요... 엄기준 배우의 오열 연기는 언제 봐도 압권이예요ㅠㅠ,2022.02.14
3,잭더리퍼,5,넘버좋아요,중독성있는 넘버 최고입니다,2022.02.14
4,잭더리퍼,3,안녕.....,"10주년 공연 이후로 다시는 못볼것 같았던 잭더리퍼. 다시 돌아와서 반가운 마음도 잠시. 변함없는 모습에 실망이 더 컸던 공연이였습니다. 연출을 고민을 하기는 한건지.. 짹의 장인인건 인정하지만, 시대의 흐름과 변화를 읽고 극의 발전을 위해 고민을 조금이라도 했었으면 하는 바램입니다. 소재가 그러니 어쩔수 없었다라고 말하기엔 불필요한 대사와 불필요한 몸동작들이 너무 많았고 굳이 저렇게 연출을 해야할까 싶은 장면들이 불쾌하게 느껴지기까지 했습니다. 마지막 무대인사에서 다음에 또 올수도 있다 했는데, 제발 성의를 가지고 고민을 해주시길.. 의상도 좀.. MR도 좀...",2022.02.12
5,잭더리퍼,5,재밌게봤어요,이홍기 다니엘 노래 정말 잘하시네요 김바울잭이랑 조성윤 앤더슨이랑 호흡도 좋았어요,2022.02.09
6,잭더리퍼,5,즐거웠습니다~,그동안 즐거웠습니다~ 안녕~다니엘~~,2022.02.09
7,잭더리퍼,5,막공 너무 좋았습니다.,"엄기준, 신성우 배우님 캐스팅으로 봤는데 연기도 좋았고 막공이라 커튼콜도 길게 해주셔서 정말 즐거운 시간이었어요~",2022.02.09
8,잭더리퍼,5,배우들의 멋진 연기가 좋았어요,"많은 공연은 진짜 주인공 중심으로 가는데,  이 공연은 앙상블들의 비중이 높아서 좋았어요,  앙상블들의 합창과 군무가 주는 짜릿함이 있거든요,  그리고 앙상블들도 그만큼 무대에서 본인을 보여줄 수 있는 기회가 많아서 좋구요",2022.02.08
9,잭더리퍼,5,배우들의 멋진 연기가 좋았어요,"많은 공연은 진짜 주인공 중심으로 가는데,  이 공연은 앙상블들의 비중이 높아서 좋았어요,  앙상블들의 합창과 군무가 주는 짜릿함이 있거든요,  그리고 앙상블들도 그만큼 무대에서 본인을 보여줄 수 있는 기회가 많아서 좋구요",2022.02.08
10,잭더리퍼,5,새로운 잭,잭더리퍼의 젊은피들이 좋은 연기를 보여주었어요 김바울님의 잭은 정말 너무 멋지네요!!,2022.02.07
11,잭더리퍼,5,엄기준배우님 최고,배우님 연기 장난 아니에여,2022.02.07
12,잭더리퍼,5,엄다니엘 지방에서 만나요...,지방 공연 홍보대사 엄기준 배우님,2022.02.07
13,잭더리퍼,5,재밌어요,재밌게 봤습니다 강력 추천합니다,2022.02.07
14,잭더리퍼,4,서울 막공 고생하셨습니다,서울 막공이라 그런지 배우 한분 한분마다 열정 가득한 공연이었지만 음향이 너무 울려서 첫마디 못들은 곳들은 좀 아쉬웠어요. 엄다니엘 님은 어쩐지 이전에 봤을때보다 목상태도 안좋아보이신것 같아서 무리한게 아닌가 싶던데... 그래도 멋있었어요~ 믿고보는 배우들 가득(솔직히 한명은 빼자...)한 공연에서 좋은 공연 감사했습니다!,2022.02.07
15,잭더리퍼,5,마지막까지 홍다니엘은 멋있었습니다,"항상 기대 이상의 가창력과 연기력을 보여주는 홍다니엘! 고생 많이 하셨고, 잭더리퍼 공연동안 항상 응원했습니다! 앞으로도 응원할게요!",2022.02.07
16,잭더리퍼,5,잭더리퍼,"남우현 배우님, 김수 배우님, 김법래 배우님, 백주연 배우님, 조성윤배우님 캐스팅으로 봤는데 정말 좋았습니다. 다들 배역이랑 이미지도 잘 어울리시고 무대 장악력도 완벽했습니다. 막공 아쉬워요",2022.02.07
17,잭더리퍼,5,홍다니엘 연기 노래 칭찬해요,막공 홍다니엘 법래잭으로 봤어요.  홍다니엘의 연기 쫌 무서웠네요. 홍다니엘의 고음과 법래잭의 저음이 너무 좋았구요.  공연시간이 어떻게 지났는지 모를만큼 몰입해서 봤네요.  린지글로리아도 좋았고 성윤앤더슨 대웅먼로 소냐폴리까지 연기에 구멍에 없었어요.  물론 앙상블 너무 멋졌구요.  서울에서 다시 못 봐 아쉽지만 남은 지방공연도 화이팅해서 하시길 바래요.  화이팅!!!!!!,2022.02.07
18,잭더리퍼,5,잭더리퍼 너무 재밌어요..!!!!,결말장면을 먼저 보여주고 이 장면이 왜 나오게 됐는지 보여주는게 아 이래서 이 장면이 나왔구나! 하면서 보는데 너무 재밌었구요 무대규모가 정말 크고 배우분들의 연기와 노래 소름돋을정도로 대단하고 좋았습니다! sf9인성이 잭역할 배우분의 목소리를 따라하며 노래부르는데 배우분들이 다를 때마다 목소리를 다르게 하니 소름돋았어요... 진짜 천재...♥,2022.02.07
19,잭더리퍼,5,잘봤습니다,엄다녤 최고,2022.02.07
20,잭더리퍼,5,잘 보고 왔데요!,배우들이 다 잘하고  바울배우는 첫 뮤지컬인데 잘 어울리고 저음이 너무 좋았다고 해요. 공연장의 단차와 좌석도 만족스럽데요,2022.02.07
21,잭더리퍼,5,뮤지컬 잭더리퍼,홍기다니엘 많이 좋아했어요ㅠ,2022.02.07
22,잭더리퍼,5,좋아요,잘봤어요,2022.02.07
23,잭더리퍼,5,짹,재밌었어요,2022.02.07
24,잭더리퍼,5,엄엉 짱,엄다니엘과 엉더슨 넘 좋았어요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2022.02.07
25,잭더리퍼,4,다니엘과 짹!,살인마 잭 이야기에 사랑을 추가한 잭더리퍼 처음엔 오글거렸지만 배우들의 연기에 몰입하고 봤다,2022.02.07
26,잭더리퍼,4,오랜만에 다시 본 잭더리퍼,2022년에도 이 극을 다시 볼 거라고는 생각지도 못했는데 무언가 좀 바뀐 거 같다가도 이전 시즌들과 비슷하게 살짝 아쉬운 느낌 1막보다 빠르게 지나간 2막은 역시나 흥미진진했다,2022.02.07
27,잭더리퍼,5,마지막..,서울 막공이라 그런가.. 배우님들 너무 열정적으로 해주셔서 감사했습니다.  너무 좋은 시간 보내고 온거 같아요 ㅎㅎ  보면 볼 수록 매력있는 극인거 같아요 ㅎㅎ,2022.02.07
28,잭더리퍼,5,즐거운 시간,아니 이 페어 왜 이거밖에 안주신 겁니까 ㅠㅠ?  김법래 배우님 저음 무슨일이예여 ? 최고최고!  엄기준 배우님은 완전 귀엽고 섹시하고 난리 ㅠㅠ  최고의 시간을 보내고 왔습니다!,2022.02.07
29,잭더리퍼,5,추천합니다!,엄기준 배우님이랑 김법래 배우님이랑 친하시다더니 두분 호흡이 진짜 최고였던거같아요!  덕분에 후반에 쫄깃쫄깃하게 잘 보고 왔습니다 ㅎㅎ,2022.02.07
30,잭더리퍼,5,엄기준 최고!,엄기준 배우님 엄다니엘 찰떡이시네여 ㅎㅎ,2022.02.07
31,잭더리퍼,1,최악,관람한 적 있고 배우 믿고 봤는데 실망,2022.02.07
32,잭더리퍼,5,엄기준 배우님,엄다니엘의 막공을 운 좋게 좋은 자리에서 볼 수 있어서 너무 좋았어요 마지막에 신잭이랑 같이 아우~ 하고 들어가셔서 너무 고마웠고  막공 커튼콜과 무인 해서 30분씩이나!  마지막 다니엘은 단테주 박사님께 소개를 받고 왔고 여전히 펜트하우스를 꿈꾸던  너무 귀엽고 멋진 다니엘과 무서운 잭. 그리고 카리스마 넘치던 앤더슨의 커튼콜 무인 손하트까지..  지방공연 홍보도 잊지 않던 배우님들...  잭더리퍼의 지방공연도 응원합니다!,2022.02.07
33,잭더리퍼,4,재밌게 잘 봤습니다~~,재밌게 잘 봤습니다~~,2022.02.07
34,잭더리퍼,5,총막,총막 무대인사에서 배우들의 진심이 느껴졌습니다,2022.02.07
35,잭더리퍼,5,조성융 배우님 너무 잘 어울리세요 !,조성융 배우님 너무 잘 어울리세요 !,2022.02.07
36,잭더리퍼,3,잭더리퍼!,!!!!!,2022.02.07
37,잭더리퍼,5,서울 막공 정말 좋았습니다~~,"12월에 시작한 공연이 막공이 되었어요~  회차가 거듭될수록 배우분들의 섬세한 디테일이 추가되었고, 여러번 관극을 하면서 새롭게 알게되는 포인트들이 있어서 좋았습니다b  남우현 배우의 연기와 다른 배우분들과의 케미도 좋았습니다!!  이제 지방공연으로 하는데 지방공도 가서 볼 생각이에요",2022.02.06
38,잭더리퍼,5,믿고보는 배우들로부터 만들어진 공연,"평소 뮤지컬을 좋아하고 즐겨보는 관객으로서 이번 잭더리퍼가 올라온다고 했을때 기대가 매우 컸었습니다. 코로나로 계속 관극을 미루다가 막공때서야 보게되었는데, 역시는 역시더라구요. 엄기준 배우님은 2009년 이후로 매번 다니엘 역할을 하고 계시는데, 너무 오래하지 않았나 생각하시는 분들이 있을 수 있지만 무대에 엄기준 배우님은 없었습니다. 다니엘만 있었을뿐,,, 순수하고 사랑에 빠진 청년의 모습부터 흑화하는 다니엘까지 너무 표현을 잘하셔서 감탄 그 자체였다구요ㅠㅠ 엄기준 배우님을 포함해서 이건명, 신성우 배우님은 잭더리퍼 하면 빼놓을 수 없는 분들인만큼 연기부터 노래까지 너무 너무 잘하셔서 역시 연륜의 힘인가..했습니다ㅎㅎ 또, 앙상블의 하모니 또한 너무 좋았습니다. 다만 몇몇 장면은 연출이 조금 아쉬웠긴 했지만 그 또한 좋았기 때문에 아마 저는 지방 공연도 돌 것 같습니다.// 넘버를 알고 봐서 더 몰입이 잘 되었던 것 같아요. 혹시 지방 공연 가시는 분들은 미리 넘버를 듣고 가시는 걸 추천드립니다.",2022.02.06
39,잭더리퍼,4,막공인거 아쉬움..,회도는 언제 들어도 엄청 멋있네요 막공이라 너무 아쉬웠고 지방에서 봐요!!,2022.02.06
40,잭더리퍼,5,엄다녤~,"엄다녤 막공~ 2009년 첫공부터 여러시즌 회전문 돌았던 기억이 떠오르며, 젊은 엄다녤과 나름 어렸던 내모습이 떠올랐음. 격정적인 슬픔과 울분이 참 매력적인 엄다녤~ 그래도 배우님, 이제 다녤은 졸업합시다!!!",2022.02.06
41,잭더리퍼,5,모든 배우님들 수고 많으셨어요,"엄배우님의 애드립 단태주,펜트하우스 등등 너무 재밌었고 마지막에 강태을 배우님의 비대면 무대인사도 인상깊었어요커튼콜 동영상 찍으면서 제가 손하트 날렸었는데 이건명 배우님께서 받아주시고엄기준배우님과 아이컨캑도 많이해서 좋았어요",2022.02.06
42,잭더리퍼,5,굿굿,아주 재미있는 경험,2022.02.06
43,잭더리퍼,5,모든 배우님들 다 고생하셨습니다,모든 배우님들 다 고생하셨습니다,2022.02.06
44,잭더리퍼,5,모든 배우님들 다 고생하셨습니다,모든 배우님들 다 고생하셨습니다,2022.02.06
45,잭더리퍼,5,모든 배우님들 다 고생하셨습니다,모든 배우님들 다 고생하셨습니다,2022.02.06
46,잭더리퍼,5,막공,모든 배우님들 다 고생하셨습니다,2022.02.06
47,잭더리퍼,5,뮤지컬 잭더리퍼,먼저 배우분들의 합이 너무 좋아요. 대배우분들만 모여있어서 그런가 애드립도 자연스럽게 잘 받아치시고 서로 즐기시면서 무대하는게 보이더라구요. 또 무대의 연출이 너무 좋아요. 무대 회전이 정말 잘 되어서 몰입감이 떨어질일이 없어요.마지막으로 앙상블 분들의 합이 너무 좋더라구요. 매우 추천합니다. 지방공연도 응원해요,2022.02.06
48,잭더리퍼,5,추천합니다.,"주연배우, 앙상블 모두 최고. 무대 최고. 지방공연도 응원합니다.",2022.02.05
49,잭더리퍼,5,너무좋음,역시 제가 너무 좋아하는 뮤지컬,2022.02.05
50,잭더리퍼,4,잘 보고왔어요,이홍기 김바울 조합으로 보고 왔습니다. 확실히 젊은 배우분들이라 다크한 극의 분위기에 무게감은 살짝 아쉬웠지만 연기도 훌륭하고 배우분들 성량도 짱짱하니 재밌게 잘 보고 왔네요. 다만 음향은 별로 좋진 않았고 오케 연주가 아닌 MR이라는 것도 약간 아쉬운 포인트였습니다.,2022.02.05
51,잭더리퍼,5,남자 앙상블분들,상의 탈의하실 준비가 안되신거 같은데 ...보는거 고통이에요 ㅠㅠ 셔츠라도 입혀주세요 ...,2022.02.05
52,잭더리퍼,4,관람등급 조정해주세요,살인사건에 군무 씬도 야한 장면 있는데 15세 관람가로 해 주시지 ㅠㅠ 앙상블 여러분 고생하셨습니다 배우분들도 지방공까지 사고 없이 잘 마무리하시길 바랍니다,2022.02.05
53,잭더리퍼,5,막공 역쉬,글로리아  까지도 완벽한 공연이였고 마지막 주연님  막공인사에  울컥하셔서 맘 아픔 우현배우님 넘 잘하셨고 앞으로도 기대합니다,2022.02.05
54,잭더리퍼,4,앙상블 기억에 남아요,섬세한연기랑 춤선이나 단체춤 합이나그런게 멋졌어요끝나고 가장 기억에 남더라구요조금아쉽긴했어요ㅠㅠ극 내용이나 감동적인부분이나 기타다른부분은결국 취향의 문제겠지만요중간에 밝고경쾌한음악에 끔찍한살인에 대한 걸 얘기하는걸보자니 기분이 이상해지더라고요일부러 더 대조적으로 표현한건지는 몰라도,2022.02.05
55,잭더리퍼,5,김바울 잭 최고네요.,다음 후속작 당장 보고 싶어질 정도. 너무 보고싶어요.,2022.02.05
56,잭더리퍼,5,어느덧 막공일,아쉽네요,2022.02.05
57,잭더리퍼,5,넘 재밌었어요,봤던 뮤지컬이었지만 또 재밌게봤습니다.,2022.02.04
58,잭더리퍼,5,김바울 쵝오~,"제가 관람한 날은 김바울과 정수지배우의 막공이어서 마지막인사할 떄 감격스러웠습니다. 특히 김바울의 뮤지컬 데뷰작이었는데도 너무나 카리스마있게 역할을 100% 소화했습니다.  마지막에 김홍기와 둘의 엔딩포즈 , 뒤돌아서 양팔을 다른각도로 올리는~ 너무너무 멋있었어요.  내용은 침울하고 좀 엽기지만, 대체로 괜찮았습니다. 다른 배우들것도 보고싶습니다.",2022.02.04
59,잭더리퍼,4,재밌게 봤습니다.,"스토리가 아주 맘에드는건 아니었지만,  나름 몰입도 괜찮은 작품이었습니다. 배우님들 모두 성량도 좋고 멋지네요.",2022.02.03
60,잭더리퍼,5,역시 엄법건,"확신의 엄법건 페어! 이 페어 사랑합니다.. 하지만 페어막,,. 스케줄 누가 이렇게 짠거죠...",2022.02.03
61,잭더리퍼,5,굿굿,엄다녤 최고다!,2022.02.03
62,잭더리퍼,4,재미있었어요.,"살인마 소재를 창작뮤지컬에서 창의적으로 재미있게 살렸더라고요. 재미있게 보았습니다. 배우들 간의 케미도 상당히 좋은 것 같더라고요. 엄기준, 강태을, 이건명 간의 연기가 인상적이었습니다.",2022.02.03
63,잭더리퍼,5,잭더리퍼 쵝오!!,생각보다 너무 재밌고!! 노래도 다들 너무 잘하시고!! 연기력 또한 쵝오였습니다!! 뮤지컬 정말 오랜만에 보는거였는데 대만족입니다!!,2022.02.03
64,잭더리퍼,4,재밋어요,뭔가 약간 진입 장벽이 잇을수있는데 그래도재밋어요 보다보며ㅛㄴ,2022.02.03
65,잭더리퍼,5,잭 더 리퍼 공연 후기,"배우님들이 연기를 잘해서 편하게 감상함. 개인적으로 먼로 역 하신 분이 분위기를 잘 살려줬다고 생각하고, 실화를 바탕으로 상상을 덧붙인 사건이라 실제 사건을 알고 있으면 더 즐거운 감상 가능",2022.02.03
66,잭더리퍼,5,끝까지 자리를 지켜야하는 뮤지컬,사실 극의 3/4까지는 잭 뿐만 어니라 경찰도 기자도 의사도 목적이 너무 이기적이라서 으휴 으휴 하면서 스토리가 막 맘에 들진 않았는데요 끝까지보니 와......하면서 완전 만족하고 나왔어요 진짜 대박이에요 한 번 더 보고싶어요 ㅠㅠㅠ 근데 이제 끝물인게 너무 슬퍼요  무대 구성도 너무 신기하고 신기하고 진짜 대박!!  근데 ㅋㅋㅋㅋㅋㅋ 개인적으로 재밌던건 이거 배겅은 1881~1888년인데 중간에 신문 기사 배경 나오는거엔 1988년 10월이라고 나와서 옥의 티 발견한 느낌ㅋㅋㅋ  여튼 만족한 뮤지컬입니다!!!,2022.02.03
67,잭더리퍼,4,살인의 추억이 생각나게 하는 뮤지컬,"가족 관람으로 보았습니다.  8세 이상 관람이라, 11살짜리 아이도 데려갔는데, 8세가 관람하기에는 무리가 있어 보이네요. 대사에 나오는 내용, 단어, 하나하나 어린이들이 이해하기에는 어려운 내용들도 다소 보였습니다.  15세 이상은 되어야 어느정도 수준?이 맞을 것 같습니다.  뮤지컬 자체는 나쁘지 않았습니다.",2022.02.03
68,잭더리퍼,4,정말 좋았어요!,스토리가 어두운 편인데 배우들의 노래 및 연기가 너무 좋더라구요~ 이홍기 배우의 시원시원한 가창력 최고에요!!,2022.02.03
69,잭더리퍼,5,재미있어요,바울 잭 멋집니다!,2022.02.03
