,musical_title,rate,review_title,review_text,review_date
0,창업,5,이 조합 찬성입니다,또 언제오나요?,2022.02.14
1,창업,2,글쎄요..,지금 와서 쓰는.. 말이지만.. 다신 안 볼 것 같아요,2022.02.14
2,창업,5,모두 정말 고생하셨어요??,창업 너무 재밌게 잘봤어요! 정치 랩도 재밌고 넘버가 다 너무 좋아요!! 만족스러웠어요????,2022.02.09
3,창업,1,어휴씨 막공하면 영원히 볼 일 없을줄 알았더니,뇌절의뇌절의뇌절의뇌절 ^.^,2022.02.09
4,창업,1,부산공연을 또 한다는게 믿기지 않는,네....,2022.02.08
5,창업,5,"창업 정말 재밌고 배우분들의 연기, 노래 좋았어요!!","제 최애 sf9재윤의 첫 뮤지컬이고 저도 처음 보러 간 공연인데 이성계와 이방원, 그 당시 있었던 역사적 사실을 기반으로 이방원이 어떤 심정으로 창업을 이루고 왕이 되었는지 알게되어서 좋았습니다. 배우분들의 노래와 연기 정말 탄탄하고 재밌었습니다 감사합니다! 공연장은 소극장이였는데 2층이여도 시야가 가까워서 좋았습니다!",2022.02.07
6,창업,5,안녕,자막합니다. 길었다 ㅎㅎㅎ,2022.02.07
7,창업,5,좋은 공연 감사합니다!,긴 여정 끝에 무사히 마무리되어서 행복합니다ㅜㅜ,2022.02.07
8,창업,5,최고의 공연이었습니다!!!,인상적이 공연 이었습니다~~~~~~~~~~,2022.02.07
9,창업,5,좋아요,좋은 이야기가 있는 극입니다,2022.02.07
10,창업,5,최고의 공연이었습니다!!!,최고의 공연이었습니다!!!,2022.02.07
11,창업,1,다신 안봄... ㅎ,얼탱이가 없어서 정말 휴,2022.02.07
12,창업,5,이재윤 미침,이제윤 진짜 개쩔어 창업 막공이라이 창업 못보내요 .. 광사는 좃같지만 이재윤은 개쩐다 진짜 이걸로 이재윤 입덕했어요 쟁방원 사랑해 응응 뽀갈,2022.02.06
13,창업,3,창업 리뷰_점진적 변화와 급진적 개혁,"점진적 변화와 급진적 개혁  지금 이시대에 필요한 것은 무엇일까. 현재 내가 원하는 바는 어떤것인가. 내가 원하는 바를 이루기 위해서는 힘이 필요하다. 그리고 과거의 잘못된 나의 모습에서 벗어나 새로운 나로 리셋할 것이다. 무대 활용이 좋았으며, 배우들의 연기와 노래도 우수했습니다.  단, 몇몇 대사와 노래가 유머를 주기 위하여 첨가된 부분이 공연의 흐름을 방해하는 요소 입니다.",2022.02.05
14,창업,5,공연이 끝난 후 적는 후기,그동안 재미있게 잘 보았습니다.,2022.02.04
15,창업,4,잘 봤습니다!,배우님들 연기 진짜 너무 좋았어요!!,2022.02.03
16,창업,5,재밌어요,이재윤 짱!!!,2022.02.03
17,창업,5,재밌어요 추천!!!,창업 다음에 또 돌아와주세요 재밌어요~~~!,2022.02.03
18,창업,5,창업,쟁방원이 이제 끝이라니...,2022.02.03
19,창업,5,창업,좋다 애배 잔뜩 생김,2022.02.03
20,창업,3,굿굿굿,굿굿굿,2022.02.01
21,창업,3,굿굿굿,굿굿굿,2022.02.01
22,창업,3,굿굿굿,굿굿굿,2022.02.01
23,창업,3,굿굿굿,굿굿굿,2022.02.01
24,창업,5,좋아요,질봤어요!,2022.02.01
25,창업,5,잘 보고 왔고 추천합니다.,역시나 잘 보고 왔습니다.,2022.02.01
26,창업,5,막공 무대 인사도 잘 봤습니다,긴 시간동안 다들 고생하셨습니다,2022.02.01
27,창업,5,막공 아쉬워요,끝나서 아쉬워요,2022.02.01
28,창업,5,나의선택 나의길,스페셜 커튼콜 좋았어요,2022.02.01
29,창업,5,굿,친구가 재밌게 잘 봤대요!,2022.01.31
30,창업,5,행복한 시간,성장하는 배우의 모습을 본다는 것은팬으로서 참 행복한 일.,2022.01.31
31,창업,5,잘봤습니다,잘가 창업,2022.01.31
32,창업,4,창업,재밌어용,2022.01.31
33,창업,4,고생하셨습니다,무대인사도 너무 좋았어요 그동안 고생하셨습니다,2022.01.31
34,창업,5,재밌습니다!!,잘 봤어용,2022.01.31
35,창업,5,굳,잘봤습니당,2022.01.31
36,창업,5,넘버 좋은데,오슷은 같고 싶은데ㅠㅠ,2022.01.31
37,창업,5,막공 봤어요,예그린때부터 봤는데 오래 공연한만큼 배우분들 연기도 넘버도 좋아진 게 느껴졌어요. 무대인사에서 오랜만에 뵙는 배우분들도 반가워서 생각보다 제가 창업에 스며들어 있었구나 하는 생각이 들었습니다. 오랜기간 더 좋은 무대를 보여주기위해 노력해주신 배우분들께 박수를 보내고 싶어요. 제가 이 공연을 몇차례나 관극한 것은 모두 넘버와 배우분들 때문이었습니다. 수고 많으셨습니다. 다른 공연에서 또 뵈었으면 좋겠어요! 새해 복 많이 받으세요~,2022.01.31
38,창업,1,창업...,전체적인 공연 진행에 있어서 트러블도 좀 있고 아쉬웠네요....,2022.01.31
39,창업,5,뮤지컬 창업,정말 좋은 공연이었어요! 추천합니다♥,2022.01.31
40,창업,5,쟤방원을 다시는 볼 수 없다는 것을 생각하니 시원섭섭하네요,재윤아 수고했어!,2022.01.31
41,창업,5,뮤지컬 창업,정말 좋은 공연이었어요! 추천합니다♥,2022.01.31
42,창업,5,잘봤습니다,잘봤습니다,2022.01.31
43,창업,3,막공,볼만한 극,2022.01.31
44,창업,4,스페셜커튼콜,찐막공은 못가서 아쉽지만 스페셜커튼콜 너무 재미있었어요!,2022.01.30
45,창업,5,막공 ....,마지막까지 열연하신 배우님들께 감사드립니다 ♡???????????????????,2022.01.29
46,창업,5,즐겁게 보고 왔습니다.,재밌게 보고 왔어용 추천합니다.,2022.01.27
47,창업,5,거의 6개월을 보고 있는데,배우님들의 열연으로 봐도봐도 질리지가 않아요. 매 공연마다 최선을 다해주시고 디테일의 변화를 끊임없이 주어서 매번 새로운 느낌입니다.,2022.01.27
48,창업,5,자막공 후기,"찐 막공을 못가는 아쉬움이 컸지만, 신영규의 막공을 함께 할 수 있어서 좋았음 특히 커튼콜 ㅋㅋㅋㅋ 넘나 귀여웠음 쟁방원 신영규 둘다 정랩 짱잘함~ 물론 이하정 배우가 더 잘하긴 했음 그래도 쟁방원 신영규 둘다 귀여웠음 이제 더 못본다니 아쉽고 마지막까지 함께할 수 있어서 즐거웠음",2022.01.27
49,창업,5,스페셜 커튼콜 회차 좋았습니다!,극은 말할 것 없이 좋았고 가면 없는 백성의 노래!!! 스페셜 커튼콜 마지막 아이돌 엔딩 인상 깊었습니다^^,2022.01.24
50,창업,5,좋았어요,좋았어요,2022.01.24
51,창업,4,몇달만에 다시 보니까,훨씬 좋아졌네요. 넘버 추가된게 신의 한수인듯,2022.01.24
52,창업,5,정말 재밋고 열정적이에요,후반부로 갈수록 정말 재미있어요.   강력추천합니다.  배우들의 열연이 너무 인상적이에요.,2022.01.23
53,창업,1,조명..,너무하시네요 공연 한두번 올리신거 아니실텐데 스페셜커튼콜에 조명실수라뇨 뭐 굉장하게 바뀌는거 아니었잖아요 그 넘버에 맞춰 다시 켜면 되는건데 그것도 한번에 제대로 못하시고 조명 몇번 깜빡거리고... 이번주가 막공주 아닌가요? 마지막까지 신경 좀 쓰세요.,2022.01.23
54,창업,5,막공 ...,아쉬워요 ?,2022.01.21
55,창업,5,창업 ..,이제 곧 헤여지네요 ?,2022.01.21
56,창업,5,창업 ...,더욱 흥하시길 성원합니다 ?,2022.01.21
57,창업,4,재밌어요!!,내용도 알차고 돈이 별로 아깝지 않았어요!!,2022.01.21
58,창업,5,막공이 다가와요,"너무 재미있는 극인데 막공이 다가오니 아쉽습니다. 이거보고 드라마 보면, 이해가 쏙쏙 되면서도 창업이 얼마나 재미지게 구성되어있는지 진면목을 알 수 있습니다.",2022.01.21
59,창업,5,오늘 공연은 관람한 공연 중 단연 최고였습니다.스콜도 짱.,오늘로써 이방원역 모든 배우님들의 공연을 다 보게됐네요.당연 이성계역은 최오식배우님만 굿 초이스!오늘공연은 최고였습니다.음향도 너무 좋았고  배우님들의 에드립도 좋았구요.역사극에 진심이신 엄마 모시고 관람했습니다.미리 공부까지 다 하시고 관람하시는  열정!!  존경합니다~엄마^^스페셜커튼콜까지 볼수 있는 영광을~~오식성계님과 동형방원님의 가슴 찡한 스페셜커튼콜!!!이방원(김동형)님의 눈물을 여러번 볼수 있었어요.정말 열심히 공연에 임하시더라구요.그 엄마에 그 딸인가요?저희 엄마도 오식성계님의 연기 노래 목소리 너무 좋으시다며....팬이 되셨네요^^최오식 배우님~ 다른 무대에서도 꼭꼭 다시 뵙고 싶어요.막공이 얼마 남지 않아 서운하네요...대극장에선 뵐수 없는건가요?오늘 배우님들의 합 너무 좋았습니다.뮤지컬 창업을 어느새 네번이나 관람하게 되었네요.강추강추!!!!,2022.01.21
