,musical_title,rate,review_title,review_text,review_date
0,앤,5,좋아요,좋아요,2023.05.03
1,앤,5,재밌게 잘 봤습니다!!,?????????? 재밌고 감명깊게 봤습니다!,2023.05.02
2,앤,5,재밌게 잘 봤습니다!,2년 전에 본 뮤지컬 중 제일 감명깊게 봐서 2023년에도 재관람했습니다. 정말 재밌었어요!,2023.05.02
3,앤,5,정말 잼있었어요 ...,도휘원 배우님 나와서 갔는데 김채원 배우님의 열현도다른 배우님도 막공이라 더 열장적인것같아즐겁게 봤어요,2023.04.27
4,앤,5,동심으로..,동심으로 돌아간것 같았어요,2023.04.24
5,앤,5,눈물찔끔…,다들 배역이 찰떡이셔요박슬기 앤3 배우님이 길모퉁이 노래부를때 눈물이 낫어오….,2023.04.24
6,앤,5,매력적인 모든 앤들,"연극적인 매력이 가득한 연출, 스토리텔링, 거기다 찐 매력의 연기파 배우들! 성장하는 앤의 서사에 따라 이미지도 딱 맞게 캐스팅 되선, 연기, 노래 다 잘하고 서로 시너지가 눈부신 배우님들 최고 멋졌음. 멀티역 배우님들도 매력적이고 마차 끄는 말 표현이 특히 좋았음. 연극의 맛과 멋이 충만한... 뮤지컬이죠 참 ㅋ 추천합니다.",2023.04.19
7,앤,5,앤anne,매시즌 한번씩 챙겨보고 있어요.마음이 따뜻해지고 좋아요!,2023.04.17
8,앤,5,최고!!!!!,곧 다시 돌아오길 바래봅니다.,2023.04.17
9,앤,5,안녕 앤,빛나는 앤 안녕!,2023.04.17
10,앤,5,누가 앤이햐~,마음 한 켠이 따수워졌어요 감사합니다아름다운 우정,2023.04.17
11,앤,5,다시돌아오ㅡ,돌아와요...... 아직 나는 못보낸다 우리앤들 ㅠㅠ,2023.04.17
12,앤,5,행복했어요,너어어어무 행복했어요ㅠ,2023.04.17
13,앤,5,귝구ㅛ,굿구ㅛ굿굿고,2023.04.17
14,앤,5,아기자기한,추억속으로 들어가는 공연,2023.04.17
15,앤,5,저 길모퉁이를 돌더라도,"우리는 꾹 참고 앞으로 나아갈 것입니다.  비록 앤은 이제 끝났지만, 미니 ost를 재생하며 다음 만남을 기다릴 것입니다.  볼 뮤지컬이 수도 없이 많더라도!! 앤이 빨리 돌아오길 기다릴게요~~~오오오",2023.04.17
16,앤,5,최고의 힐링극 ㅠㅠ,"정말 최고의 힐링극이예요! 친구들 데리고 봤는데 다들 눈물 한바가지 쏟고 친구들 데리고 또 보러 갔어요. 한명의 주인공을 세명의 배우가 나눠서 보여주는 것도 너무 신선한 구성이고, 그걸 웃음 포인트로 살리면서 자연스럽게 넘기는 것도 좋았어요. 무엇보다 따뜻하고 힐링되는 극이라 좋았습니다. 누구에게나 두 팔 벌려 환영받는 순간이 함께하길 기도하게 되었어요.",2023.04.17
17,앤,3,너무 좋았어요,공연 최고에요,2023.04.17
18,앤,5,너무 재미있었습니다 ,너무 재미있었습니다,2023.04.17
19,앤,5,앤ANNE,알고있는 앤 이야기인데도 이렇게 재밌고 감동적이게 풀어나갈 줄 몰랐어요 짱!!,2023.04.17
20,앤,5,너무나무 좋아요ㅠㅠㅠㅠ,넘버도 배우님들 연기도 다다 너무 좋았습니다!! 벌써 그리워요ㅠㅠㅠㅠㅠ,2023.04.17
21,앤,5,앤e는 멋진 극입니다,가족연인친구와함께하세요,2023.04.17
22,앤,5,앤,앤 너무너무 재밌어요ㅠㅠ 얼른 또 다시 만나고 싶어요!!,2023.04.17
23,앤,5,앤,가슴 따뜻해지는 이야기ㅠㅠ 막공이라니.. 더 이상 볼 수 없다니 너무 슬퍼요ㅠㅠ,2023.04.17
24,앤,4,명랑한 뮤지컬♥ ANNE,이날은 서울 막공이었는데 커튼콜 이후에 배우님들 무대인사 하시는데 참여하신 모든 배우님들이 작품을 얼마나 애정하시는지 마음으로 와닿는 듯 느껴졌어요. 배우님들 한 분 한 분 개인역량도 무척 뛰어나지만 무엇보다 팀워크가 좋아서 공연보는 내내 미소가 지어졌어요 ㅎ마차 등장 때는 엄청난 센스에 깜짝 놀랐어요~다음 번엔 아이와 함께 보러 가고 싶어요^-^,2023.04.14
25,앤,5,힐링극으로 딱,오랜만에 본 힐링극인데..진짜 힐링되어서 나왔어요.보는 매분매초 너무 행복했어요,2023.04.13
26,앤,5,앤ANNE,저 길모퉁일 돌아요 당신과 함께 나란히 손잡고 빛나는 내일을 향해서 반짝이는 우리들의 미래를 향해서 볼때마다 마음이 따뜻해져서 나오는 공연입니다,2023.04.12
27,앤,5,앤ANNE,어릴적 빨강머리앤을 만화로 보고 자랐던 세대이다보니 더 공감하고 웃고 울다 나온 공연이었습니다,2023.04.12
