,musical_title,rate,review_title,review_text,review_date
0,데미안,5,솔직히,원작 기반 뮤지컬이라 걱정 했는데 기우였다는 걸 깨달음너무 재밌게 본 작품그리고 최애를 발견했다...,2023.04.25
1,데미안,5,재밌다,여페어 남페어 나뉘는 것도 신기하고내가 읽었던 원작이 소설 밖으로 나와서 뮤지컬이 된 것도 신기하다,2023.04.25
2,데미안,5,우연한 찍먹,이렇게 재밌을 줄은 몰랐지...,2023.04.24
3,데미안,5,인생극,데미안 보고 너무 좋아서 자둘갔어요 이날 정말 대레전..... 한달 후에 가서 그런가 배우님들도 한층 더 성장한게 느껴졌고 더 보니까 극에 대한 이해도 한 층 더 깊어져서 너무너무 좋은 시간이였어요...,2023.04.24
4,데미안,5,꼭 돌아올 필요가 있는 극,빠른 시일 내에 돌아와 주시길…,2023.04.24
5,데미안,5,넘버가,넘버가 너무 너무 내취향이었음,2023.04.11
6,데미안,5,너무 좋았어요,다시한번 또 꼭 보고싶은 극,2023.04.11
7,데미안,3,잘봤습니다,잘봤어요,2023.04.10
8,데미안,5,데미안,삼연 빨리,2023.04.10
9,데미안,5,좋은 작품!,이 공연을 보지 않았다면 정말 땅을 치고 후회했을 거라고 느껴질 정도로 너무 좋은 공연이였습니다!싱클레어와 데미안 두 역 모두 책보다 더욱 매력적이였습니다! 책을 읽고 공연을 봤더니 책의 많은 부분을 심도있게 이해할 수 있는 시간이였습니다!,2023.04.10
10,데미안,5,데미안 돌아와....,얼른 돌아와... 회전 다시 돌아줄게,2023.04.10
11,데미안,5,재밌게 잘 봤습니다. 감동적인 무대였어요.,재밌게 잘 봤습니다. 감동적인 무대였어요.,2023.04.10
12,데미안,5,굿,조아요,2023.04.10
13,데미안,5,재미있어요,재미있어요,2023.04.10
14,데미안,5,짱 데미안,데미아아아아안,2023.04.10
15,데미안,5,재미있어요!!!,재미있어요!!!,2023.04.10
16,데미안,5,최고....,정말 너무나도 좋았던 공연... 이렇게 끝나는게 너무나도 아쉬웠습니다 이 공연을 보며 나 자신에 대해서 조금 더 돌아볼 수 있는 앞으로 어떻게 살아가야할지에 대해서 많은 생각을 해볼 수 있었네요,2023.04.09
17,데미안,5,공연에 빠져드는 작품,원작 책을 보고 가서 그런지 몰라도 공연하는 그 시간동안 정말 그 속에 있는 기분이라서 실감나게 볼 수 있었음,2023.04.07
18,데미안,5,데미안,"데미안과 싱클레어의 이야기를 뮤지컬로, 각색을 거쳐 접하게 되어 새로웠고 감회 깊었습니다 음악이 참 졸아요",2023.04.07
19,데미안,5,데미안.. 떠나는거야?,삼연 빨리 올려주세요 기다리고 있을게요????,2023.04.06
20,데미안,5,또 보고 싶어요,스토리가 너무 아름다웠어요,2023.04.04
21,데미안,5,역시 믿고 봐요,두 배우님의 합이 너무 아름다웠던 극이었습니다 다시 오게 된다면 또 보고 싶어요,2023.04.04
22,데미안,5,강력함,흡인력 있어요,2023.04.04
23,데미안,5,데미안,데미안 진짜 최고였어요ㅠㅠ,2023.04.03
