,musical_title,rate,review_title,review_text,review_date
0,미드나잇 : 앤틀러스,5,짱,재미있네요,2023.05.08
1,미드나잇 : 앤틀러스,5,미드나잇 앤틀러스,너무 재미있게 보았습니다 각하!!,2023.05.08
2,미드나잇 : 앤틀러스,5,최애뮤지컬 중 하나 앤틀,제 최애뮤지컬 중 하나라 목이 빠지게 기다렸습니다.이번에 전캐 찍었는데 누구로봐도 문제 없을정도로 다들 최고의 무대를 선보여주셔서 이번 시즌도 역시 만족하면서 봤네요. 믿나 앤틀을 더욱더 사랑하게 됐네요.다음 시즌에도 열심히 회전문 돌게요,2023.05.08
3,미드나잇 : 앤틀러스,5,좋아하는 뮤지컬,오랜만에 올라와서 좋았어요. 빨리 다시 돌아오길 바랄게요,2023.05.08
4,미드나잇 : 앤틀러스,5,너무 좋아요 ,너무 재밌어요,2023.05.08
5,미드나잇 : 앤틀러스,5,고지터는 장르다,고지터는 꼭 매 시즌에 와야 합니다 희찬맨이랑도 잘 맞아서 좋았어요,2023.05.08
6,미드나잇 : 앤틀러스,5,미드나잇 재밌어요,배우들 명연기 노래 모두 최고입니다,2023.05.08
7,미드나잇 : 앤틀러스,5,문 두드리는 사람,다 의심해보세요,2023.05.08
8,미드나잇 : 앤틀러스,5,그립네요,미드나잇 정말 재밋게봣는데 떠나고나니그리유ㅓ요,2023.05.07
9,미드나잇 : 앤틀러스,5,넘조아요,참쌀페어 ㅠ 믿나가 그리워요,2023.05.07
10,미드나잇 : 앤틀러스,4,재밌는데 우먼이 너무 못함...,재밌는데 우먼이 너무 못함... 나연기한다!!!이런느낌.. 팔은 왜 주체를 못하고 레고처럼 붙이고 있는지 학예외 수준의 연기를 돈주고 보는 나까지 불안했음,2023.05.04
11,미드나잇 : 앤틀러스,5,배우들이 다 해먹는 공연,연출은 호불호가 갈릴 수 있음,2023.05.04
12,미드나잇 : 앤틀러스,5,전성민 우먼 제발 다시 와주세요,원조의 맛,2023.05.03
13,미드나잇 : 앤틀러스,5,액터뮤지션과는 다른 방식으로 관객을 끌어들이는 작품,액터뮤지션이 관객들에게 목격자가 될 것을 강요하는 구성이었다면 앤틀러스는 관객이 스스로가 목격자인 줄도 모르면서 극을 관찰하도록 만드는 느낌이었어요. 그러다보니 관람 포인트도 달라진 것 같더라고요.,2023.05.03
14,미드나잇 : 앤틀러스,5,친구에게 영업 성공,역시 스토리의 힘이 있는 극,2023.05.03
15,미드나잇 : 앤틀러스,5,잘 봤어요,막공 재밌게 잘 봤어요,2023.05.02
16,미드나잇 : 앤틀러스,5,전캐찍으려고 여러번봤네요,제 취향은 정해졌지만 보는 재미가 있었어요,2023.05.02
17,미드나잇 : 앤틀러스,5,여러가지로 보는 재미가 있음,액뮤랑 비교해서 보는게 재밌음,2023.05.02
18,미드나잇 : 앤틀러스,5,재밌어요,또 보고싶슴다..,2023.05.02
19,미드나잇 : 앤틀러스,5,잘 보고왔어요,재밌게 봤어여,2023.05.01
20,미드나잇 : 앤틀러스,5,재밌어요,제발 고상호 비지터 다음에 또 꼬옥 와주길...,2023.05.01
21,미드나잇 : 앤틀러스,5,려지터 최고,그리워요,2023.05.01
22,미드나잇 : 앤틀러스,5,(mm,하 고지터 너무 좋아 젠맨도 너무 좋아,2023.05.01
23,미드나잇 : 앤틀러스,5,초연 고지터가 돌아옴,초연 대사를 다시 듣게 되어서 감동의 눈물만 줄줄,2023.05.01
24,미드나잇 : 앤틀러스,5,좋았어요!,좋았어요!,2023.05.01
25,미드나잇 : 앤틀러스,5,좋았어요!,좋았어요!,2023.05.01
26,미드나잇 : 앤틀러스,5,재밌어요,재밌어요,2023.05.01
27,미드나잇 : 앤틀러스,5,좋아요,좋아요,2023.05.01
28,미드나잇 : 앤틀러스,5,너무 재밌었어요,굿굿굿,2023.05.01
29,미드나잇 : 앤틀러스,5,믿나,언제봐도 재밌어요,2023.05.01
30,미드나잇 : 앤틀러스,5,또보고싶어요,이렇게끝난게아쉬울만큼 너무재밌는공연이었어요 다음에 또보고싶습니다,2023.05.01
31,미드나잇 : 앤틀러스,5,재밌어요,아주오랫동안 기억에남을거같은 인상깊은공연이었습니다,2023.05.01
32,미드나잇 : 앤틀러스,4,??????????,??????????,2023.05.01
33,미드나잇 : 앤틀러스,5,박민성 비지터!!,미드나잇 보면서 가장 많이 본 비지터였습니다 모든 날 완벽했다!! 고는 못하겠지만... 대체로 항상 만족스러웠습니다 ^^*,2023.05.01
34,미드나잇 : 앤틀러스,5,후기가 아직도 있네...,약간 비지터 같습니다.. 다시 찾아오고 다시 찾아오는 것이..,2023.05.01
35,미드나잇 : 앤틀러스,5,길었던 미드나잇도 끝이 났네요,아직도 하는 중인 것 같지만.. 보내고 나니 시원섭섭합니다.,2023.05.01
36,미드나잇 : 앤틀러스,5,정말 재밌게봤어요,정말 좋았어요,2023.05.01
37,미드나잇 : 앤틀러스,5,흥미로운 공연,엄청 재밌게 봤습니다 또 보고 싶어요,2023.05.01
38,미드나잇 : 앤틀러스,5,흥미로운 공연,완전 재밌었어요!! 굿굿,2023.05.01
39,미드나잇 : 앤틀러스,5,흥미로운 공연,완전 재밌게 봤어요!! 감사합니다,2023.05.01
