,musical_title,rate,review_title,review_text,review_date
0,친정엄마,4,꼭 어머니모시고 보세요,"어머니께서 외할머니 생각하시면서 보셨어요~~  많이 우셨지만, 그동안 어머니에게 못했던거 생각나면서 많이 그리워 하시네요..  몇가지 아쉬웠지만, 즐겁게 보셨다고 합니다.",2023.05.08
1,친정엄마,5,"부모님을 위해 갔다가, 자식이 효심을 더 키워오는 뮤지컬","어버이날 기념으로 같이 보았는데요, 제목부터 이미 눈물버튼이라 예상은 했지만… 너무 슬퍼요. 진짜 너무너무 ㅠㅠ 그리고 엄빠께 그 시절 추억이나 향수를 선물해드리려고 한건데, 딸년의 효심을 높이는 것이 진정한 선물이 되었습니다ㅠㅠㅋ 엄마아빠 사랑해요. 말로는 잘 못하지만, 슬쩍 손도 잡아드리고, 뮤지컬 기다리며 식사도 같이 하고.. 즐거웠어요. 기획해주시고 연기해주신 모든 분들께 감사합니다!",2023.05.07
2,친정엄마,5,김수미님 감동??????,엄마와 같이 보러간 “친정엄마” 김수미님 등장하실때 눈물이... 진짜 엄마 연배의 배우님이 그 역을 해주시니 감동이 밀려오더라구요! 오래오래 건강하셔서 좋은 역할 많이 해 주세요:),2023.05.07
3,친정엄마,5,엄마와같이보는공연,어버이날이라겸사겸사부모님과봤어요 유쾌하구재밌구마지막은감동~~~♡너무좋았어요,2023.05.07
4,친정엄마,5,친정엄마 짱♡,원래 알고는 있는거였지만~다시 한번 일깨워주는 엄마와 딸의 마음3대가 같이 봤는데 너무 뜻깊은 하루였던거같아요무겁지도 않으면서 너무 잘봤어요♡,2023.05.07
5,친정엄마,5,흔한 스토리지만,흔한 스토리지만 흔하기때문에 더욱 공감 됐고현실적이라 감동 받았어요. 마냥 슬프게만 끌고 가는 게 아니라지루하지 않아 좋았던 것 같아요.엄마가 보고싶다고 하셔서 간건데 같이 울고 웃고너무 좋은 시간 보내서 저도 좋았습니다.,2023.05.07
6,친정엄마,5,딱 제얘기같았어요,딱 제얘기같았어요 내용이 너무나 공감가고..에휴ㅠㅠ 있을때 잘해야겠어요 김수미님 진짜 연기짱드립력짱 ㅎㅎㅎ 국민배우,2023.05.07
7,친정엄마,5,너무 감동적이예요♡♡,친정엄마랑 보았는데보는내내 웃다 울다했네요부모님 모시고 꼭 보세요♡♡♡,2023.05.06
8,친정엄마,5,친정엄마 추천!,지인 추천으로 엄마랑 같이 봤는데 정말 눈물 마를 틈이 없었습니다. 부모님 모시고 보기 너무 좋은 작품같아요! 딸 역할의 현쥬니 배우님 눈물연기에 울컥해서 저도 같이 너무 많이 울었네요ㅠㅠ 러닝타임이 긴 편이라 지루하진 않을까 했었는데 전개도 빠른 편이고 흡입력이 있어서 하나도 지루하지 않게 볼 수 있었어요. 좋은 공연 감사합니다~~,2023.05.06
9,친정엄마,5,친정엄마,"가슴이 찡 엄마생각많이나서 공연내내 공감하며 잘봤습니다 제 일상인듯,,,",2023.05.06
