,musical_title,rate,review_title,review_text,review_date
0,오페라의 유령,5,첫 뮤지컬?,첫 뮤지컬을 조팬텀으로 시작할 수 있어서  넘넘 좋아써요~~,2023.05.06
1,오페라의 유령,4,행복한 150분^^,"첫 뮤지컬이 ""오페라의 유령"" 이었고 ..그 주인공은 ""조승우 배우님"" 딸하고 본 뮤지컬 너무 좋았어요. 비록 얼굴을 볼 수 있는 가까운 거리는 아니었지만 ..멋진 무대연출 , 그 웅장한 음악과 배우님들의 연기와 노래 ~~  아직도 귀에 울림을 느끼고 있죠~  또 보러 갈게요 ~~",2023.05.06
2,오페라의 유령,5,메인테마곡 한곡만으로도 그 가치를 다했다,재밌었음,2023.05.06
3,오페라의 유령,5,조팬텀 최고,후반부에는 거의 울다 온 것 같아요 모든 배우 분들이 다 좋았어요,2023.05.06
4,오페라의 유령,5,조팬텀 너무 멋찌네여,조승우님 덕분에 자주 서울 부산 왕복했는데 부산에서 장기공연해주셔서 너무 너무 행복하네여~ 언제나 감정소모 많은 역할만 하시는거 같아서 안스럽기도 신기하기도 하네여~ 매회차 저런 연기와 노래를 어찌 해내시는지 오늘도 감탄하며 몇번이나 닭살 돋는 피부를 느끼면 입까지 벌리고 봤어여~ 마스크 있어서 다행인ㅋㅋ 후기에 조배우님 걱정이 좀 있었는데 제가 본 회차는 완벽했어여~ 언제나 느끼지만 노래 연기는 정말 국내 원탑이신거 같아여~ 이전에 오페라의유령&팬텀을 10회정도는 본거 같은데 이렇게 가슴 에이는 유령은 처음이었어여~ 정말로 심금을 울리다는게 무엇인지를 보여주시네여~ 처음 관람한 지인도 너무 놀랐다고 재관람하고 싶다고 하네여~ 안본 사람은 있어도 한번보는 사람은 없게 만드는 배우의힘 오래오래 해주세여~ 송은혜배우님 1막에 살짝 불안했는데 2막에선 잘하시네여~ 키가 너무 크셔서 처음에 깜짝 놀랐어여 ㅋㅋ 마지막 회차까지 열씨미 티켓있는 한 회전해보렵니다~ 또 서울도 가겠지만여~ ㅎㅎ,2023.05.06
5,오페라의 유령,5,N차관람중.. ,조유령 때문에 N차 관람중.. ㅠ 너무 죠아??,2023.05.06
6,오페라의 유령,5,조승우 보러 갔다 다른 배우들에게 반하고 옵니다,25주년 기념 공연 보고 복습했네요. 또 보고 싶어요~,2023.05.06
7,오페라의 유령,5,무대만으로도 볼만해요,스포일러 없이 보러 가시길!,2023.05.06
8,오페라의 유령,5,내용을 모르고 가는 것을 추천합니다,그래야 더 무대 미술에 매력을 느끼며 볼 수 있을듯요.,2023.05.06
9,오페라의 유령,5,비도 오고 정말 완벽한 공연,날씨 안졸아서 걱정했는데 극장 지하 습기같아서 오히려 좋았다익숙한 곡들이 연속으로 너오더니 2막 마지막에 감정이 몰아쳐서 정말 숨도 못 쉬고 봤음,2023.05.06
10,오페라의 유령,5,주조연 앙상블 음향 모두 최고의 팬덤,비바람을 뚫고 서울에서 부산까지 온 보람이 있었습니다.특히 피앙지 역의 림팍은 놀라운 발견이었어요.,2023.05.06
