,musical_title,rate,review_title,review_text,review_date
0,레드북,5,사랑은 마치,넘버가 너무 좋은 작품이에요,2023.05.08
1,레드북,5,와 진짜 재미있어요.,"공연 시간이 순삭.민경아 안나 너무 멋지고 당차서 좋앗다. 송원근은 너무 귀여운...브라운..ㅎㅎ조풍래 로렐라이는 너무 잘 어울려서 새로운 발견!!!원종환, 안창용의 호흡에 계속 웃느라 정신을 못차렸다.그 긴 시간 동안 박진감 넘치고 쫀쫀한 서사가 휘몰아쳐 정신없이 극에 몰두할 수 있었다.믿고보는 한이박!!!!!!!난 나로서 살아가!!!!우린 우리로서 당당히 살아가는 거야!!!!의자가 너무 후져서 허리아픈 것만 빼면 또 보고 싶다.",2023.05.08
2,레드북,5,레드북,레드북 잘 봤습니다!! 끝나기전에 한번 더 볼게욯ㅎ,2023.05.08
3,레드북,5,최고의 뮤지컬,재밌어요!,2023.05.08
4,레드북,5,레드북,누굴 데려가도 실패하지 않는 극,2023.05.08
5,레드북,5,제일 용감한 뮤지컬,레드북을 보면서 얻은 게 너무 많아요안나와 브라운 그리고 나머지인 우리들까지무대 위 모든 게 이야기였고 메세지였고 저였습니다당신의 이야기를 들려줘요!????,2023.05.08
6,레드북,5,옥안나 규브라운 좋아요~,친구 생일이라 같이 보러갔는데 재밌어해서 좋았어요,2023.05.08
7,레드북,5,레드북,웃고 울고 힐링되고 꽉막힌 해피엔딩 너무 좋아요!!!!!!!,2023.05.08
8,레드북,5,레드북,민경아 신성민 페어 존잼!!!극도 너무 힐링이고 재밌고또 보고싶어요,2023.05.08
9,레드북,5,레드북,민경아 배우는 안나 그 자체이시고 너무너무 사랑스러워요ㅠㅇㅠ,2023.05.08
10,레드북,5,재밌어요!,재밌어용,2023.05.08
11,레드북,5,굥미니 짱,레드북 너무 재밌어요,2023.05.08
12,레드북,5,역시는역시,너무재미나다,2023.05.08
13,레드북,5,좋았어요,잘만든 서사같아요 다음시즌에 또볼게요,2023.05.08
14,레드북,5,레드북 최고,신성민 민경아 확신의 디즈니 페어한보라 배우님 짱레드북 짱,2023.05.08
15,레드북,4,래드북,사랑은 마치 마치♡민경안나 죠아,2023.05.08
16,레드북,5,잘봤어요,즐거웠습니다! 좋아썽요,2023.05.08
17,레드북,5,최고 최고 최고,최고의 뮤지컬,2023.05.08
18,레드북,5,피곤함이 사라지게 만드는 공연,정말 재밌게 봤습니다!,2023.05.08
19,레드북,5,한번쯤 꼭 봤으면 좋겠는 극,여성이 행동하는 것에 있어서 모든 것이 지켜야할 선이 있고 당연시 여겨지지 않는 시대에 자신이 무엇인지 항상 궁금해하는 안나.그런 안나가 극이 전개되면서 점점 자신에 대한 확신이 생기고 사실 나는 내가 아는 것임을 깨닫는 게 너무 좋았어요.사실 다 알고있는데 답은 내 안에 있는데 이 부분이 너무 와닿았습니다.우리의 삶도 비슷하잖아요?항상 끊임없이 난 무엇일까? 난 잘하고 있는 걸까?자신에 대한 고민들 남들에게 물어보고 주변에서 답을 찾으려해도 결국 명쾌한 답은 자기 자신 안에 있다는 것을.극을 보면서 많은 것을 느낄 수 있었던 것 같아요.좋은 극이라고 말은 많이 들었었는데 좋은 배우들로 볼 수 있어서 더 행복했습니다.,2023.05.08
20,레드북,5,잘 봤습니다!!,사랑스런 뮤지컬이에요~!!,2023.05.08
21,레드북,5,좋아요!!,송원근 브라운 너무나도 찰떡입니다,2023.05.08
