,musical_title,rate,review_title,review_text,review_date
0,식스,3,아쉬운 가창력,너무 기대를 했는지 .. 제일 기대했던 넘버를 부르신 분의 가창력이 ㅠ 너무 별로였어요,2023.04.15
1,식스,5,내한 너무 잘봤어요,영국 국왕이었던 헨리 8세의 여섯명의 왕비들의 삶을 현대적으로 재해석한 팝 콘서트 형식의 뮤지컬.이혼 참수 사망 이혼 참수 생존여섯 왕비 중 누가누가 더 불쌍한지 대결하는데 귀엽게 잘 풀었고 좋은 넘버들도 많아서 재밌다ㅎㅎ.불린 나는 목이 잘렸잖아!??ㅋㅋㅋ클레페 초상화랑 다르다고 이혼이라니??.매력적인 여섯 캐릭터는 팝가수들을 모티브로 설정됐는데 과연 한국어공연도 어떨지 너무 궁금!!(번역을 어찌할지 궁금),2023.04.14
2,식스,5,안봤으면 후회할 뻔,공연장 온 것처럼 너무 신나고 재밌었어요마지막엔 감동까지.. 눈물나더라구요안 봤으면 후회할 뻔 했어요잘봤습니다!,2023.04.12
3,식스,3,신나는공연,잘 보았어요.,2023.04.10
4,식스,5,굿굿,내한공연 첨인데 재밌어요,2023.04.07
5,식스,4,신나는 뮤지컬,관객들이 노래를 따라 불러서 콘서트 같이 신나는 뮤지컬이네요! 재밌어요!,2023.04.06
6,식스,5,너무 완벽한 무대,본 뮤지컬 중에 가장 화려하고 가장 파이팅 넘치고 가장 즐거웠던 무대였어요! 완전 몰입하다보니 뮤지컬이 끝나서 너무 아쉬울 정도였어요!배우분들 너무 열정적이여서 감사했습니다!단 신한coex..무대 조명 문제로 지체되었는데 아무 보상도 없고 .. 끝나고 약속 있었으면 큰일날뻔 했네요.,2023.04.04
7,식스,5,역사 조금 알고보면 더 깊이가 느껴짐,가사 하나하나가 각 인물의 삶을 대변하는 것 같아 더욱더 역사의 무게감이 느껴졌던 극인 듯엘리자베스 1세 여왕의 모후로 후대에 재평가가 많이된 앤볼린에 비해 상대적으로 덜 알려진 왕비들의 이야기가 더 비중있게 느껴짐,2023.04.04
8,식스,5,너무 신나,멋지고 재밌고 다 하네요. 추천합니다.,2023.04.04
9,식스,5,짱,최고여요ㅠㅠ,2023.04.03
10,식스,5,재밌었어요,재밌었어요,2023.04.03
11,식스,5,아니 너무 재밌는데 진짜로..,왜 다들 돌아가셨죠,2023.04.03
12,식스,5,넘버 좋아요,너무 잘봤습니다~~~!!!!,2023.04.03
13,식스,5,최고의 무대,내한 배우들 와줘서 너무 고맙습니다 재밌게 봤어요,2023.04.02
14,식스,5,너무좋아요,일반뮤지컬보다 더 신나고 곡들도 다 좋아요만족합니다,2023.04.02
15,식스,4,좋아요,좋아요 잘 봤어요,2023.04.01
16,식스,5,튜더스 봤으면 더 재밌었을 ,사실 헨리 8세 와이프 모두를 알비 못하고 보니까 빅재미는 아니였지만 그래도 재밌었다,2023.04.01
17,식스,5,최고였어요!!,내한이 주는 짜릿함이 있어요ㅎㅎ,2023.04.01
18,식스,3,배경지식이 있어야할듯,제 취향은 아닌듯해요. 우선 웃음 포인트를 찾지 못했어요. 그리고 배경이 한번도 바뀌지않고 계속 노래와 이야기민... 뮤지컬이라기보다는 콘서트? 왜 빈좌석이 많았는지 이해가 됐어요,2023.03.31
19,식스,5,에너지 가득 받고 갑니다,와이프가 넘나 좋아했어요,2023.03.30
20,식스,5,여왕님들 최고에요,라이센스 공연도 기대됩니다,2023.03.29
21,식스,5,이제 한국어 공연이다,신나는 넘버들 …기다려지는 한국어 공연,2023.03.28
22,식스,5,식스더뮤지컬 내한 후기,내한이라서 더 좋기도 했고 콘서트 방식으로 진행돼서 엄청 신나요!!! 너무 재밌었습니다??,2023.03.28
23,식스,4,여섯 여왕이 전해주는 콘서트,"각기 다른 이유로 죽거나 살아남은 여섯 여왕이, 가장 기구한 여왕은 누구인가를 재치있게 대결합니다. 콘서트형식이라 다른 뮤지컬과 다른 점이 신선하고 즐거웠습니다. 내한도 좋았지만 라이센스는 어떨지 기대되네요!",2023.03.28
24,식스,5,여섯 명의 여왕들의 목소리를 듣고오다!!!,"식스 더 뮤지컬..이거 꼭 보세요!!! 헨리 8세의 6명의 아내들을 팝 가수들을 모티프로 하여 캐릭터를 만들었다고 듣자마자 와.. 이건 꼭 봐야 된다고 생각해서 바로 예매했고, 지난 주말에 다녀왔습니다.  시작부터 엄청난 포스와 에너지가 뿜어져나왔고, 공연 내내 신나고, 흥에 겨워서 너무 재밌었습니다. 본인들의 비극적이고도 기구한 이야기를 노래로 전달하는데, 그 휘몰아치는 감정들이 객석 구석구석 고스란히 전달되었습니다. 간만에 정말 신선하고, 신명나는 공연 보고와서 기분이 한껏 좋아져서 그 기운으로 살아가고 있습니다. 공연 가기 전에 헨리 8세의 6명의 아내들에 대해서 간단하게라도 알고 간다면 더 재밌게 즐기실 수 있을 거에요! TVN 프로그램 중 <벌거벗은 세계사>에 헨리 8세와 6명의 아내들 편 있으니 그거 참고하시면 될 거 같습니다! 식스 더 뮤지컬.. 내한 공연 끝나기 전에 보길 잘 한 거 같네요!",2023.03.28
25,식스,5,안 본 사람 없게 해주세요!!!,이거 무조건 아티움에 또 내한으로 오게 해주세요~~~~  데려가는 사람마다 모두 대대만족했어요 :),2023.03.28
26,식스,5,내한공연을 여러번 보기는 처음..,일단 80분이 너무 빨리 간다고 생각할 정도로 좋았고 몰입도도 좋았습니다.내한 마지막공연이라 그런지 평소보다 호응이 더 장난이 아니었고 배우님들의 감성적인 연기도 좋았습니다. 진짜 기간이 2주정도 더했다면 2~3번정도 더갔을수도 있다고 보고 마지막에 배우님들의 관객에 대한 인사를 보고 뭉클했습니다. 이정도로 관객이 박수치고 호응하는 뮤지컬은 처음인거 같아요.,2023.03.28
27,식스,4,유쾌해서 가볍게 보기 좋은 뮤지컬,"콘서트 형식이라고 해서 걱정반 기대반이었는데 생각보다 너무 재밌었어요! 러닝타임도 짧고, 내용도 가벼워서 가볍게 보기 좋을 거 같아요ㅎㅎ 배우들 성량이 정말 어마어마하고, 센스도 넘쳐나셔서 막공 재미나게 즐겼습니다~ 라이선스 공연도 궁금하네요! 할인행사할 때 구매해서 또 보러 갈 예정입니다!",2023.03.28
28,식스,5,내한공연 너무잼있었습니다,너무 잼있게봤습니다 자주자주 이런공연많이있었으면 좋겠습니다 음향 무대 노래 모든것이 완벽했습니다,2023.03.27
29,식스,5,재미있습니다.,재미있습니다.,2023.03.27
30,식스,5,최고최고,이걸 왜 진작 안 봤을까요ㅠㅠ,2023.03.27
31,식스,5,재밌어요,그래서 앵콜은 언제죠?,2023.03.27
32,식스,5,또 와주세요,내한 또와주세요ㅠㅠ 너무 재밋어요,2023.03.27
33,식스,5,너무 즐거웠어요~~,좋은 작품 즐겁게 잘봤습니다~ 무대의상 너무 예뻐서 눈이 반짝반짝 ㅎㅎㅎ 코로나 이후 마스크 벗고 첫 관람한 공연이네요~,2023.03.27
34,식스,4,재밌었습니다,현장에서 보는게 훨씬 좋네요!  사운드도 크고 배우들 연기하는것도 보는 재미가 있었습니다.  코엑스 신한아티움에서는 8열 앞쪽으로 앉아야 배우들 얼굴들이 잘 보이고 감상하기 좋은듯 합니다 그 뒷줄쪽은 얼굴이 잘 안보여서 아쉽네요.,2023.03.27
35,식스,4,잘 봤습니다,1층에서 봤으면 더 좋았을것 같아요,2023.03.27
36,식스,5,축제 그 이상,쇼 내내 축제같은 분위기였어요  다들 소리르고 박수치고 한분은 일어나서 같이 춤도추고 배우들이 눈맞춤해가면 분위기 보면서 밀당도 하고 근래 보기 드문 내한공연 이였어요 신나고 또 신났습니다 부라보~~~~!!,2023.03.27
37,식스,5,"블랙코미디, 너무 신나는 공연",신나요 엄청 넘버들 다 좋고 6명의 콘서트를 본 기분 국내배우들이 하는 라이센스 공연도 보고싶네요,2023.03.27
38,식스,5,콘서트 신나게 놀았어요,6명중 한 명의 퀸비를 뽑는 콘테스트로 각 왕비마다 한 명씩 자신을 소개하는 노래를 불러요. 약간 캣츠느낌?ㅋㅋ 캐릭터의 개성을 살려 부르는 노래라 막 스토리가 있진 않아요. 헨리 8세와 왕비 이야기를 알고 가야 이해되요. 미국 하이틴 영화들이 생각나는 개그가 많아요ㅋㅋ 적절하게 현대와 연결되서 재밌었어요,2023.03.27
39,식스,4,감동과 흥분이 있는~,최우수 음악상에 빛나는 .. 다같이 호응하여 반응하는 .. 감동과 흥분이 있는 뮤지컬이었습니다.,2023.03.27
40,식스,5,재밌어요,재밌어요,2023.03.27
41,식스,5,너무 좋아요,이런 극을 볼 수 있어서 행복했습니다 정말 행복한 80분이었어요,2023.03.27
42,식스,5,재밌어요!!,재밌어요!,2023.03.27
43,식스,5,식스,콘서트 즐기고 온 것 같이 너무 신났어요라센도 기대,2023.03.27
44,식스,5,식스,오래 기다렸던 공연인데 한국에서 다시 볼 수 있어서 너무 좋았습니다!!!!,2023.03.27
45,식스,5,식스 내한,진짜 최고였어요ㅠㅠㅠㅠ,2023.03.27
46,식스,5,식스!!!!,흥겨운 공연 잘 봤어요,2023.03.27
47,식스,5,너무 좋았어요,에너지 받고갑니다,2023.03.27
48,식스,5,식스내한,배우들 성량 크고  노래 너무 잘하고 관객호응 좋았고 주변 외국인 관객도 많아서 콘서트 온 느낌,2023.03.27
49,식스,5,좋아요,좋아요,2023.03.27
50,식스,5,너무 좋았어요,파워풀그자체,2023.03.27
51,식스,5,좋아요,좋아요,2023.03.27
52,식스,5,좋아요,좋아요,2023.03.27
53,식스,5,리슨업렛미텔유어스토리,식스보실분재밌어요,2023.03.27
54,식스,5,신나는 뮤지컬,콘서트인가,2023.03.27
55,식스,5,재밌게 보고 왔어요,배우들 연기도 좋고 넘버도 좋았습니다 다음에 또 가려고 예매했어요,2023.03.27
56,식스,5,완전 리스펙!!!! 별 다섯 뮤지컬입니다~,박수 쉬지 않고 계속 칠 수 밖에 없었어요!!! 어깨 들석 거리며 행복한 시간이었습니다.중간 중간 계속 너무 감동이어서 소름 돋았어요~고맙습니다.,2023.03.27
57,식스,5,내한 볼까말까 하다가,내한 볼까말까 하다가미친 가창력 느끼러 갔는데이건... 뭐 안봤으면 평생 후회 할뻔 했잖아여..ㅜㅜㅜㅜ늦게 본 나 자신 반성해라!현장감 정말 최고였구요다만 자막이 좀 더 여러곳에 있었으면 하는 바램이!! 있으니 다음에 꼭 그렇게 해주십셔!!!,2023.03.27
58,식스,5,최고에요,신나게 즐기고 왔습니다,2023.03.27
59,식스,5,정말 최고,진짜웃고울리고너무신나는뮤지컬괜히 팝콘서트뮤지컬이라 하는게 아니었네요 정말 재밌어요 보려고 역사공부도 했어요,2023.03.27
60,식스,5,백번도 보라면 봅니다,자리를 주십시오ㅠㅠㅠㅠㅠ,2023.03.26
61,식스,5,컨셉 확실한 외국 그룹 콘서트 같은 느낌,그리고 놀줄 모르는 범생 관객. 열심히 박수치고 호응 열심히 인데마지막에 일어나라고 했을때는 다들 콘서트처럼 놀았음 좋았을거 같음. 싱어롱 그립구 ㅠㅠ,2023.03.26
62,식스,5,six the musical,무대 조명 때문에 지연되어서 시작된건 화가 났는데 무대 시작하자마자 싹 잊었어요. 한국어공연이랑 내한 엄청 고민하다가 내한 간거였는데 후회하진 않아요. 자막 위치는 안좋아서 가리는 경우 많았어요. 그래도 배우님들 열정에 치였고 다들 노래 잘하시고 귀엽고 너무 즐거운 시간이었어요.,2023.03.26
63,식스,5,강추강추!!!,"넘버들이 너무 좋아요!!! 6명 각각의 스토리와 넘버가 찰떡이네요.  공연 보고나서 계속 넘버 찾아 듣는 중입니다.   이들의 삶이 기구하고 힘들었지만, 마지막에 운명을 개척하고 용기를 내는 노래로 마무리할 때,  눈물이 나고 용기가 났어요.  한국어 공연도 바로 예매했네요.  또다른 감동이 있을 듯해서요.  오늘로서 내한 마지막 공연이던데, 다음에 또 가고 싶을 정도로 좋았습니다!!!",2023.03.26
64,식스,5,환상적인 공연이었습니다.,"SIX the Musical.... 너무나도 환상적인 공연이었고, 80분동안의 시간이 너무 짧게 느껴질 정도로 너무 너무 좋았습니다. 나도모르게 빠져들어 같은 마음이 느껴질 정도로 너무나 저에게는 환상적인 공연이었습니다.  내한공연 뿐만 아니라 한국어 공연도 대박나셨으면 합니다.   이런 귀한 공연을 보게 된 기회가 더 많이 있었으면 하는 바람입니다. 감사합니다.",2023.03.26
