,musical_title,rate,review_title,review_text,review_date
0,웨이스티드,5,버려진땅,웨이스티드..,2023.05.04
1,웨이스티드,5,웨이스티드!,어두운 내용이었지만 신나는 락 뮤지컬이었습니다!극이 길어 조금 허리아팠어요 ㅎ,2023.03.28
2,웨이스티드,5,돌아와요 웨이스티드,매일 그리워한다고요당장 재연 올려....,2023.03.25
3,웨이스티드,5,다시 돌아와,브론테와 함께 돌아와 ㅠㅠㅠㅠ,2023.03.25
4,웨이스티드,5,돌아와....,돌아와주세요... 당장... 샬롯 브랜웰 에밀리 앤... 보고싶습니다...,2023.03.13
5,웨이스티드,5,재연 돌아와,남매들 꼭 돌아오기 ㅇㅑㄱ속,2023.03.13
6,웨이스티드,5,최고예요,너무 재밌게 몰입해서 봤어요 또보고싶어요!,2023.03.13
7,웨이스티드,5,행복했어요,돌아와...,2023.03.13
8,웨이스티드,5,진짜 최고였어요~!,웨이스티드 진짜 최고 였어요~! 너무 늦게 뵈서 너무 아쉬웠어요 ㅠ 다음에 오면 꼭 보러 갈게요 진짜 네 배우님들 너무 잘하고 지루할틈 없이 봤어요 배우님들 진짜 최고 입니다,2023.03.13
9,웨이스티드,5,너무재밌어요,ㅠㅠㅠ재밌는 공연입니다,2023.03.13
10,웨이스티드,5,웨이스티드 ,헛된 건 없어 너의 길을 믿어,2023.03.13
11,웨이스티드,5,추천합니다,너무 재밌게 관람했어요!,2023.03.13
12,웨이스티드,5,웨이스티드,너무 재밌게 잘봤고 재연 꼭 왓으면 좋겠어요,2023.03.13
13,웨이스티드,5,웨이스티드,진짜 너무 재밌었어요 황순종 브랜웰 짱짱짱맨,2023.03.13
14,웨이스티드,5,웨이스티드,진짜 너무 재밌었어요 황순종 브랜웰 짱,2023.03.13
15,웨이스티드,5,재밌습니당,또 볼게요~~,2023.03.13
16,웨이스티드,5,총막공,시원하게 잘 보냈습니다,2023.03.12
17,웨이스티드,5,최고,재밌었습니다. 넘버가 인상적이었어요,2023.03.12
18,웨이스티드,5,오슷 나왔으면 좋겠어요,다양한 장르의 록 넘버들을 들을 수 있어 좋았습니다!,2023.03.12
19,웨이스티드,5,웨이스트드,보나파르트 짱,2023.03.09
20,웨이스티드,5,연극열전 공연 최고..♡,와.. 록 뮤지컬이라소 걱정했는데 너무 재미있게 잘 봤습니다. 특히 노래들이 힘 있어서 진짜 신난달까!?!?!?!,2023.03.09
21,웨이스티드,5,웨이스티드!!,끝없이 던지는 질문에 확실한 답을 정해주는 뮤지컬이어서 좋았습니다ㅠㅠ 아냐 웨이스티드!! 살면서 내가 하는 모든 게 쓸모없는 것은 아닐까 싶은 생각이 종종 드는데 아니라고 이렇게 크게 외쳐주는 극이 있어 공연 기간 내내 행복했어요,2023.03.08
22,웨이스티드,5,잘 봤습니다,잘 봤습니다,2023.03.06
23,웨이스티드,5,너무 좋아요,신나고 재미있는데 또 이 가족의 이야기가 마음을 울리는 지점이 있어서 좋았어요.,2023.03.06
