,musical_title,rate,review_title,review_text,review_date
0,다이스,5,스토리가 좋아요,넘버도 좋습니다,2023.03.29
1,다이스,5,그리워요,더 큰곳에서 돌아와주세요,2023.03.27
2,다이스,5,다이스,쫀잼이에요!,2023.03.20
3,다이스,5,창작 초연극인데,너무 재밌고 좋았어요! 재연 빨리~,2023.03.20
4,다이스,5,다이스,재밌어요!,2023.03.20
5,다이스,5,존잼,빨리 다시 돌아오세요ㅠㅠㅠㅠ,2023.03.20
6,다이스,5,흥미로웠어요 ,처음 보는 소재인데 메시지도 잘 전달 되고 좋았어요,2023.03.20
7,다이스,5,다이스 그리워요,돌아와주세요,2023.03.20
8,다이스,5,감동적인 무대!!,배우분들이 보여주시는 무대가 너무 인상깊고 좋았어요!! 정말 최고의 공연이었습니다!!,2023.03.20
9,다이스,5,재밌습니다.,오랜만에 정말 재밌게 봤습니다.,2023.03.20
10,다이스,5,재밌게 관람했어용!,고대시절 뮤지컬 같은 느낌도 있어서 이해하기엔 약간 어려웠지만 재밌게 봤습니다!,2023.03.20
11,다이스,4,잘 봤습니다!!,잘 봤어요!!,2023.03.20
12,다이스,5,뮤지컬 〈다이스〉,뮤지컬 〈다이스〉,2023.03.20
13,다이스,5,재밌어요,또 보고싶어요,2023.03.20
14,다이스,5,.,공연 재밌게 잘봤습니다!,2023.03.20
15,다이스,5,재미있었어요,재미있었어요,2023.03.19
16,다이스,5,알찬 힐링극,"이야기도 좋고, 넘버도 좋고, 늘 힘을 받아가는 극입니다 이제 마지막 공연까지 끝나서 볼 수 없지만, 멀지 않은 시일에 다시 만나면 좋겠어요! 덕분에 행복했습니다.",2023.03.19
17,다이스,5,공연장의 특징을 잘 살려서,신기하고 재밌었습니다! 배우들이 사방에서 등장하고 퇴장하는 게 극이랑 잘 어울렸어요~ 넘버도 좋아요,2023.03.17
18,다이스,3,Good Music,"The music was good, especially the harmonies, but the story was not my favorite.",2023.03.16
19,다이스,5,잼잼,아포 남았는가요,2023.03.14
20,다이스,5,최고예요,최고예요,2023.03.14
21,다이스,5,재밌었어요,신화를 주제로 한 극을 보는게 너무 재밌었어요,2023.03.13
22,다이스,5,여기서 기다릴게,퀘베이아 성문이 다시 열리는 날을..,2023.03.13
23,다이스,5,다이스 또 와줘요ㅠ,넘버맛집..,2023.03.13
24,다이스,5,아무래도 오늘이 마지막인데,공연 너무 좋았습니다 행복했어요 본공으로 다시 만났으면 좋겠습니다!!!!,2023.03.13
25,다이스,5,다이스 본공 빨리 와주세요,넘버도 너무 좋고 메세지도 좋았어요,2023.03.13
26,다이스,4,좋았어요!,마지막으로 봐서 그런가 섭섭하기도 하고...ㅠ.ㅠ 배우들 다 너무 그리울거 같고..  특히 보근배우 여기서 처음 봤는데 센스도 좋고 연기노래 다 좋아서 앞으로가 더더 기대되요!  마지막까지 너무 좋았어요!,2023.03.13
27,다이스,5,행복했던 공연입니다,한달의 짧은 기간이지만 다이스로 행복했어요ㅠㅠㅠ,2023.03.13
28,다이스,5,"이제 이 공연 어디서 보죠,,,",다이스 보내주기 너무 아쉽네요ㅠㅠㅠ,2023.03.13
29,다이스,5,일주일 내내 다이스,일주일 내내 다이스 보는거..세상 행복했답니다.,2023.03.13
