,musical_title,rate,review_title,review_text,review_date
0,보이체크 인 더 다크,4,끝까지 달려준 배우들,고생 많았습니다~~ 더 좋은 작품이 되어서 돌아와주세요!!,2023.05.08
1,보이체크 인 더 다크,5,정민 보이체크 세미막,우리마리가 건넨 붉은 장미 한 송이가 오래오래 기억에 남을 것 같아요  5월이니까 장미향 가득한 행복 속에 거하고 있길-!!,2023.05.08
2,보이체크 인 더 다크,4,재밌어요,잘봤습니다,2023.05.08
3,보이체크 인 더 다크,5,아쉽네요,잘가요 보이체크,2023.05.08
4,보이체크 인 더 다크,5,재밌었어요,좋은 공연 감사합니다,2023.05.08
5,보이체크 인 더 다크,5,강정우 잘생겼다,진심으로,2023.05.08
6,보이체크 인 더 다크,5,보이체크.....,보이체크와 마리의 순수한 사랑전쟁과 빈곤의 굴레그 속에서 무너져가는 ..슬픈 이야기...5월의 봄을 맞아 행복하기를^^,2023.05.08
7,보이체크 인 더 다크,5,보이체크...,서정적인 넘버조화로운 앙상블보이체크와 마리의 사랑과 절망5월의 봄을 맞이하기를.....,2023.05.08
8,보이체크 인 더 다크,5,보이체크 인 더 다크,"약 3달동안이라는 시간 동안 원없이 본 보이체크,,, 보이체크는 결국 5월의 봄을 맞이하지 못하고 끝이나버렸네요,,, 보이체크도 마리도 한젤도 그곳에서는 꽃한가득 심겨있는 행복한 피크닉을 즐기길,,, 그리고 다른 군인들도 행복하길,,, 다들 행복해라,,, 대위랑 군위관은 좀,,, 반성해(? ㅋㅋㅋㅋ 함께해서 즐거웠",2023.05.08
9,보이체크 인 더 다크,5,5월이됐어요,다시 만나기로 약속했잖아요 또 올려주세요,2023.05.08
10,보이체크 인 더 다크,5,꼭 다시 올라오길,마스크안으로 눈물콧물 흘리게 하는 극,2023.05.08
11,보이체크 인 더 다크,5,비극적이지만 슬프고 아름다운,후반부로 갈수록 슬퍼져서 먹먹하고 안타까웠어요다시 꼭 올라오길 바라는 극이고넘버들도 너무 좋았어요,2023.05.08
12,보이체크 인 더 다크,5,공연 잘 봤습니다 ,잘 봤어용,2023.05.08
13,보이체크 인 더 다크,5,잘봤습니다,잘봤습니다,2023.05.08
