,musical_title,rate,review_title,review_text,review_date
0,"실비아, 살다",5,좋아요,재밌엉ㅅ,2023.05.08
1,"실비아, 살다",5,실비아살다 또 와주세요 ㅠㅠㅠㅠㅠ,몇 번 못본게 후회됩니다ㅠㅠㅠ,2023.05.05
2,"실비아, 살다",5,세상이 추운 소녀들은 봄을 더 빨리 맞이할거야,너무 좋은 작품이예요,2023.05.04
3,"실비아, 살다",5,정말 재밌어요ㅠㅠ,최고에요 ㅠㅠ,2023.05.03
4,"실비아, 살다",5,좋아요,좋아요,2023.05.03
5,"실비아, 살다",5,좋은 작품입니다,개인적으로 아버지를 생각하며 시를 쓰는 장면이 제일 인상깊었습니다,2023.05.01
6,"실비아, 살다",5,늦게 본게 후회되는 극,주변에서 추천을 너무 많이 받아서 뒤늦게 봤는데 더 일찍 볼 걸 후회했어요 너무 좋은 극!!,2023.05.01
7,"실비아, 살다",5,흑흑,막주에 자첫했던 저를 그저 후회합니다  다시오면 초반부터 열심히 볼게요...,2023.04.30
8,"실비아, 살다",5,정말 좋은 공연,실비아라는 실존 인물에 대한 깊은 사랑과 예의가 보이는 공연이었고 그 인물의 삶을 보여주면서 또다른 실비아들인 관객들의 삶에도 위로와 힘을 주는 다정한 시간을 객석에서 만날 수 있어요. 실비아역의 이수정 배우를 알로하 나의 엄마들에서 만났을 때도 좋았는데 진짜 더더더 멋져지셨어서 노래와 연기 모든 부분에 다 감동했어요,2023.04.28
9,"실비아, 살다",5,실비아에게 빨간목도리를,둘러주고싶어요..,2023.04.27
10,"실비아, 살다",5,"실비아, 살다",제목 그대로의 이야기 교훈실비아의 일대기,2023.04.26
11,"실비아, 살다",5,굿,넘버도 좋고 내용도 좋어오,2023.04.25
12,"실비아, 살다",5,굿,너무 좋았어요,2023.04.25
13,"실비아, 살다",5,좋은작품.,어두운 내용일줄 알고 안 보려다 딸이 꼭 보라 해서 봤는데 너무 좋은 작품이네요.,2023.04.24
14,"실비아, 살다",4,또 만나요 실비아,"또 시작될 기차여행을 기다리고 있겠습니다. 모든 배우분들 스텝분들 수고 많으셨어요!   올해 극장에서 제일 많이 울었던 실비아,살다 늦게 보게되어 한번 더 못봐 아쉬워요ㅠㅠ",2023.04.24
