,musical_title,rate,review_title,review_text,review_date
0,여신 님이 보고 계셔,5,강추,배우님들 연기가 너무 좋았어요,2023.03.29
1,여신 님이 보고 계셔,5,강추,배우님들 연기가 너무 좋았어요,2023.03.29
2,여신 님이 보고 계셔,5,여신님이 보고계셔,아아 아아 아아 여신님이,2023.03.28
3,여신 님이 보고 계셔,5,유쾌하고 따뜻한 휴먼극,"별 기대없이, 아무런 정보없이 보았는데. 대본, 넘버, 무대 구성, 배우들의 연기 모두 너무 좋았어요. 빵빵 터지다가도 훌쩍거리며 울게 만드는, 따뜻한 극입니다.",2023.03.26
4,여신 님이 보고 계셔,5,모두들 마음 속에 여신님이 존재하지,더 일찍 보지못해 아쉬웠던 작품...!!프레스콜만 마르고 닳도록 보다 드디어 본 공연이었는데 기대만큼 너무 좋았던 작품!!!무거운 주제임에도 개그코드를 끊임없이 줘서 조성윤 영범과 애기 리현 순호의 호흡도 진짜ㅠㅠ다들 순호 애기처럼 챙겨주고 영범은 진짜 아빠같은 감정선이 좋았던....ㅠㅠ다들 진짜 잘하셨고 같이 본 친구는 창섭이 행님의 연기를 진짜 좋아했습니다!!!그리고 무섯보다 우리 여신님....전부 다 다른분인줄 알만큼 연기력이 장난없는 연우여신님ㅠㅠㅠㅠㅠ내년에 또 오면 진짜 또 보러갈 작품,2023.03.22
5,여신 님이 보고 계셔,5,<여신님이 보고 계셔>,"어떤 공연을 볼까 고민을 하다가 주변에서 들어봤었던 <여신님이 보고 계셔>가 어떤 내용인지, 후기를 보고 정하려고 들어왔는데 평점이 9.9더라구요??그래서 보러가게 되었습니다!공연을 보러 들어가고 공연을 보는 내내 평점이 9.9인 이유를 알게되었습니다!!! 극을 보는 내내 힐링이 되었고, 또 여신님이라는 가상의 인물을 통해 하나가 되고, 이후에는 본인이 각자의 여신님을 표현하는 장면에서는 모든 배우님들의 연기가 정말정말 최고였습니다!!조금 더 일찍 봤더라면 회전문을 돌았을 것 같은데 조금 늦게 접해서… 다음에 다시 <여신님이 보고 계셔>가 돌아온다면 그때는 꼭 회전문을 돌고 싶은 극이었습니다!서울에서의 극은 마무리 되었지만,,, 부산에서의 공연이 남았으니 고민하고 계신다면 보러 가시는거 추천합니다!!!!",2023.03.20
6,여신 님이 보고 계셔,5,좋았어요,극의 스토리라인 괜찮았어요,2023.03.20
7,여신 님이 보고 계셔,5,여보셔 10주년,너무 좋았어요~20주년까지 화이팅!,2023.03.20
8,여신 님이 보고 계셔,5,보고싶어요,보고싶어요,2023.03.20
9,여신 님이 보고 계셔,5,너무좋아요,너무좋아요,2023.03.20
10,여신 님이 보고 계셔,5,잘보고갑니다,넘  좋아요,2023.03.20
11,여신 님이 보고 계셔,5,막공......,빨리 돌아와주세요 ㅠㅠㅠㅠㅠㅠㅠ,2023.03.20
12,여신 님이 보고 계셔,5,막공 너무 아쉬워요 ㅠㅠㅠㅠ,부산공연도 보러갑니다,2023.03.20
13,여신 님이 보고 계셔,5,너무 재밌었어요!,친구랑 같이 봤는데 친구도 너무 좋아했어요~,2023.03.20
14,여신 님이 보고 계셔,5,최고의 공연,다시 돌아와주세요,2023.03.19
15,여신 님이 보고 계셔,5,최고의 공연,다시 돌아와주세요,2023.03.19
16,여신 님이 보고 계셔,5,아쉬워요,이렇게 그냥 보내기에는 너무 아쉬워요 가지마요,2023.03.18
17,여신 님이 보고 계셔,5,짱,조앗어용,2023.03.16
18,여신 님이 보고 계셔,5,역시최고,여보셔짱!,2023.03.14
19,여신 님이 보고 계셔,5,굿,좋아요,2023.03.14
20,여신 님이 보고 계셔,5,굿,좋아요,2023.03.14
21,여신 님이 보고 계셔,5,너무 행복했어요.,정말정말 좋은 극인 것 같아요. 그래서 10년이란 세월을 할 수 있던 거겠죠. 보는 내내 행복했어요.,2023.03.14
