,musical_title,rate,review_title,review_text,review_date
0,은밀하게 위대하게,5,즐거웠습니다.,2개월 동안 행복한 시간을 만들어준 모든 배우분들께 감사합니다. 다음에는 평범하게 만납시다.,2023.05.08
1,은밀하게 위대하게,5,2023 뮤지컬 〈은밀하게 위대하게:THE LAST〉,막공까지 남은 4일.....  가지마요ㅠㅠ,2023.05.08
2,은밀하게 위대하게,5,오마니! 반드시 돌아오갓슴니다!,"약 2개월 동안 은위를 보면서 행복했습니다. 스토리, 안무, 연출 등 모든 게 빠지지 않는 공연이라 끝나는 것이 너무 아쉬웠어요! 배우님들의 엄청난 에너지에 저도 힘을 얻었습니다. 끝나는 것은 아쉽지만 반드시 돌아오실 거라고 믿고 있겠습니다!  공연은 정말 좋았으나, 동구통장 혜택은 좀 아쉬웠어요.  먼저, 동구통장 혜택 30,50퍼 할인 쿠폰을 마지막 공연까지 못 쓴다는 게 아쉬웠어요. 열심히 적립을 했지만 공연 마지막 주라는 이유로 못 쓰면 이게 과연 혜택일까라는 생각이 들었습니다. 둘째, 6회차 증명사진 혜택을 여러번 재방문 끝에 받았습니다. 늘 다음 방문 때 받을 수 있다는 말만 믿었는데 계속 지연되니까 조금 답답함을 느꼈어요.. 다음번엔 더욱 신경써서 준비해주셨으면 좋겠습니다. 마지막으로는 9회차 폴라로이드를 조금 더 신경써서 찍어주셨으면 좋겠어요. 제가 뽑은 것만 그런 거 일수도 있지만 아무리 봐도 A컷으로 느껴지지 않는다면 뭔가 잘못되지 않았나 생각해요. 한두번도 아니고 9번, 9회차 혜택인데 유쾌하진 않았습니다.  아쉬운 부분도 있었지만 늘 좋은 공연을 보여주신 건 진심으로 감사드려요. 행복했습니다. 정말정말 진심으로 좋아했고 다음에 또 보러가겠습니다! 연어니까요!",2023.05.08
3,은밀하게 위대하게,5,막공은 막공..!,재밌게 잘 보고왔어요!,2023.05.08
4,은밀하게 위대하게,5,2023 최고의 거짓말 선정,은위 폐막... 이게 진짜일 리 없어...다시 돌아와주라 은위...,2023.05.08
5,은밀하게 위대하게,5,"볼 거리도, 들을 거리도 많은 쇼뮤지컬",좋아합니다... 좋아해요... 은위 다시 돌아오기야...,2023.05.08
6,은밀하게 위대하게,5,은위 돌려주세요,제발요ㅠㅠ 상상마당 당장 출정이다ㅜㅠ,2023.05.08
7,은밀하게 위대하게,5,반드시 돌아와주시라요,세달동안 울고 웃고 정말 많이 행복했습니다. 반드시 돌아오갔다는 약속 꼭 지켜주세요!,2023.05.08
8,은밀하게 위대하게,3,즐거운시간이었어요 군대잘가요,모든 스태프 배우 수고하셨습니다,2023.05.08
9,은밀하게 위대하게,5,최고의 공연이었습니다!,배우분들의 최고의 연기에 정말 감사드립니다. 고생 많으셨습니다. 은위더라스트 최고!??,2023.05.08
