,musical_title,rate,review_title,review_text,review_date
0,인터뷰,5,반전을 뻔하지 않게 이끄는 배우들의 연기력,처음 예측과 전혀 벗어나는 반전은 밝혀지는 순간에는 놀랍지만 막상 밝혀지고 나면 그 전개 동안 루즈해지기 쉽습니다.  뮤지컬 인터뷰의 반전 내용이 짜잔 하고 밝혀졌을 때에도 저는 아 이제 루즈해지겠군 하고 걱정했어요. 그런데 전혀전혀 루즈하지 않았습니다! 만감이 교차하는 인물의 마음을 완벽하게 소화해내는 배우님들의 연기력 덕분에 뒤로 갈수록 더 숨가쁘고 더 긴장하면서 극을 봤어요! 정말 멋진 공연이었습니다. 한번 더 보면서 초반부터 등장인물들간의 긴장도 엿보고 싶은 공연이었어요. 한번 더 보러 오겠습니다.,2023.05.08
1,인터뷰,5,인터뷰 밤공,"음,,, 아마도 자막이였던 ㅠㅜ 표을 구할수가 없어서 더 보고싶지만 강제 자막을 할듯합니다 ㅠㅜ 어제 너무 잘보았어요!",2023.05.08
2,인터뷰,5,좋아요,연극 인사이드 보고 뮤지컬 버전도 보고 싶었는데 재밌었어요,2023.05.08
3,인터뷰,5,흥미로운 스토리와 배우들의 열연,흔히 접했을 이야기 같지만 배우들의 열연에 몰입해서 봤네요. 성일유진과 석준싱클의 연기 좋았습니다. 다른 배우분들로 다시 보고 싶네요.,2023.05.08
4,인터뷰,5,감사합니다,감사합니다,2023.05.08
5,인터뷰,5,감사합니다,감사합니다,2023.05.08
6,인터뷰,5,인터뷰,한 배우의 연기 차력쇼,2023.05.08
7,인터뷰,5,이 페어 존잼임,손유동 김지철 유소리 페어 존잼손유동 지미의 욕이 잘 붙지 않는데 그것이 오히려 쎈척하는 지미의 특성을 살리는 것 같고 지미의 순수함이 보여서 좋았음 김지철 유진은 어떻게든 싱클레어? 맷? 내면의 분화된 인격을 끄집어 내기 위해 고군분투....그래서 노네임의 인격이 나왔을 때 드디어 성공이구나.. 모든 인격의 주인으로 맷을 삼기 위해 끊임없이 맷을 불러내는 장면이 인상깊었음이제 다른 페어로 볼건데 기대됨,2023.05.08
8,인터뷰,4,영화 같던 스토리,영화 같은 스토리지만 영상이 아닌 무대에서 직접 배우들의 연기로 스토리를 눈으로 볼 수 있는 매력적인 작품.처음 관극때는 배우들의 역량이 백프로 표현이 안되서 이해가 안되었는데 이번 회차에서 배우들의 쫀쫀한 합과 연기전달에 극을 제대로 이해할수 있었음.하지만 보고 나서 느껴지는 찜찜한 기분은 극의 내용이 내가 불편해서이겠지 ㅠㅠㅠ,2023.05.08
9,인터뷰,5,극이 주는 메시지가 좋아요,유년시절의 아픔도 살인을 정당화할 순 없다,2023.05.08
