,musical_title,rate,review_title,review_text,review_date
0,일라이,5,ㅠㅠ최고였어요..,마지막..페어로 봤는데 진짜..너무좋았어요ㅜㅜ보내기아쉬웠음 또와주세죠..유태율 홍승안,2023.05.08
1,일라이,5,재미써요,재밌어요~,2023.05.08
2,일라이,5,기리온,홍라이,2023.05.08
3,일라이,5,재밌게 잘 봤습니다~,재밌게 잘 봤습니다~,2023.05.08
4,일라이,5,안녕 일라이,총막 얼마만에 들어가는 지 모르겠어요진짜 너무너무너무 사랑했습니다벌써 5월인데 아직도 보내주기가 너무 힘이 들어줍니다 ㅠㅠ제발 중계+스튜디오ost+전캐재연 소취합니다전 브릭스턴 아직 그 옥상에서 기다릴게요,2023.05.08
5,일라이,5,어떻게 살아야해,ㅠㅠ 마지막이라는 게 아직도 안 믿기고진짜 사랑했고 진심이었습니다돌이켜봐도 배우분들의 열연과 열정때문에 행복했습니다,2023.05.08
6,일라이,5,재미있어요,배우분들 열연과 넘버가 모두 기억에 남는 뮤지컬이었습니다,2023.05.08
7,일라이,5,끝인게 너무 아쉽,넘버도 너무 좋았고 재밌게 봤어요,2023.05.08
8,일라이,4,브릭스턴아카데미,벌써 그리워요. ㅠㅠㅠ 다시 개교 하기로 약속 ㅠㅠㅠ,2023.05.08
9,일라이,5,일라이를 본 시간이 즐거웠다,일주일이나 지났는데도 어제 본것처럼 생생하네요...,2023.05.08
10,일라이,5,일라이 즐거웟어요,재미있었음!! 배우들도 다 너무 열심히 하고ㅠ,2023.05.08
11,일라이,5,너무 좋아요,바람맆 넘버가 너무너무 좋아요.배우님들의 연기도 너무 좋아요,2023.05.08
12,일라이,5,재밌어요,재밌어요,2023.05.08
13,일라이,5,재밌어요,재밌어요,2023.05.08
14,일라이,5,재밌어요,재밌어요,2023.05.08
15,일라이,5,짱,또 보고싶은 공연입니다포인트 받아서 또 보고싶어요포인트 주시길… 포인트 받구싶다잉마지막 공연까지 너무 행복했습니다!내가 좋아했던 공연 안녕 !,2023.05.08
16,일라이,5,감사합니다 ,즐거운 공연 해주신 배우님들 감사합니다,2023.05.08
