,musical_title,rate,review_title,review_text,review_date
0,캣츠,5,너무 좋았어요,캣츠를 꼭 봐야한다더니 진짜 너무 기억에 남는 공연이었어요..,2023.05.05
1,캣츠,5,마음이 웅장해지는,중간에 한글로 노래를불러놀랐고 노래하나하나가 마음이 너무 웅장해졌어요,2023.04.27
2,캣츠,5,기대만큼좋은공연,기대했던것만큼 멋진공연이었습니다. 후반부는 정말 감동이었네요.,2023.04.22
3,캣츠,5,아이가 정말 좋아하네요,젤리클 고양이들 넘 멋졌어요!!,2023.04.18
4,캣츠,5,인생에서 처음 본 뮤지컬,"학생 때부터 유명했던 뮤지컬, 캣츠한 번 보고싶었지만 비싼 티켓값 때문에 언젠간 봐야지, 라는 생각만 하고 있었어요. 그리고 이번달 4월 7일, 드디어 성인이 되고 직접 티켓 예매해서 관람하게 되었어요. 뮤지컬이 어떤건지 캣츠는 어떤 내용인지 아무것도 모르고 관람하였지만, 직접 체험하니 매우 좋았어요. 배우들의 노력과 실력이 잘 느껴지고, 마음이 가벼워지는 기분이 들어 좋았어요.",2023.04.15
5,캣츠,5,나의 첫 뮤지컬은 캣츠!,캣츠 정말 유명해서 보고 싶었는데 때마침 오리지널 캣츠가 한다는 소식에 바로 예매했습니다! 두달을 기다려 보러 갔는데 계명아트센터 건물도 예쁘고 캣츠 포스터가 크게 걸려 있는 모습에 설렜습니다 캣츠 배우분들이 객석을 돌아다니면서 공연하시는데 가까이서 배우분들을 볼 수 있어서 좋았고 무엇보다 배우분들 노래실력과 안무에 놀랐습니다 너무 재미있었어요ㅠㅜ최고,2023.04.14
6,캣츠,5,최고,최고 ㅠㅠㅠㅠ,2023.04.13
7,캣츠,4,굿굿,재밌었어요! 고양이들과의 교류가 좋았어요,2023.04.13
8,캣츠,4,최고!,어릴때 처음본 캣츠. 성인이되서 다시 만난 캣츠는 더욱더 최고!,2023.04.13
9,캣츠,5,울뻔했어요,오리지널 내한이라 짧은영어실력에 자막을 봐야했지만 배우들의 동작 표정 노래가사가 깊은여운을 남겨요.중간에 살짝 울컥도 했어요^^ 역시 캣츠입니다.,2023.04.13
10,캣츠,5,캣츠 관람후기,배우들의 몸짓에서 고양이를 연상할 수 있었고 노래와 어울리는 춤과 노래  부족함이 없이 좋은 뮤지컬 이었다. 객석으로 내려오는 배우들의 서비스도 환상적이었다. 긴 시간이었지만 시간 가는 줄 모르고 즐겁게 관람하였다. 라이브로 진행된 오케스트라의 음악도 현장 분위기를 높이는데 한 몫 멋졌다. 기회가 되면 또 보고 싶은 캣츠,2023.04.13
11,캣츠,5,믿고 보는 캣츠,초등학생 때 아무것도 모르고 부모님 따라가서 본 캣츠.. 지하주차장에서 우연히 사회자 고양이를 코 앞에서 보고 캣츠 광팬이 되었다! 오리지널 내한 공연을 대구에서 한다는 소식을 듣고 당장 예매를 하려 했지만 방심했던 탓에 젤리클석을 놓쳐버렸다 ㅠㅠ 아쉽지만 vip석에서 보았다. 고양이들이 공연 중간에 무대에서 내려와서 관객과의 소통하는 것도 너무너무 재밌는 관람 포인트였다! 어릴적 많이 듣고 보던 dvd속 영상과 노래를 성인이 되고나서 보니 더 감동적이고 재밌게 본 것 같다.. 마지막 지역에도 다시 한번 보러갈까 생각중이다 ㅠㅠ 너무 강추 입니당,2023.04.12
12,캣츠,5,캣츠 후기,열심히 하는 고양이들 ... 감동이였습니다 얼마나의 노력과 땀이 절실히 느껴지는 공연이였고 다음에도 보고 싶네요 감사한 마음에 항상 응원 하겠습니다.,2023.04.12
13,캣츠,5,잊을 수 없는 감동,표정과 제스체 무대까지 내한공연다운 뮤지컬이었습니다.객석과 함께 호흡하는 멋찐 연출이었습니다.아이들도 꼭 봤으면 했는데많은 아쉬움이 남습니다.,2023.04.12
14,캣츠,5,최애 뮤지컬 캣츠!!!,처음부터 끝까지 눈을 땔수 없는 공연!! 최애 동물이기도 한 요염하고 멋진 고양이들의 춤사위와 연기는 가히 평가 불가 애묘인들만 알수 있는 고야이만의 특징을 잘 잡아내며 슬픔 기쁨 화남 희노애락을 그대로 표현함이 너무 흥미진진했어요!! 관객들과의 호흡도 넘 좋았고 럼텀터거에 푹 빠져버렸네요^^  모든 캣들 한분한분의 연기에 아낌없는 박수를 보내드립니다^^,2023.04.11
15,캣츠,5,1열의 즐거움,배우들의 숨소리 표정 몸짓하나가 다 느껴지는 젤리클 1열은 말해뭐하겠습니까? 완벽한 공연이었습니다. 터거가 전화하랬는데 전화번홀 알려줘야지~ ㅎㅎ,2023.04.10
16,캣츠,3,CATS,가기전에 고양이 공부를 하느라고 하고 갔는데 이름이 어려워서 와 닿지 않았는데 캣츠를 보고나니 어느정도 등장인물에 대해 낯설지 않고 친숙해졌다 자기 주관이 뚜렷하고 호기심 많은 Rum Tum Tugger 도 좋고 하얀 고양이 Victoria가 좋았다 Memory를 하도 많이 들어 식상해서 절대 좋아하지 말아야겠다고 다른 고양이들을 열심히 관찰 했지만 결국 원픽은 Grizabella 였다...좋은 공연을 또 보고싶다,2023.04.10
17,캣츠,5,내 생에 최고의 뮤지컬 <캣츠>,"다른 사람들은 살면서 뮤지컬도 보러 가고 그러던데, 30 넘도록 한번도 본 적이 없어서 충동 구매로 가게 된 첫 뮤지컬 공연이 캣츠 였습니다. 뮤지컬에 대한 아무 정보도 없이 보게 된 것이라, 자막 보랴, 공연 보랴, 정신이 없었지만 정말 즐거웠고, 왜 이제야 이런걸 알았나 눈물도 찔끔 나오더라구요. 그래서 재관람.. 했습니다! 부산에서 그리 멀지 않은 대구여서, 심지어 이번에는 사전 공부도 조금해서, 자리는 객석 오른쪽으로 잡고 숙소도 잡고 만반의 준비를 해서 방문했습니다. 역시나 재미있고, 2회차 관람이어서 그런가 처음 관람했을 때보다 많은 것이 보였고, 알 수 있었습니다. 그리고 재미있던건, 고양이들이 1월보다 한국말이 많이 늘었더라구요&#128513; 캣츠 덕분에 인생의 활력소가 생겼고, 일 하다가도 공연 봤던 기억이 떠오르면 즐겁습니다. 또한, 다른 뮤지컬은 어떠한지 궁금함도 함께 생겼습니다.  살다가 또 인생의 재미를 느끼지 못한다면, 활력소가 필요하다면 아마 또 캣츠를 보러 갈 것 같습니다.. 그러니 자주자주 내한공연이 열리길 바라고 또 바라겠습니다! 즐거웠습니다. 감사합니다! 또 만나요 고양이들!",2023.04.10
18,캣츠,5,정말 오랜만에 오리지널팀의 진수를 느낌,정말 연기 노래 분장 다 최고였어요,2023.04.10
19,캣츠,5,역시 캣츠,14년내한공연 관람후 9년만에 재관람이였네요ㅎOP석 관람은 신의한수!!배우들의 표정하나하나가 완전 고양이들이였어요ㅎㅎ다음에도 캣츠는 OP석입니다ㅎㅎ,2023.04.10
20,캣츠,5,캣츠후기,첫 내한공연 뮤지컬 켓츠로 봤는데 너무 재밌고 다시 보고 싶네요.,2023.04.09
21,캣츠,5,멋진 캣츠공연,나이 50이 되어 캣츠를 보게 되었네요어떤 뮤지컬일까 오래전부터 TV광고로만 보며 궁금해하다 가족끼리 공연을 보게 되었네요춤과 노래가 역시 소문대로 환상적이더군요무대디자인도 오리지널 팀답게 잘꾸며져있어서 역시 다르더군요좋은공연 많이 보러 다녀야겠다는 마음이 들정도로 훌룽한공연이었네요,2023.04.09
22,캣츠,4,제리클 파티에 초대된 기분,"현재 진행중인 타극들처럼 엄청 재밌고 몰입도가 강한 극은 아니지만 무난하게 볼 수 있는 공연이었어요! 예전보다 각색된 느낌도 있고, 한국 공연을 위해 노력하신 모습들이 보기 좋았어요.  제리클석 다시 돌아와서 너무 즐거웠어요!!",2023.04.09
23,캣츠,5,나 고음 좋아하네?,"대중음악 위주로 감상하다 보니 고음보다 중저음을 좋아했는데, 캣츠를 보고 깨달았습니다. 저 고음 좋아합니다.",2023.04.09
24,캣츠,5,와우! 캣츠,젤리클들의 움직임을 가까이서 볼 수 있어 좋았어요.가히 4대뮤지컬이라 할 만합니다!,2023.04.09
25,캣츠,5,배우들의 열정,그 오랜시간동안 열정으로 공연을 해주심에 감사하고 특히 한국말로 노래를 한 소절 해주는 대목에서는 감동을 받았어요 그리고 관객석으로 나와 관객들과 아이컨택하며 공연하는 모습도 인상깊었습니다,2023.04.09
26,캣츠,5,최고의 쇼,세계 4대 뮤지컬의 명성에 맞는 짜임새 퍼포먼스최고였습니다,2023.04.09
27,캣츠,5,너무 재밌게 보고 왔어요,동생 첫 뮤지컬로 보러 갔는데 너무 좋아했네요! 다음에도 꼭 다시 보고 싶대요~ 즐거웠습니다!,2023.04.09
28,캣츠,5,"뮤지컬의 정석, 안보면 섭하죠~",세계4대 뮤지컬중 하나인 캣츠 안볼수가 없죠... ㅎㅎㅎ 메모리를 현장에서 들으니 소름이 쫘악~ 너무 감동적이었어요. 추천합니다. ^^,2023.04.09
29,캣츠,5,감동적인작품,처음부터 끝날때까지 지루하지 않고 너무 재미있게관람했습니다 더 좋은 작품을 만나보고 싶네요,2023.04.09
30,캣츠,5,추천합니다.,캣츠 오리지널공연 최고입니다.,2023.04.09
31,캣츠,5,내 인생 첫 뮤지컬이자 소름과 감동을 선사한 캣츠,"뮤지컬은 처음이였는데, 그 처음이 캣츠라서 너무 행복합니다.너무 재미있게 잘 보았고,무대, 배우들의 소통지루할 틈이 없게 흘러나오는 음악, 조명모든 게 좋았습니다. 또 고양이 연기를 너무 잘 하는 배우들무서울 정도로 대단했습니다..!한 가지 썰을 풀자면,중학교에서 단체로 온 학생들 중,한 명의 신발끈을 배우가 풀고 도망가더라구요ㅋㅋㅋ그게 저희집 고양이와 하는 행동이 똑같아서 웃겼습니다ㅎㅎ 너무 재미있게 잘 봤어요!기회가 된다면 또 보고싶습니다!",2023.04.08
32,캣츠,5,너무 재밌게 봤어요^^,단지 b블럭 1열 앉았는데 자막이 잘 안 보였어요.1열 앞자리에 양가에 하나씩 정 중간에 하나 이렇게 자막 나오던데 b블럭이나 d블럭 앞에도 하나씩 더 있었으면 좋았을거 같아요^^;자막 포기하고 눈과 귀로 무대만 즐겁게 즐기고 왔어요^^*,2023.04.08
