,musical_title,rate,review_title,review_text,review_date
0,베토벤,5,서로에게 구원이 되어주는 안토니와 베토벤,외로운줄도 몰랐던 영혼이 외로웠던 여자 안토니.사랑을 거부하고 스스로 외로움을 갑옷삼아 상처받지않고자 버티고 있던 남자 베토벤서로 꼭 들어맞는 조각처럼 운명적으로 서로에게 위로가 되어주지만현실의 벽은 그들에게 심장 찢기는 고통을 선사한다그러나 그럼에도 그들은 서로를 몰랐던 때로 돌아가길 원하지는 않았을거같은 느낌,2023.05.08
1,베토벤,5,베토벤 ,시즌1보다는 스토리는 좋았네요무대도 한층 더 좋구요개인적으론 시즌1이 노래에서는 더 인상 깊었던거 같아요대극장이라. 확실히 무대 변경은 압도적이네요~~배우님들의 노고에 깊은 감사 드립니다,2023.05.08
2,베토벤,5,박효신 배우님 ,정말 최고였어요..중2 초5 애들과 함께 갔는데목소리로 무대를 꽉 채우며 귀정화로 호강했어요… 뿌듯하게 연휴 마무리 했어요 …,2023.05.08
3,베토벤,5,생각보다 재미있네요.,"별로 기대안하고, 관람했는데..박은태님, 옥주현님..연기와 노래가 좋았어요. 1부는 좀 지루했는데, 2부부터는  배우들의 연기에 빠져들었네요. 조연배우까지도 모두 연기와 노래를 잘하는 라이센스 뮤지컬은 처음 인듯 합니다. 주인공은 잘해도. 조연배우들에게 아쉽곤 했는데,  그렇지 않았네요. 모든 배우님들 브라보~!",2023.05.08
4,베토벤,4,제작사의 의중을 모르겠긴한데 배우들은 진짜 너무 잘해서 ..좋은데 슬픈...,"내가 본 베트벤1은 그럼 ..  그냥 프리뷰였나요 나는 17만원 내고 프리뷰를 본건가싶은 이럴거면 그냥 애초에 1,2가 있다고 말이나해주지 그치만 배우들은 정말 짱짱 베토벤 그 자체세요 박은태 최고~",2023.05.08
5,베토벤,5,너무 잘하시네요,박효신님...진짜ㅠㅜ 너무 고생하셨어요 늘 응원해요 화이팅,2023.05.08
6,베토벤,3,배우들이 갈수록 잘해요,배우들이 촘촘하게 쌓아오는 디테일들 보는 맛으로 봅니다 프란츠 캐릭터의 이야기가 조금 바뀐 것이 개인적으로는 아쉬웠어요,2023.05.08
7,베토벤,5,은토벤 넘 멋져요,박은태 배우님 노래 연기 모두 완-벽시즌1때보다 시즌2 훨씬 내용이 좋아졌네요!,2023.05.08
8,베토벤,4,극 내용은 지루하지만,극 자체보다는 배우들이 너무 잘해줘서 어떻게 보고 있네요... 넘버는 그나마 듣기 좋아서...,2023.05.08
9,베토벤,5,오늘 정말 시간 가는줄 모르고 집중해서 봤어요!! 최고,오늘 정말 시간 가는줄 모르고 집중해서 봤어요!! 최고입니다...!,2023.05.08
10,베토벤,5,최고,최고예요 감사해요 ㅜㅜ,2023.05.08
11,베토벤,5,최고,최고예요 감사해요 ㅜㅜ,2023.05.08
12,베토벤,5,최고,최고예요 감사해요 ㅜㅜ,2023.05.08
13,베토벤,5,최고,최고예요 감사해요 ㅜㅜ,2023.05.08
14,베토벤,5,이전 시즌보다 나아졌어요,괜찮게 봤습니다 네... 그래도 재미 볼 구석이 좀 있어요,2023.05.08
15,베토벤,5,잘 봤습니다,잘 봤습니다,2023.05.08
16,베토벤,5,최고의 베토벤,페어막이라 아쉬워요.....,2023.05.08
17,베토벤,5,여전히 EMK는 실망이지만 배우는 최고,그냥.. 더이상 극 제작하지를 말길,2023.05.08
18,베토벤,5,카토벤,카토벤 최고!!!!,2023.05.08
19,베토벤,5,베토벤 후기,즐거운 관람이었습니다.,2023.05.08
20,베토벤,5,박효신...,아 박효신...,2023.05.08
21,베토벤,5,은공주... 멋진 공연이었습니다,다음주 페어막 때도 멋진 공연 기대할게요!!,2023.05.08
22,베토벤,5,최고..,최고의 공연,2023.05.08
23,베토벤,5,좋앗어요,최고입니다,2023.05.08
24,베토벤,5,최고의,배우님,2023.05.08
25,베토벤,5,재밌어요~!!,너무 재밌어요~! 또 보러갈게요!,2023.05.08
26,베토벤,5,먹먹한 감동,충만하면서도 먹먹한 감동이 있었어요,2023.05.08
27,베토벤,5,최고의공연,모든 배우들의 열연이 특히 감명깊었습니다. 행복한 연휴를 보낼 수 있었습니다.,2023.05.08
28,베토벤,5,어버이날 선물 대성공!,어버이날 선물로 부모님 뮤지컬 보시라구 예약해드렸어요. 공연 너무 만족하셨다고 하셔서 예약해드리길 너무 잘했다고 생각했어요^^ 배우님들 노래 너무 잘하시고 세종문화회관 대극장 무대도 웅장하다며 좋아하셨어요!!!,2023.05.07
29,베토벤,5,"연출이 빛났고, 박은태님의 천재성을 엿본 작품","미할하쿤체의 느낌을 많이 느꼈고, 예술적인 부분을 많이 (무대배경 포함)들어가서 더 좋았다.자연적 무대 배경이 베토벤의 마음을 대변하는 느낌을 받았고, 우리는 AI가 공존하는 시대에 살고 있는 많큼 베토벤은 시대를 앞서가는 뮤지컬이라는 생각이 들었다. 이 부분은 감성적이고, 따뜻하고, 절제적이고, 카리스마 넘치고, 무대장악력이 뛰어난 박은태 배우님을 다른 뮤지컬에서 많이 보아왔던 관객의 입장에서 느낀 부분이다. 베토벤은 천제성의 고전적인 느낌의 무게감 부분을 좀 더 살렸으면 어땠을까 생각했다. 예전 세종문화회관 공연했던 뮤지컬 라흐마니노프의 정신적인 부분 프로이드의 영향을 받은 부분이 아직도 생각이 나는걸 보면 고뇌의 부분을 더 다뤘으면 어땠을까 하는 생각이든다. 하지만 사랑에 대한 부분은 너무 감동적이고, 진실한 사랑에 대한 감정을 가지고, 음악으로 승화시키는 모습이 너무 강렬하고 아름다웠다. 그렇게 생각하면, 고뇌에 대한 부분을 사랑이라는 감정으로 승화시킨것일까? 전문가가 아니라 잘 모르지만 굉장히 세련된 연출인건만은 확실하다.깜짝 놀랄만한 배경들(배토벤의 정신적인 영역)을 대변하는 영상들이좋았다 무용수들이 꽤 많이 등장한다. 이 부분은 참 좋았다.프랑스 뮤지컬 노트르담드파리나, 아마데우스에서도 무용수들이 많이 등장하는데 참 예술적으로 보인다. 하지만 베토벤과 다른점은 프랑스 두 뮤지컬은  부분적으로 굉장히 치명적으로 강렬한 음악과 무용수를 등장 시킨다는 것이다. 베토벤도 음악라는 재료를 가지고, 아주 강렬한 음악적 고뇌로 관객들의 뇌리에 남을만한 무용수 한 컷 정도는 넣었으면 어땠을까? 전체적으로 은은하게 무용수들이 등장한다. 이건 어떤 연출가의 의도였을까? 아마 섬세한 사랑의 감정과 천제적인 고뇌에 대한 부분을 표현했던걸까?어쨌든 베토벤은 시대를 앞서가는 뮤지컬임은 분명하다. 박은태 배우님께서는 정말 대단하시다!예술적인 기질이 너무 많이 보이셔서 깜짝 놀랐다.박은태님께서는 사랑에 대한 무게감이 있으시다. 또 클래식함도 있으신데 창의력도 좋으시다",2023.05.07
30,베토벤,5,카이님은 정말 멋있습니다,원래 뮤지컬볼때 모든 배우 회차로 다 보는데 카이님 회차 보다가 깜짝 놀랐어요 엄청난 가창력과 처음들어보는 딕션과 성량 이였습니다 성량 기대하고 갔는데 연기까지 엄청 잘하셔서놀랐습니다 다음에 다른뮤지컬 또 보게된다면 카이님으로 볼거에요,2023.05.07
31,베토벤,5,재미있게 봤습니다,감사합니다,2023.05.07
32,베토벤,5,시즌2 완성도 더 높아졌어요,시즌2 스토리가 더 탄탄해지고 개연성이 조금 더 생겨서 지루한 부분이 사라졌어요새로운 넘버들도 좋아요배우들 연기는 여전히 좋구요!조토니 제일 절절. 안토니역 배우님 중에 갠적으로 최고!박효신 갓효신! 잊지못함 ㅠ,2023.05.07
33,베토벤,5,대박!! 시즌2는 성공,시즌1보다 스토리 짜임이 훨씬~~~좋음강추 시즌2,2023.05.07
34,베토벤,4,미쳤어요,스토리는 호불호갈려도 쿄토벤은 정말 미쳤어요,2023.05.07
35,베토벤,4,베토벤 시즌2 후기,네 정말 잘 감상하고 왔네요.세종문화예술회관이 장소로 참 좋았다는 생각이 드네요. 개인적으로 베토벤을 좋아해서 교향곡 자주듣곤 합니다. 소나타 등 운명교향곡 1-4악장 까지 가사로 녹여표현한 것이 인상적이었구요. 저는 개인적으로 교향곡 9번 에 대한 에피소드가 더 부각될 줄 알았어요. 커튼콜 합창 더 길었으면 하는 마음이 드네요. 무튼 모두 배우님들 음악 스텝분들 모두 고생하셨습니다.,2023.05.07
36,베토벤,5,"카이님이랑 이해준님, 그리고 혼령들 진짜...","와 너무 좋았어요 시즌1에서 호불호가 많이 갈린다고 해서 걱정했는데..! 전 너무 좋았어요! 시즌2에서는 좀 바뀐게 있다고 해서 그런걸지도 모르겠지만, 전 진짜 너무너무 좋았고..! 그래서 내일 또 보러갈 예정..ㅎㅎ무대 세트도 너무 좋았어요 배경사진에 따라서 조명 각도를 바꾸시는걸 보고 진짜 감탄하면서 봤어요. 배경에 나오는 촛불 덕분에 분위기도 더 좋아졌던거 같구..! 마지막으로 배우님들..! 특히 음악의 혼령? 인가 그 분들 처음 나왔을때는 뭐지? 댄서인가? 했는데, 음악에 맞춰서 춤 추시는걸 보고 단순한 댄서는 아니구나 했죠! 갈 수록 그분들이 춤추시고 노래하시는걸 보는데..! 와 특히 남자배우 한 분이 진짜 눈을 뗄 수가 없게 하시는데!! 성함을 알고 싶은데ㅠㅠㅠ 화장을 짙게 하셔서 누가누구인지 구분이ㅠㅠㅠ큽ㅠ 그래도 정말 좋았습니다.. 저는 베토벤 극호였어요! ??아 그리고 카이님이랑 이해준님 너무 좋았어용.. 카이님은 퇴근길에 가까이 봐서 진짜 멍..하니 봤는데, 이해준님은ㅠㅠ 제가 배우님을 처음 봐서 누구신지 구분이 안돼가지구ㅠㅠㅠ 꼭 뵙고 싶었는데... 아쉽습니다ㅠ",2023.05.07
37,베토벤,5,옥토니 갓토니,옥토니..세종 무대 찢다..!!시작부터 예사롭지 않는 뉘앙스로 설레이게 만드시더니..‘절망만이 나의’ 결국 찢어버리셨다..절규 그 자체..다리에 위태롭게 걸쳐있는 뒷모습..잊혀지지 않는다ㅜㅜ뭔가 전체적으로 배우님들 모두가 차분?고요?했던 날.굉장히 잔잔한 그 사이로 스며드는 연기가..연기가 아니라 그냥 실제 상황을 보고 있는 것 같은 기분..오늘 정말 레전을 만들었다..최고였습니다!!,2023.05.07
38,베토벤,5,베토벤 ,음악이 귀에익은 익숙함이있어서 더좋았고  배우들의 열정이그대로 그껴져서 150분의시간이 아쉬움이남습니다~박은태님 정말최고인거같아요...반했습니다~~~,2023.05.07
39,베토벤,5,쿄토벤은 진짜 최고네요,역시 박효신 초고네요,2023.05.07
40,베토벤,5,베토벤 시크릿 시즌2 ,베토벤 시크릿 시즌1을 보고시즌2를 보는 관객으로써 매우 높은 평점을 주고 싶다.짧은 기간에 시즌2를 다시 한다는게 ..가능하다는걸 알게 해주었다..배우들과 각 스텝들의 피땀어린 노력으로 일궈낸 ..베토벤 시크릿 시즌2 시즌1을 보든.. 보지 않았던... 모든 분들에게 한번 쯤은 보시길 추천한다..특히.. 1막과 2막의 엔딩씬~ 강추 ~??,2023.05.07
41,베토벤,5,역시나 박효신..옳았다,너무나도 좋았습니다노래는 물론이고 스토리도 나름 괜찮았습니다! 추천합니다,2023.05.07
42,베토벤,5,카토벤,굿굿굿굿,2023.05.06
43,베토벤,5,옥주현 성량,옥주현씨 일본 다녀와서성대 갈아끼우고 오신거같아요10년전 성대같이 건강한 보이스를오랜만에 들었던것 같습니다,2023.05.06
44,베토벤,5,카토벤 베토벤 시즌2,"매순간 상대역과 밸런스, 케미가 최고입니다.시즌2  추가곡인 절벽의 끝도 표현과 음색 모두 최고입니다.",2023.05.06
45,베토벤,5,카토벤 최고였어요,조정은 김진욱 페어 시즌2에서 처음 봤는데 기대 이상이었어요 최고의 케미!,2023.05.06
46,베토벤,5,베즌투 후기,시즌 1에서의 아쉬운 점이 거의 다 보완되어 더 재미있고 만족스러운 관극이였습니다,2023.05.06
47,베토벤,5,Musical is my life,제 인생은 베토벤을 보기전과 보기후로 나뉩니다,2023.05.06
48,베토벤,5,환타스틱! ~^^,말로 표션할 수 없는 감격!우리틀의 만인의 연인 대장박효신 최고입니다!!~~^^♡,2023.05.06
49,베토벤,5,짧은 기간에 이렇게 변했다니,"디테일들이 추가, 수정된 부분이 극의 표현을 다채롭게 하고 관객의 몰입도를 높여준 것 같습니다. 하지만 애초에 불륜 스토리를 싫어하는 분들이 많은것 같아 아쉽네요.비밀의 정원은 개인적으로 좋아하는 넘버였는데 1막에서 빠져 아쉬웠지만, 지나치게 반복된다고 느껴졌던 다른 넘버들은 적절히 조절하여 지루함이 확 줄었습니다.시즌1에서 제기된 관객들의 불만을 대부분 수용해 준 것 같아 감사드립니다!!",2023.05.06
50,베토벤,5,믿고보는 카토벤,최고!!,2023.05.06
51,베토벤,5,베토벤!! 너무 좋아요,라이브로 들어 본 대장의 베토벤너무 즐겁게 감동적으로 잘 봤어요시간 후다닥 갈 정도로 즐겁게 잘 봤습니다주차는 세종로공영주차장에 하시면 되구요티켓팅 70분 후 주차 할인 받아서 사전 결제가능하니 편하게 하세요건물 지하 1층 내려가시면주차장 나가는 길에도 사전 정산기 있으니1층에 사람 많으면 한층만 더 내려가 보세요??,2023.05.06
52,베토벤,5,재밌게 봤어요,시즌1보다 좋았습니다,2023.05.06
53,베토벤,5,너무 감동적입니다.,무대 배우분들 모두 진짜 너무 잘하시고 보는 동안 몰입했어요. ㅎㅎ 좋은 경험하게 해주셔서 감사합니다.,2023.05.06
54,베토벤,5,베토벤 시크릿 시즌2,너무 재밌었습니다커튼콜데이에 예매기간 미니가사집까지배우들도 최고의 컨디션으로 멋진 모습 보여주셨어요어린이날이라 휴일에 최고의 공연을 볼 수 있어 좋았습니다,2023.05.06
55,베토벤,5,"완벅한 공연, 완벽한 쿄토벤!","여러 차례 관극중이지만, 볼때마다 새롭고 쿄토벤 박효신배우는 볼때마다 더 잘하는것 같다. 음악도 스토리도 연기도 너무 좋은 베토벤! 무조건 강추입니다~~",2023.05.06
56,베토벤,5,베토벤 시크릿시즌2,"공연을 보는 내내 배우들의 목소리로 옷 입혀진 베토벤의 곡들이 때로는 더 웅장하고 때로는 더 처연하게 가슴에 울려퍼집니다. 현대의 무대장치와 영상 기술로 재현된 그 시대의 숲, 강, 도시의 야경은 지금의 사정으로 잠시 주춤 했던 유럽여행욕을 불러일으키네요^^ 어둠속에 출렁이던 강물이 두 연인의 마음같아서 마음이 아직도 아파요..웃음을 자아내는 조연들의 열연과 앙상블과 혼령의 현대적인 춤이 다소 어두운 극에 마음이 쉬어갈 수 있는 포인트가 되는 것도 좋았고요. 마음 저릿한 가사들 또한 절절한 로맨스소설이나 발라드 음악을 좋아하는 저에겐 또 취저^^",2023.05.06
57,베토벤,5,박효신... 쿄토벤 역시 최고.,진짜 소름이 쫙,2023.05.06
58,베토벤,5,카토벤 최고,오늘 진짜 최고였어요 카토벤,2023.05.06
59,베토벤,5,가장 완성도 높은,"이제까지 본 베토벤 시크릿 공연 중 오늘이 가장 최고라고 얘기할 수 있을 정도로 만족도가 높았습니다멋진 공연해준 배우분들, 오케스트라분들, 스탭분들 모두 감사합니다",2023.05.06
60,베토벤,5,박효신,너무 기대하고 봣는데. 역쉬 기대를 져버리지않네요박효신 옥주연 케스팅 굿~~♡갓효신 이라는 말이 왜그런지 알듯합니다또 보구싶네요강추강추 합니다,2023.05.05
61,베토벤,5,베토벤 시즌2,너무 좋았습니다,2023.05.05
62,베토벤,1,개선은 재연을 기대합니다,근본적인 문제는 해결이 안 되네요,2023.05.04
63,베토벤,5,귓가에 맴돌아,"시즌1, 시즌2 다 봤습니다. 확실히 시즌1보다 더 괜찮았어요.  끝난 지금도 계속 계속 눈과 귀에 맴도는 스토리, 분위기, 배우들, 가창력 등 전부 최고입니다!!!!",2023.05.04
64,베토벤,5,불멸의 음악,"바뀐 넘버 나쁘지 않은데,불멸의 사랑을 위해 굳이 쌍방향 불륜을?배우분들이 이끌어 갑니다.",2023.05.04
65,베토벤,4,개꿀잼,오글을 내릴수가없음음악이 귀에 팍 하고 박히는건 아닌데클래식이다 보니 서서히 스며듦 자꾸생각남,2023.05.04
66,베토벤,5,지금까지 본 뮤지컬 중에 최고~!!,이번 캐스팅 박효신 옥주현..정말 최고입니다 말이 필요없어요 ㅠㅠ  티켓 비용 하나도 안 아깝다는 생각이 들었네요 음원 틀어놓은줄..기회가 된다면 다시 한번 보고 싶을 정도네요 강추합니다~!!!!,2023.05.04
67,베토벤,5,박효신,몇 년 전 웃는 남자를 봤을 때는 연기보다 노래 들으러 가는 마음으로 봤는데이번에는 연기까지 늘어서 너무 즐겁게 봤습니다. 음악과 노래 너무 좋았는데더블이 되는 부분에서 마이크가 지직거리는 소리가 들려서 가사 전달이 잘 안될때가 있어서 아주 살짝 아쉬웠습니다. 3시간 공연에 지루하지 않고즐길 수 있게 만들어주셔서 감사합니다.,2023.05.04
68,베토벤,5,완전 재미있고 감동적입니다,추천합니다 이제 얼마 안남은게 서운할정도입니다 더늦기전에 보세요,2023.05.04
69,베토벤,5,노래,넘잘하네요,2023.05.04
70,베토벤,3,베토벤 뮤지컬 관람 후기,박효신님때문에 갔는데 차라리 콘서트 갈걸 그랬네요스토리는 완전 최악이라 생각들어요본 뮤지컬 중 제일 재미없었던것 같아요박효신님과 옥주현님 아니였으면 1막 끝나고나와 버렸을것 같아요박효신님 옥주현님 연기와 노래는 환상적이고더할 나위없이 좋았습니다 두분의 연기와 노래는 10점이라도 드리고 싶지만스토리는 0점 주고 싶어서 중간 점수로 별 세개 선택했습니다,2023.05.04
71,베토벤,3,생각보다 아쉬운..,"옥주현님 컨디션 괜찮으신거 맞나요?? 좀 아쉬웠습니다..다신 볼수없는 조합일것 같아서 기대하고 왔는데, 너무 불안해서 집중이 안될정도.. 다들 칭찬 일색인거보니 1,2층 음향 차이인가 싶기도 하지만...",2023.05.03
72,베토벤,5,완전 감동이에요.,박효신의 베토벤 소름돋을 정도로 정말 감동 그자체 였습니다.또 재관람 하겠습니다.,2023.05.03
73,베토벤,5,시즌3가 기대되게 만드는 시즌2,"보완된 내용이 어떤 것일까 시즌 1의 내용과 차이점을 찾아보는 재미도 있었고,그 차이점들이 개인적으로는 마음이 들었습니다.여주인공의 넘버도 너무 좋았고…전체적으로 몰입해서 볼 수 있는 뮤지컬로 잘 보완되고 있는 느낌입니다. 그리고 가장 중요한 것은 역시 박효신의 존재감인 것 같아요. 쿄토벤을 통해 느낀 전율만으로도 이미 저에겐 가치있는 작품이었다 생각이 들정도 입니다.",2023.05.03
74,베토벤,3,데놋,봐도봐도 안질려요,2023.05.03
75,베토벤,3,쿄토벤 최고였습니다,쿄토벤이 들려주는 베토벤 감동이었습니다 ㅠ,2023.05.03
76,베토벤,5,인상덕인 공연이었어요!,기대는 크게안하고 봤는데 생각보다 노래도 좋고 즐거운시간이었어요 !!,2023.05.03
77,베토벤,5,어게인 in 세종,"예술의 전당에 이어 세종문회관에서도 관람했습니다.서사가 자연스러워졌고, 음악의 정리와 장치(조명. 무대공간연출등) 들의 변화가 극에 대한 몰입을 도와 편안히관람할수 있어 좋았습니다.다만...세종에서는 무대 시설 때문인지 양쪽 막이 안쪽으로 세워져 무대의뷰가 작아져서 예당에서의 시원한 느낌이 상쇄되어 사이드블럭에 앉으신 분들은 불편하셨을 것같아요.좋은 공연 감사합니다.",2023.05.03
78,베토벤,5,베토벤 관람후기_박효신x옥주현,저는 뮤덕이 아니지만 뮤덕이 될것같았던 최고의 뮤지컬..!!  박효신 라이브를 죽기전에 들어봐서 영광이었고... 무대 세트도 너무 신기하고 멋있었습니당.. 다른 배우분들도 너무 멋져요.... 추천입니당!,2023.05.03
79,베토벤,5,긍정적인 변화 그리고 마음을 울리는 공연,새로 추가된 베토벤과 안토니의 넘버가 너무 절절해 마음을 울렸습니다.   배우들의 섬세한 감정선 그리고 좋은 방향으로 변화한 모습이 인상 깊었던 공연,2023.05.03
80,베토벤,5,베토벤,"1층에서 관람하는데 공연내내 감동이였습니다. 첫번째 관람때는 공연의 화려함과 배우들의 성량에 놀라 스토리에 집중을 못한 듯해,어제 다시 관람해서 배우들의 연기와 노래에 집중하며 볼 수있었습니다. 주연,조연 모두 최고였습니다. 그중 박 효신과 옥 주연의 무대는 베토벤협주곡 「황제」가 생각날 만큼 최고였습니다. 본 공연이 마무리되고 재연공연까지 쭉 이어졌으면 합니다~",2023.05.03
81,베토벤,5,계속 생각나더니 ,사랑하게 되었네요~ 가장 사랑하는 배우와 음악이있는 소중한 뮤지컬이예요. 저에게는요.,2023.05.03
82,베토벤,5,또 보았더니 ,계속 생각 나는 뮤지컬..,2023.05.03
83,베토벤,5,보았더니,또 보고 싶은 신기한 뮤지컬..,2023.05.03
84,베토벤,5,와우,박효신... 갓,2023.05.03
85,베토벤,5,매우 만족스러운 공연이었습니다,"세부적인 변화를 준 넘버들도 좋았고 넘버 순서를 바꿔 개연성을 더 확보한 부분도 좋았습니다. 또, 토니의 파트가 체감되게 늘어나 베토벤과의 사랑에 대한 몰입도도 높아지는 것 같습니다. 시즌1에 비해 전체적인 완성도가 확실히 좋습니다. 그리고 당연히 박효신 항상 최고였습니다!! 내 운명 앞에 나는 여운이 강하게 남네요..!",2023.05.03
86,베토벤,5,다시는 못 볼 조합 박효신X옥주현,공연이 빈틈없이 스토리 라인이 탄탄해서 진짜 재밌게 봤네요.공연 보는 내내 감탄과 소름..극의 클라이막스에 도달했을땐감동도 받으면서 모두의 운명이랄까 현실에 부딪히는 모습이 참 안타까웠네요.. 어떤 뮤지컬 보다 여운이 남아서집에 돌아오는 내내 묘한 감정과 생각에 빠졌네요..정말 잘 봤습니다!,2023.05.03
87,베토벤,5,감동적이에요,처음으로 뮤지컬 보면서 눈물 흘렸어요 그만큼 진심이 닿은거 같아요 무엇보다 무대가 현대식이라 시간의 흐름을 느낄 수 있었고 정말 재미있었어요 (???????)♡ 베토벤이라는 예술가의 삶을 잘 이해할 수 있었던 하루였어요 너무 감사해용 ????,2023.05.03
88,베토벤,5,새로 추가된 넘버 ...,토니 옥주현으로 봤는데 새로 추가된 넘버절망만이 나의  어마어마합니다 ㅠㅜ꼭 보세요,2023.05.03
89,베토벤,5,기대이상,그냥 극에 빠져들어봤어요 시작부터 끝까지 어색하거나 거슬리는 것 없이 잘 만들어진 극이라는 생긱뿐이었어요 무대 세트가  너무 멋있고 신기했어요 공을 많이 들였구나  느껴졌어요 무대세트가 몇 십번 바뀌면서 장면전환을 완벽하게 해주고 배우들의 연기도 더 돋보이게 해주었어요  팬텀 웃는 남자때도 감탄하며 봤는데 전 이번 베토벤이 최고라 생각되네요 박효신 배우가 연기한 베토벤 서사가 너무도 절절히 와닿았고 한 인간으로서 연민이 생기고음악가로서 삶도 더 잘 이해하게 되었어요 박효신배우 목소리도 이전 뮤지컬때와는 또 다른 부드럽고 고운 목소리로 흡사 악기가 연주하는걸 듣는듯했어요 옥주현 배우는 처음 직관했는데  목소리도 풍성하고 다양한 소리를 내고 감정표현도 잘하고 감명깊게 봤어요 혼령들은ㅅ 비롯한 모든 배우들이 누구 하나 모자람없이 다 잘하셔서 흡족하게 봤어요 모든 배우 스텝분들께 감사를 표합니다.,2023.05.02
90,베토벤,5,역시 최고,두번째 보는데 역시 은토벤과 선녀토니는 최고의 조합이네요. 두분 다 감정연기 대단하십니다. 노래는 말할 것도 없죠ㅠㅠ,2023.05.02
91,베토벤,5,즐거웠어요.,여윽시 박효신님! 소름. 감탄을 안할수가 없었어요.티켓파워! 사실 박효신님 보러간거 였거든요.ㅎ옥주현님 목소리도 정말 왜그리 예쁜지 깜짝 놀랐어요. 진짜 은쟁반에 옥구슬 굴러간다는 소리가 이건가 했습니다. 다른 배우님들도 노래를 엄청 잘하셔서 역시 뮤지컬 배우는 배우구나 했습니다. 베토벤의 인생에 대해선 뭐라 감히 평가할순 없지만 그냥 일생이 너무 안타까웠습니다. 안아주고 싶게끔요. 정말 환생이 있다면 한번쯤의 인생에선 두사람 행복하게 사랑하며 살았음 좋겠네요.모든 배우님들 수고하셨고요 좋은공연 보여주셔서 감사합니다^^,2023.05.02
92,베토벤,4,예술의전당보다 훨씬 나았습니다,"예술의 전당 공연 때와는 비교가 안되게 가사도 잘 들리고, 음향이 훨씬 깔끔해졌습니다.",2023.05.02
