,musical_title,rate,review_title,review_text,review_date
0,데스노트,5,데스노트 재밌어요,정말 재미있는 작품이에요~유일하게 회전돌고있는 뮤지컬입니다!!!,2023.05.05
1,데스노트,5,데스노트 최고입니다!!!,데스노트 작년부터 회전돌고 있어요지방사람인데도 데스노트 관극하러한달에  3~4번 서울에 갑니다이번달도 3번가고 담달에도 3번갈 예정입니다안보신분 있다면 꼭 보시라고 말씀드리고싶네요,2023.05.05
2,데스노트,5,뮤지컬데스노트,뮤지컬데스노트 마지막 라잇홍 보세요홍광호 김성철 장지후 장은아 류인아 배우님들 다 대박이에요,2023.05.05
3,데스노트,5,김준수 배우님 최고,데스노트 샤엘 너무 좋아요!!,2023.05.05
4,데스노트,5,최고의공연입니다,와진짜 귀호강이 이런거군요 ㅠㅠ 너무 좋아서 감동의 물결이 ㅠㅠ 최고의 공연을 봐서 행복했어요,2023.05.05
5,데스노트,5,재밌어요!,공연 무대도 좋고 캐스팅도 완벽합니다.,2023.05.05
6,데스노트,5,다시 봐도 재밌어요,캐스팅이 너무 좋네요.. 앵앵콜 공연이 생겼으면 좋겠어요,2023.05.05
7,데스노트,5,모든 배우님들 최고,홍샤 보러 간건데 주연배우님들 노래랑 연기 보고 소름돋아서 왔어요ㅠㅠ 노래가 아직 머리에 맴돌고ㅜㅜ  또 보러 갈게요ㅠㅠ,2023.05.05
8,데스노트,5,한 회차에 소름 백번 돋은듯,홍광호 김준수 회차 3회차네요ㅠㅠㅠ 볼때마다 새롭고 질리지가 않아요ㅠㅠㅠ. 계속 해주시면 좋겠지만 ㅜㅜ 막공도 가고싶네요ㅠㅠ,2023.05.05
9,데스노트,5,재밌음,재미있었다,2023.05.05
10,데스노트,5,역시 데스노트!! 철엘!!,원작 엘 좋아하면 철엘은 정말... 고정각 모든 배우분들이 완벽 ㅠㅠ!!,2023.05.05
