,musical_title,rate,review_title,review_text,review_date
0,결투,5,무협뮤지컬,최고였어요,2023.05.08
1,결투,5,재밌어요 ,재연으로 와주길 바라요,2023.05.08
2,결투,5,재밌어요,재밌습니다,2023.05.08
3,결투,4,너무 재미있습니다,너무 재미있습니다,2023.05.02
4,결투,5,결투 재연 기다림,불가 보아라.. 막공 보내고 너무 슬퍼요.. 재연 빨리 오세요 기다립니다..,2023.05.01
5,결투,5,너무 재밌었어요,굿굿굿,2023.05.01
6,결투,5,결투,너무 재밌었어요,2023.05.01
7,결투,5,공연은 끝이 났지만...,공연은 끝이 났지만... 이미 한참전에 끝이 났지만 그래도 볼 수 있어 행복했고 즐거웠어요,2023.05.01
8,결투,5,굿,재밌어요!!,2023.05.01
9,결투,5,좋은 공연입니다 ,좋은 공연입니다 재미있어요 감동이에요 추천합니다 강추합니다,2023.05.01
10,결투,4,꿀잼 ,빨리 재연 오기를 기다립니다,2023.05.01
11,결투,5,무협의 맛을 알게 됐어요,무협재밌네요,2023.05.01
12,결투,5,행복했어요!,행복한 지난 2달 좀 넘는 시간이었어요!마지막까지 너무 좋았고 배우들 모두모두 최고였어요.꼭 손잡고 더 넓은데로 와주시길..>.<,2023.05.01
13,결투,5,너무너무 좋았어요,추천합니다,2023.05.01
14,결투,5,굳,재밌습니다!,2023.05.01
15,결투,3,난해해요ㅋㅋㅋㅋㅋㅋ,무협지를 한번도 안 읽어봐서 그런가 용어부터가 너무 어렵고 난해했어요. 그치만 재밌는 것도 같고?,2023.05.01
16,결투,5,최고,재밌었어요,2023.05.01
17,결투,5,재밌었어요,신선한 공연입니다,2023.05.01
18,결투,5,짱,다음시즌 그대로 와주세요~~^,2023.05.01
19,결투,5,담엔 극장 크기 좀,큰 데 와주세요...너무 작아서 티켓팅 하다 죽는줄,2023.05.01
20,결투,5,수련하러 가겠습니다.,강호에 수련하러 다녀왔습니다.,2023.04.28
21,결투,5,잘봤습니다,좋았습니다,2023.04.28
22,결투,5,"안녕, 도나라",그동안 덕분에 울고 웃고 정이 많이 들었네요.다 끝나고 돌이켜보니 모두 좋은 추억들입니다.덕분에 정말 행복했어요.도나라에서의 여정이 끝나도 언젠가 다시 만날 수 있기를 Bye from donara,2023.04.28
23,결투,5,좋아요~,재미잇게장봣어요~,2023.04.26
24,결투,5,즐감했,유성재 배우님 애드립 장난 아니네요진짜 대사할 때마다 웃었어요,2023.04.24
25,결투,5,엄청 웃었어요!,유성재 배우님 덕분에 엄청 웃었습니다애드립 할 때마다 빵빵 터지네요,2023.04.24
26,결투,5,즐감했,무협 뮤지컬은 처음이라 걱정을 했는데 걱정했던 것과 다르게 재밌게 봤습니다!,2023.04.24
27,결투,5,재밌었어요,배우별 노선이 달라서 너무 신기했어요내가 회전을 할 수 있다는 것을 알려준 작품!,2023.04.24
28,결투,5,재밌게 봤습니다!,시놉만 읽었을 때는 제 취향은 아니었어요근데 기대 이상으로 재밌게 보고 나왔었습니다재밌더라구요 ㅎ,2023.04.24
29,결투,5,재밌어요,길었던 회전이 끝이 났네요 즐거웠습니다!!,2023.04.24
30,결투,5,재밌습니다,막공을 잘 보내주었어요 언젠가 또 만날 수 있기를,2023.04.24
31,결투,5,재밌게 잘 봤습니다,저번에 보고 한번만 더 보고 싶었는데 다행히 보게 됐네요ㅠㅠ 너무 재미있게 잘 봤습니다 빠른 재연 기다리겠습니다ㅜㅜㅜ,2023.04.24
32,결투,5,너무 잘 봤습니다~,너무 잘 봤습니다~,2023.04.24
33,결투,5,잘 봤습니다,재밌게 잘 봤습니다,2023.04.24
34,결투,5,최고..,재밌어요ㅠㅠ 도파민 미쳤네..,2023.04.24
35,결투,5,결투,너무 쟈밌고 슬프게 잘 봤습니다,2023.04.24
36,결투,5,곧 다시 오겠죠?,막판에 봐서 한 번밖에 못봤어요ㅠㅠ 곧 다시  올거라 믿습니다,2023.04.24
37,결투,5,또와주세요,즐거웠어요,2023.04.24
38,결투,5,결투,이제 결투가 없다니..,2023.04.24
39,결투,5,이진혁 배우 무협 뮤지컬을 위한 배우,"무공, 무림고수, 강호일도 이런 말들이 손색없이 어울리는 몸놀림과 연기력과 비쥬얼에 감동했습니다.",2023.04.24
40,결투,5,권익환 배우의 비룡,정말 좋았어요. 다채로운 인물의 심경을 유연하게 표현하면서도 확실히 납득시켜줘서 극을 더 재밌게 만들어주셔서 감사합니다.,2023.04.24
41,결투,5,새로운 시도에 박수를 보냅니다,"대학로 뮤지컬에 더이상 새로운 게 있을까? 생각하던 차에 무협이라는 장르를 시도해준 컴퍼니와 창작진, 몸을 아끼지 않은 배우들에게 깊은 마음의 박수를 보냅니다.",2023.04.24
42,결투,5,빠르게 돌아왔으면 하는 뮤지컬,"대학로 뮤지컬에 무협이라는 장르를 시도해준 컴퍼니와 창작진, 몸을 아끼지 않은 배우들에게 깊은 마음의 박수를 보냅니다.",2023.04.24
43,결투,5,감동적인 무대ㅠㅠㅠㅠㅠ,배우분들이 보여주신 무대가 너무 감동적이고 슬펐어요!!ㅠㅠㅠㅠㅠㅠㅠ 정말 최고의 공연이었습니다!!ㅠㅠㅠㅠ,2023.04.24
44,결투,5,결투...,진짜 무술도 화려하고 시간이 후딱감,2023.04.24
45,결투,5,재밌어요,재밌어요,2023.04.24
46,결투,5,재밌어요,재밌어요,2023.04.24
47,결투,5,유성재 강호의 제일 미남 이시죠,무공을 다 잃었을 때 그 간절함 속에 비로소 비의가 보이리라. 일심문 최후의 무공 이인일정 사인일일심(二人一丁  四人一一心) 행협일심? (行俠一心) 행협일심! (行俠一心) 일심문 비급의 비의는 무공이 아니라 협을 행하는 마음이다.,2023.04.24
48,결투,5,유성재 진짜 잘생겼다,무공을 다 잃었을 때 그 간절함 속에 비로소 비의가 보이리라. 일심문 최후의 무공 이인일정 사인일일심(二人一丁  四人一一心) 행협일심? (行俠一心) 행협일심! (行俠一心) 일심문 비급의 비의는 무공이 아니라 협을 행하는 마음이다.,2023.04.24
