,musical_title,rate,review_title,review_text,review_date
0,광염소나타,5,재밌어요,자리가 없네요 ㅠㅠ,2023.05.08
1,광염소나타,5,????????,너무 재밌어요. 감동적이에요,2023.05.08
2,광염소나타,5,최고에요,재밌어요,2023.05.08
3,광염소나타,5,좋아요,또 보고 싶어요,2023.05.08
4,광염소나타,5,재밌어요,넘버 좋아요,2023.05.08
5,광염소나타,5,앵콜 해주세요,내 손이 건반 위에서 춤을 춘다 음표는 내가 되고 쉼표는 네가 되어 모르모란도 조용하게 속삭이듯이 스포르잔도 그 음만 특히 세게 어서 이 음악을 완성해 너에게 갈게 빛바래지지 않게,2023.05.08
6,광염소나타,5,애정하는 극,너무 재밌게 보고 있는 극애정 하는극입니다.,2023.05.08
7,광염소나타,5,재미있어요,재미있어요,2023.05.08
8,광염소나타,5,재밌어요,너무 잘보고 왔어요,2023.05.08
9,광염소나타,5,멋져요,좋은 넘버 좋은 배우분들 덕에 좋은 공연 볼 수 있었습니다:),2023.05.08
10,광염소나타,5,재미있어요,배우분들의 열연도 인상깊었고 넘버가 너무 중독적이고 좋아요,2023.05.08
11,광염소나타,5,좋았어요,좋았어요,2023.05.08
12,광염소나타,5,세번째시도,제발올라가게해주세요박한근최고,2023.05.08
13,광염소나타,5,이 대선율은 나의 희생을 원해,제이야.... 넌 죄가 많다,2023.05.08
14,광염소나타,5,최고,문태유배우님 너무 잘하세요,2023.05.08
15,광염소나타,5,광염소나타,문태유 배우님 무대 ㄱ계속 해주세요,2023.05.08
16,광염소나타,5,문씅안 페어막에 자첫한 사람.......,그게 저예요.. 문씅안 더 줘라...,2023.05.08
17,광염소나타,5,천재들의 열등감..을 보면서,평범한 인간인 저를 돌아보게 되네요.좋은 공연 감사합니다.,2023.05.08
18,광염소나타,5,질봤습다,넘버가 좋아요,2023.05.08
19,광염소나타,5,광염소나타 ,비도 많이 오고 공연도 레전이라 좋았어요,2023.05.08
