,musical_title,rate,review_title,review_text,review_date
0,맘마미아,5,맘마미아 최고예요,"너무 재밌고요 다시 보고싶어서 또 예매햇어요,, ㅎㅎ",2023.05.08
1,맘마미아,5,"신시 최고,,, 최고의 효도 뮤지컬",재미와 감동 다 잡은 최고의 뮤지컬! 꼭 엄마랑 보세용,2023.05.08
2,맘마미아,5,너무 신나요,아는 노래들도 많고 다같이 춤추면서 노래부르는 장면들이 많아서 즐거웠어요!,2023.05.08
3,맘마미아,1,7년만에 다시 보는 뮤지컬,이었는데 정말 많이 실망했어요여배우 분들 캐슷이 너무 아까워요 이 극에여배우분들이 아무리 잘해도 바뀐 무대 구성지루한 연출 남배우들의 실력때문에 너무 쳐졌어요,2023.05.08
4,맘마미아,5,재밌어요,부모님이랑 너무 재밌게 봤어요 좋아요,2023.05.08
5,맘마미아,5,잘 봤습니다,좋았어요,2023.05.08
6,맘마미아,5,푸른 색감이 주는 따뜻한 뮤지컬,푸른 색감이 너무 따뜻한 뮤지컬이였습니다 .?유명하고 중독성있는 넘버와 배우분들의 탄탄한연기력 자체 만으로도 볼 가치가 있는 뮤지컬입니다극이 주는 메세지도 좋아 가족분들과 함께 보셔도좋을 것 같아요 점점 더워지는 날씨에 시원함과따뜻함을 동시에 느끼고 싶으시다면뮤지컬 <맘마미아> 추천합니다 ????,2023.05.08
7,맘마미아,5,최고의 뮤지컬!! 마마님 최고 ??,열심히 1열 중중블 티켓팅해서 보러 간 보람이있었어요!!!! 어쩜 그렇게 커튼콜이 재밌는지충무에서 킹키 이후로 오랜만에 방방 뛰면서 재밌게 보고 왔음 맘마미아 최고 신도나 최고????,2023.05.08
8,맘마미아,5,재밌어요,추천합니다,2023.05.08
9,맘마미아,5,너무 좋았어요,커튼콜 너무 신나요!!,2023.05.08
10,맘마미아,5,맘마미아,역시 맘마미아!,2023.05.08
11,맘마미아,5,맘마미아 짱,최고에요 짱,2023.05.08
12,맘마미아,5,딸의로망,중학생인 딸이 너무 보고싶어해서같이 보게 됐습니다.아름다운음악 최고의 배우들그리고 또 하나의 추억그리고 감동,2023.05.07
13,맘마미아,4,맘마미아는 역쉬,창작뮤지컬보다 역시 다시봐도 역사를 자랑하는 맘마미아를 봐야 뮤지컬본거같아요,2023.05.07
14,맘마미아,5,멋진 공연이었어요!,"남편과 오랜만에 즐거운 시간 보냈어요 :)  도나역의 신영숙님 너무 멋졌고, 익숙한 아바 음악들은 역시나 너무 산났네요~   너무 추천합니다 ^^",2023.05.07
15,맘마미아,5,언제나 최고인 맘마미아 공연,오래전 친정엄마와 보고 이제는 딸과 함께본 맘마미아 뮤지컬은 언제나 멋진 공연이네요아바 음악과 잘어우러진 최고의 스토리 같아요특히 이번 공연에서 도나 역의 최정원님은 잊을수없는 감동적인 모습으로 기억된답니다.맘마미아 뮤지컬은 세대를 넘어 감동을 주는 작품이네요,2023.05.07
16,맘마미아,5,공연은 좋았어요~,신영숙 도나 보고 왔어요도나 타냐 로지 조합은 최고였습니다????다만 음향이 너무 크고관크가 있어서 조금 불편했네요ㅠㅠ공연 중간에 카메라로 찍기도 하고 떠들고…어우..음향큰거는 여러 글이 보이는데 개선이 되었으면 좋겠네요,2023.05.07
17,맘마미아,5,이보다 완벽한 가족극은 없다 ,부모님 모시고 정말 특별한 하루 보냈습니다 너무 행복했어요,2023.05.07
18,맘마미아,5,신나신나,노래 연기 너무 재밌고 멋있었습니다. 재밌는 뮤지컬 엄마랑 꼭 가세요.  하 말이 필요없는 재미였어요ㅋㅋㅋ,2023.05.07
19,맘마미아,5,너무너무 좋았어요.. 근데,"정말 좋았어요. 다양한 연령층이 한 공간에서 같이 즐겁게 볼 수 있는 뮤지컬이 별로 없다고 생각하는데, 맘마미아!는 몇 없는 뮤지컬 중 하나인 것 같아요. 특히 신영숙님의 목소리가.. 정말 심금을 울렸어요. 저는 중년층도 아닌, 청소년이지만 캐릭터들의 심정이 다.. 이해가 가서 눈물이 나더라고요. 신영숙님이 감정을 토해내며 부르는 넘버가 있는데 정말.. 눈물이 주륵주륵 나왔어요. 감정이 북받쳐서...배우분들과 앙상블분들.. 너무 연습을 많이 하신 티가 나더라고요. 하지만!! 무대가 대극장임에도 불구하고 대학로 극단을 보는 기분이었어요. 배우분들이 직접 무대장치를 옮기시더라고요. 보다가 살짝 흐름이 끊겼어요. 그리고 오케스트라 음향은 너무 잘 들릴 정도로 컸는데, 남자배우분들의 성량에 비해서 음향이 너무 작았다고 생각해요. 저는 1층 3열이었지만 3층은 잘 안 들렸을 것 같아요. 그 점만 조금 수정하면 무대까지 완벽한 뮤지컬이 될 거라고 생각해요. 정말 좋았던 건.. 커튼콜이라고 할 수 있어요!! 3층까지 모두 하나가 되어 대표 넘버를 즐긴다는 것이 너무 감동적이여서 또 눈물이... ㅋㅋ 즐길 수 있는 뮤지컬인 것 같아요.",2023.05.07
20,맘마미아,5,최고의 뮤지컬,제가 좋아하는 배우님의 총집합에최애곡들!!!말이 필요없는 명작 뮤지컬입니다.다른 회차 꼭 더 보려고요~,2023.05.07
21,맘마미아,5,이햔우짱,너뭊머너눈누ㅜ누누누눈,2023.05.07
22,맘마미아,5,즐거워라,영화와는 또 다른느낌 ????,2023.05.07
23,맘마미아,5,역시 최고 그 자체!!,역시 최고 그 자체!!,2023.05.07
24,맘마미아,5,시간가는 줄 몰랐던 공연 : ),"평소 좋아하던 감독님과 배우님들이 나오는 때라서 가기 전부터 기대하고 갔어요ㅎㅎ감독님 지휘, 키보드 하시는거 너무 멋있고요배우님들도 즐기면서 공연하셔서 시간 가는 줄도 몰랐어요ㅎㅎ 팀워크도 잘 맞는 것 같고, 연휴 시작에 행복을 선사해주셨어요. 감사합니다 ??????늘 응원할게요!",2023.05.07
25,맘마미아,5,역시 돈값 하는 뮤지컬,"4인가족이 40만원대 내고 보자니 꽤 큰돈이 들어서 고민했으나 그 돈 내고 볼만했다고 생각합니다. 돈이 아깝지않아요. 3일 연휴동안 여행 안가고 뮤지컬 본걸로 만족해요.  뮤지컬 배우들의 발성이나 성량, 연기가 가수들은 따라가기 힘든면은 있는거 같아요. 그래도 연예인 보는 맛은 있었어요. 마지막 무대, 다 함께 춤추는 모습은 쾌감을 느꼈어요.",2023.05.07
26,맘마미아,5,맘마미아,즐거운 관람,2023.05.07
27,맘마미아,5,오늘 공연,오늘 공연 평소보다 더 재밌게 봤어요.,2023.05.07
28,맘마미아,4,맘마미아,충무아트센터에서는 처음 관람이였는데 사운드가 살짝 기대에 못 미치는 듯 했고 믿고 보는 최정원님의 연기 ??,2023.05.06
29,맘마미아,4,김정민의 재발견,음향은 실망이었지만 김정민배우님 너무 멋있으셨어요!!! 완전 다시 봄!bbb,2023.05.06
30,맘마미아,5,최고의 작품,"늦게 도착해서 주차장 공간이 없어서 외부에 주차하고 뛰어서 도착 했네요. 공연은 너무 만족 스럽 습니다. 극장에 좌석상태도 좋고, 아이들과 같이 갔는데 아이들이 너무 만족 스러워 합니다. 이젠 뮤지컬에 푹 빠져 버렸다네요... ^^",2023.05.06
31,맘마미아,5,최고였습니다:),부모님께서 전에 맘마미아 영화를 잼있게 보셔서 어버이날 기념으로 함께 관람했는데 너무 잼있다고 좋아하시네요^^저도 만족스런 공연이었습니다!,2023.05.06
32,맘마미아,5,좋아요~~~,시간만 된다면 또 보고 싶어요,2023.05.06
33,맘마미아,5,가족모두 만족,믿고 보는 최정원,2023.05.06
34,맘마미아,5,첫뮤지컬,너무 재밌게 봤습니다,2023.05.06
35,맘마미아,5,최고의 공연!!!,그동안 많은 공연들을 20년동안 보아왔는데...이렇게 많은 에너지를 받아가기는 처음입니다. 앞으로도 좋은 공연 부탁 드립니며 항상 건강하시길 빌겠습니다!!,2023.05.06
36,맘마미아,4,음향이 좀...,이번만 4번째 관람입니다. 최정원님은 여전히 갓정원님! 모든 배역이 찰떡이었습니다. 다만 음악 소리가 너무 커서 배우의 노래가사가 잘 안들려 아쉬웠어요. 전체적으로 오케스트라 음량을 조금만 낮춰도 좋을거 같았습니다.,2023.05.06
37,맘마미아,5,좋은 에너지 받아 갑니다,여자친구랑 처음으로 뮤지컬을 보러가게 되었습니다본 내용도 재미 있었지만 마지막 커튼콜 무대는 오히려 배우님들 덕에 관람객들이 좋은 에너지를 받지 않았나 생각되는 무대였습니다항상 좋은 무대를 위해 노력해주시는 배우님들 감사합니다정말 힐링하고 갑니다,2023.05.06
38,맘마미아,5,너무좋았어요,최고야,2023.05.06
39,맘마미아,5,너무좋았어요,최고야,2023.05.06
40,맘마미아,5,힐링 뮤지컬!!,가보니까 관객 연령층이 다양한게 너무 인상적이었어요!내용도 재미있고 신나고 힐링되는 내용이라 즐겁게 보고 왔습니다ㅎㅎ 한 번 더 보고싶어요,2023.05.06
41,맘마미아,5,음!,비가 왔지만 전석이 모두 꽉차있었어요배우님들도 열정적이셨고 관객들 매너도 좋았어요 타지에서 어린이날이라고 부모님이 주신 선물이라 더 즐겁게 봤어요!,2023.05.06
42,맘마미아,5,아름답다,맘마미아!  전연령 모두 가능하고 같이 웃고 웃을 수 있어서 즐거웠습니다! 부모님과 같이 또 보려고요♡,2023.05.06
43,맘마미아,5,커튼콜 와우ㅋ,커튼콜촬영금지???   이유있었네ㅋ,2023.05.05
44,맘마미아,5,즐거운 관람 했습니다,어린이날 좋은 추억이 될 것 같네요 :),2023.05.05
45,맘마미아,5,앵콜까지 너무 신났습니다,"최정원 배우님의 고음과 최태이 배우님과 김시영 배우님의 커플 케미,김경선 배우님의 코믹 연기와 김영주 배우님의 카리스마 넘치는 연기와 노래 그리고 세 아빠 장현성님,이현우님,송일국님의 믿고 보는 연기까지 모든게 좋았습니다",2023.05.05
