,musical_title,rate,review_title,review_text,review_date
0,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,볼거리가 많은 공연,볼거리가 많은 공연이에요. 배우들의 새로운 모습을 볼 수 있어 좋습니다,2023.05.01
1,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,막공,처음으로 막공 보러갔던거였는데이렇게 행복한시간은 처음이였어요 ㅠㅠ,2023.04.03
2,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,화려함,화려한 볼거리가 많은 뮤지컬이었습니다,2023.04.03
3,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,물랑루즈 대박,볼거리 완전 화려하규 넘버도 친숙해서 즐기기 좋고자리만 먼게 좀 아쉬웠네오ㅠㅍㅍ,2023.04.03
4,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,진짜 재밌게 봤어요,충주배우님 아이비배우님 두분 다 역할이 찰떡이에요..!!,2023.04.03
5,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,즐겁게 봤어요,화려하고 볼거리 가득했어요 재미있어요,2023.04.03
6,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,좋아요,너무 좋았습니다 재연 기다릴게요,2023.04.03
7,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,조아요,물랑루즈,2023.04.03
8,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,물랑루즈 ,베리 굿,2023.04.02
9,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,너무좋아요 ,너무좋아요 괜찮아요,2023.04.01
10,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),4,번역의 아쉬움.,익숙한 팝송을 한국어로 들으니까 낯설고 이질감 들었습니다. 아이비 배우님은 짱...최고...,2023.04.01
11,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,잊지 못할 물랑루즈,쇼뮤지컬의 정점이랄까요 화려함과 재미 감동 어느것 하나 빠지지 않는 뮤지컬입니다!! 잊지 못할 감동의 시간을 만들어 주셔서 감사합니다?? 재연 기다릴테니 빨리 오면 좋겠어요.,2023.03.31
12,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,최고!!!,홍광호배우님 막공보고왔습니다~ 너무 재밌고 또 볼 수 있는 티켓이 없다는게 아쉽네요 ㅠㅠ,2023.03.31
13,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,세번째가.막공,와..쥬크박스 같은 소중한 곡들허나 남발이 아닌 딱 적합한이충주의.재발견!!!,2023.03.31
14,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,"물랑루즈(아이비, 이충주)",무대 스케일 및 연기 노래 모두 너무 즐거웠습니다!!!첫 뮤지컬을 물랑루즈로 입문했습니다 !!,2023.03.30
15,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,최고최고최고 그냥 최고,물랑루즈 구냥 다 최고 ..????????,2023.03.30
16,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,진짜 재밌고 놀라웠던 뮤지컬,3층 맨구석자리였는데 오글쓰니까 가리는거 풍차빼고 다 잘보였음 마지막엔 광광 울고... 록산때 마이크먹먹해진거 빼곤 굿,2023.03.30
17,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),4,멋있다 멋있어,"노래로만 듣다가 현장에서 보니 화려 그자체보는 내내 눈이 즐거웠습니다.배우, 의상, 무대, 퍼포먼스 너무너무 최고!또 한다면 다른 배우버전으로 재구매 예정입니다.",2023.03.29
18,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,역시 홍광호!!,물랑루즈 화려함 속에 담긴사랑과 자유에 대한 갈망이 멋진 음악으로 표현된 최고의 뮤지컬~!꼭 다시 만날 수 있기를 바랍니다 ????,2023.03.29
19,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,아 대박..,솔찍히 영화팬으로써 1부는 뮤지컬의 한계구나..싶었는데 2부 마지막 홍광호 넘버에서 눈물 줄줄흘러 창피했네요 ㅎㅎ 또 보고싶어요!,2023.03.28
20,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,좋았어요,좋았습니다. 또 봐야겠어요,2023.03.27
21,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,베토벤 박효신,6글자로 표현 가능합니다,2023.03.26
22,# 뮤지컬 뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),5,홍광호최고,홍광호 아이비 최고 공연 이었습니다화려함의 극치또 보고싶은 마음,2023.03.26
