,musical_title,rate,review_title,review_text,review_date
0,해적,5,해적,최고의공연,2023.05.08
1,해적,5,해적,최고의공연,2023.05.08
2,해적,5,해적,강력추천,2023.05.08
3,해적,4,연기와 노래는 좋았지만,배우님들의 연기도 그렇고 노래도 멋있었지만 제 취향에는 맞지않아서 좀 아쉬웠습니다. 특히 인터미션송은 분위기를 확깨서 더 별로였어요 왜 있는거죠? 어셔 분들 열일하는 건 좋은데 공연 도중에 여기저기 계속 오고가는것도 관람에 신경이 많이 쓰였습니다.,2023.05.08
4,해적,5,쩡후 재밌어용,"정연, 김이후 페어는 두번째로 보는데 정말 재밌네요ㅋㅋㅋㅋㅋ 두 배우님 모두 노래가 엄청납니다....",2023.05.08
5,해적,4,잘 봤습니다.,"오늘도 잘 봤습니다. 김이후 배우의 매력이 어마어마해요.  포토카드도 받아서 좋네요. 이런 것들에 욕심 내면 끝이 없는데, 또 그냥 넘기기도 그렇고. 아무튼 이래저래 즐거운 관극이었습니다.  무엇보다 최석진 배우의 쾌차를 기원합니다! 건강한 모습으로 다음 시즌에서 만나길 기다릴게요!",2023.05.08
6,해적,5,최고..,너무 좋었어요ㅜㅜ,2023.05.08
7,해적,5,려후의 축복이 끝이 없네,이 천재들...,2023.05.08
8,해적,5,해적,즐거운 관극이었습니다,2023.05.08
9,해적,5,해적이 너무 좋아요,잭과 루이스 그리고 앤과 메리 배우님들도 다 좋아서 모든 페어 관람하고 싶어서 자리 있나 매일 기웃거리면서 예매창 들어오게 되네요 공연이 한달 정도 남았는게 자주 보게 될거 같아요!,2023.05.08
10,해적,5,지도를 삼키는,집념의 모태해적,2023.05.08
11,해적,5,해적,너무재밌어요,2023.05.08
12,해적,5,해적,나 모태해적이야~~!~!!,2023.05.08
13,해적,5,해적,파도 소리와 함께 떠나는 설레는 항해!,2023.05.08
14,해적,5,해적,언제봐도 재밌는 작품입니다! 또 보고 싶어요,2023.05.08
15,해적,5,대극장의 스케일,해적들의 웃음 소리 먹고  붉은 태양 토해내는 바다 내 손으로 기록한 내 눈으로 목격한 내 온 몸에 각인된 영혼의 사무침 ~~~~~~~ ㅠㅠㅠㅠㅠㅠ 머리에 끊임없이 울려퍼지는 그 노래,2023.05.08
16,해적,5,화이팅!!,모두 아프지말고...ㅜㅜ 끝까지.화이팅,2023.05.08
17,해적,5,쩡쑤는 쩡쑤대로 재밌습니다,쩡쑤가 보여주는 다른 느낌의 해적이 좋아요려후와 쩡쑤 려쑤와 쩡후 다 다른 맛 해적초연때 다르게 다양한 해적을 볼 수 있어서23해적이 너무 소중합니다ㅠㅜ,2023.05.08
18,해적,5,해적들의 황금시대 이야기,해적들의 황금시대와 해적들이 몰락하는그 시간을 다 목격한 진짜 해적 이야기해적 볼때마다 눈물이 마르지를 않아요진짜 재미있는데 계속 오래 보고싶어요,2023.05.08
19,해적,5,어린이날 최고의 선물 해적 려후,려후 볼때마다 재밌지만 진짜 재밌습니다,2023.05.08
20,해적,5,동화같은 아름다운 공연,넘버도 너무 좋고 감동적인 이야기입니다,2023.05.08
21,해적,5,해적,너무재밌는해적♡,2023.05.08
22,해적,5,루이스의 이야기,루이스가 기록한 모두의 이야기 재미있고 좋았어요,2023.05.08
23,해적,5,재미있었어요,루이스를 사랑하게 된 것 같아요,2023.05.08
24,해적,5,재밌어요!,신나고 웃기고 슬프고 감동적인 뮤지컬,2023.05.08
25,해적,5,너무 재밌어요!,두 명의 배우가 보여주는 네 인물들의 이야기.. 넘버가 너무 좋고 재미있어요!,2023.05.08
26,해적,5,마참내!!!!! 재밋다 ,우와 너무너무 재밋다 이런건 백번은 봐줘야 해요,2023.05.08
27,해적,5,재밌었어요,배우들이너무잘해요,2023.05.08
28,해적,5,해적,우린 모두 해적이 된다고 했어!,2023.05.08
29,해적,5,해적,우리 마을에서 가장 잘생긴 사람은 김이후 루이스였어,2023.05.08
30,해적,5,재밌었어요,아주 재미있었숩니다,2023.05.08
31,해적,5,해적,보면 볼수록 재밌어요,2023.05.08
32,해적,5,해적,이제 이쯤보면 그만 재미있어야하는데 왜 이렇게 매번 재미있고 매번 훌쩍이며 나오는 걸까요?,2023.05.08
33,해적,5,정동화 김대현?,갓페어.. 이 비극적인 동화를 제가 어떻게 이해해야할까요 진짜 엉엉 울면서 극장에 눌러 앉고싶은데요...,2023.05.08
34,해적,5,해적,2023시즌 오슷이랑 딥디가 제발 나오면 좋겠어요. 공연 너무 재밌었어요! 해적 짱!,2023.05.08
35,해적,5,꿈을 꾸지 않을 수 없는 공연,사랑해서 계속 살아가는 이야기 너무 재밌어요,2023.05.08
36,해적,5,와우,오늘 정말 배우님들 감정선도 좋고 대사톤도 좋고 완벽하네요. 또 보러 가는데 그 날도 잘했으면 좋겠어요!!,2023.05.08
37,해적,5,해적,보고 나면 찐한 여운이 남는 극...,2023.05.08
38,해적,5,재밌어요!,정말 재미있게 봤어요해적은 시즌마다 보는데이번에도 역시 후회하지 않고 잘 봤어요 ㅋㅋㅋㅋ,2023.05.08
39,해적,5,����,����� �;�� ����� ���� ��� �� ����;�� ��,2023.05.08
40,해적,5,려후는 장르다,장르다......,2023.05.08
41,해적,5,만족스러운 뮤지컬,즐거웠습니다,2023.05.08
42,해적,5,진짜 해적은 울지않아,이 손을 놓치는거야,2023.05.08
43,해적,5,재밌어요,극도 재밌고 배우들이 다 너무 잘해서 더 재밌었어요,2023.05.08
44,해적,5,오랜만의 주꽃!,오랜만에 보는 주꽃이 너무 좋고 반갑고...>.< 티키타카야 말할 것도 없고 화음 극락에... 애드립 주고받는거 진짜 ㅋㅋㅋㅋ 웃다가 울다가....그러고 나왔어요..ㅠ.ㅠ  역시 주꽃주꽃!!!,2023.05.08
45,해적,5,또 보고싶어요,정말이지 끝내주는 어린이날이었네요,2023.05.08
46,해적,5,항상 같이 승선하는 기분,물론 내리고 나면 눙물이 나요 정말... 아름다운 이야기였어...,2023.05.08
47,해적,5,너무 재밌어요,내용도 알차고 노래도 알차네요,2023.05.08
48,해적,5,추천합니다.추천합니다.추천합니다.추천합니다.,추천합니다.추천합니다.추천합니다.추천합니다. 추천합니다.추천합니다.추천합니다.추천합니다. 추천합니다.추천합니다.추천합니다.추천합니다. 추천합니다.추천합니다.추천합니다.추천합니다.,2023.05.08
49,해적,5,재밌어요,극도 재밌고 배우들이 다 너무 잘해요,2023.05.08
50,해적,5,해적,너무 재미있게 잘 봤어요 적극 추천합니다,2023.05.08
51,해적,5,육지에서 길을 잃은 사람들,해적들의 지상낙원이 여기있어요,2023.05.08
52,해적,5,해적들의 이야기,짭해적이니까 울수밖에 없는거야...,2023.05.08
53,해적,5,해적의 황금시대 이야기,"갑작스레 변경된 캐스팅이었지만  그래도 정동화 배우님의 열연으로 너무너무 감동하고 나왔습니다. 우리는 이렇게 성장하는 거겠지요   최석진배우님도 쾌차하시길 바라며, 캐스팅 변경에 도움을 주신 정동화 배우님, 정연 배우님, 김이후배우님, 김수연 배우님 모두 힘내세요!",2023.05.08
54,해적,5,좋아요,좋아요,2023.05.08
55,해적,5,해적의 황금시대 이야기,비록 마지막은 슬플지라도 마지막까지의 가는 항해는 너무 아름답고 찬란한 것 같아요 이제 한달밖에 안 남았다는게 너무 슬프네요ㅠㅠ,2023.05.08
56,해적,5,해적의 황금시대 이야기,주민진 잭과 주민진 메리는 감히 최고라고 할 수 있겠다. 우리 마을에서 가장 잘생긴 해적은 주민진이다. 그는 최고이다.,2023.05.08
57,해적,5,해적,"이번 시즌 새로운 캐스트인 정연잭/메리와 김수연루이스/앤 회차로 관극.정연잭의 아저씨같은 면모와 수연루이스의 순수소년미, 메리&앤의 카리스마까지 매력적인 캐릭터들과 극적인 이야기, 신나기도 하고 감성적이기도 한 멋진 넘버들이 참 좋았다. 그리고 후반부에서는 여지없이 눈물 줄줄. 꽤 많이 봐와서 울지 않을줄 알았는데, 쌓아온 감정들이 너무 절절해서, 그 짧은 시간동안 캐릭터들에게 정이 들어버려서 안울수가 없었다.",2023.05.08
58,해적,3,낭만적인 해적의 이야기,두 명의 배우로 2시간을 꽉 채우는게 대단해요! 막연히 동경할수 있는 해적들의 이야기를 눈물과 웃음과 감동을 담아 풀어냈어요.,2023.05.08
59,해적,5,해적,정동진!!! 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적 해적,2023.05.08
60,해적,5,너무 좋았어요ㅠㅠ,너무 좋았어요!! 보면서 짱많이 울었어요ㅠㅠ 애드립도 너무 재밌어서 많이 웃었어요!!,2023.05.08
61,해적,5,진짜 최고예요,계속 보고싶을정도로 너무 좋았어요배우님들 감정선도 애드립도 진짜 짱이었어요!!,2023.05.08
62,해적,5,쩡쑤페어 도라방스,너무 좋아요해적 보고 울거라고 상상도 못했는데 눈물 났습니다,2023.05.08
63,해적,5,해적,해적의 황금시대 이야기 최초의 항해부터 마지막 항해까지 꿈을 꾸는,2023.05.08
64,해적,5,재미있음!!!,한번도 안 본 해적은 있어도 한번만 본 해적은 없다는 그 뮤지컬이 맞나요?,2023.05.08
65,해적,5,자상낙원,내 마음속에 그리는 멜로디속 지상낙원,2023.05.08
66,해적,5,너무 재밌다..,제가 앉을 자리가 필요하다... 난.. 다시 해적선을 타야한다..,2023.05.08
67,해적,5,루이스의 꿈 이야기,어쩌면 루이스의 꿈 이야기 같지만 그 안에 작은 기적들을 담고 있는 너무너무 사랑스럽고 아름다운 극이입니다 정말 좋아요 ㅠㅠ 해적 최고,2023.05.08
68,해적,5,진짜 해적은 울지않아,저는 짭해적이니까 그냥 울게요...ㅠㅠㅠㅠㅠㅠ,2023.05.08
69,해적,5,항해일지,나도 배타고 싶다,2023.05.08
70,해적,5,주민진 정동화는 최고다,주민진 정동화 페어 너무 최고입니다. 이 페어는 해적 하려고 태어난 페어임이 틀림없다...ㅠㅠ 어쩜 그리 티키타카가 잘 맞는지 후 최강 페어 주민진 정동화 ..,2023.05.08
71,해적,5,재밌는극,바다소리가 가득해지는 극,2023.05.08
72,해적,5,캐스팅 변경되었지만..,캐스팅 변경 되었지만 재밌게 잘 봤어요! 굿굿,2023.05.08
73,해적,5,왜 이렇게 인기가 많은 작품인지 보고나서야 알았습니다.,대학로에서 꽤나 유명한 작품인데 처음 보게되었어요. 소문만큼 재밌었고 웃고 울고 다 하게 하는 작품이었어요. 추천합니다.,2023.05.08
74,해적,5,이제야 만났는데,마침내 살 고 싶 은 데 내가 찾아나선 위대한 바다 내가 잃어버린 뜨거운 바다 내 심장을 토하기 전에 내 심장을 찔 러 다 오,2023.05.08
75,해적,4,아저씨 최고,멋있어요,2023.05.08
76,해적,5,지ㅢㅅ니,지디디디ㅢㅡ,2023.05.08
77,해적,5,해적,우리 마을에서 제일 잘생긴 사람은 해적이었어 !!!,2023.05.08
78,해적,5,ㅠㅠㅠㅠㅠㅠㅠ,두 배우님 너무 짱이에여ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2023.05.08
79,해적,5,해적 후기,비록 캐스팅 변경의 이슈가 있었지만 극만큼은 최고. 최석진 배우가 무사히 완쾌하길 바랍니다.,2023.05.08
80,해적,5,재밌어요,해적이야 유명한 뮤지컬이니까 ㅎㅎ재밌게 잘 봤습니다,2023.05.08
81,해적,5,역시 해적,너무 재밌었어요,2023.05.08
82,해적,5,이렇게 웃다가 이렇게 울 수 있나,신기하고 새로운 경험,2023.05.08
83,해적,5,해적,해적들의 황금시대 이야기!내용도 재밌고 연기도 재밌어여 ㅎㅎ,2023.05.08
84,해적,5,믿고보는 해적,언제나 레전입니다,2023.05.08
85,해적,5,최고,진짜짱입니다,2023.05.08
86,해적,5,존잼이에요,넘버 최고 배우들 최고ㅜㅜㅜㅜ,2023.05.08
87,해적,5,재미있네요,넘버도 좋고 배우 연기도 좋아요,2023.05.08
88,해적,3,좋아요,이제 막공까지 회차가 별로 없다는게너무 아쉬워요ㅠㅠ,2023.05.08
89,해적,5,잘 봤어요,재밌네요,2023.05.08
90,해적,5,청소년도 영업,청소년도 재관람을 하게 만드는 해적의 힘!,2023.05.08
91,해적,5,진짜 최고,스토리도 배우도 무대도 조명도 넘버도 모두 최고입니다 ㅜㅜ,2023.05.08
92,해적,5,진짜 해적은 울지 않아,난 울어,2023.05.08
93,해적,5,잘봣어요,이게 될란가 모르겟어요 해적 너무  재미있어요,2023.05.08
94,해적,5,댄꽃짱,짱짱!!,2023.05.08
95,해적,5,머글 영업,머글도 재관람을 원한 공연!,2023.05.08
96,해적,5,재밌어요!,배우들최고,2023.05.08
97,해적,3,좋아요,끝나가는게 너무 아쉬워요ㅠㅠㅠ,2023.05.08
98,해적,5,재밌어요,배우들최고,2023.05.08
99,해적,4,선장님 너무 멋있어요,선장님 최고입니다! 넘버도 너무 좋아요,2023.05.08
100,해적,5,려후 최거,진짜 또 보고싶은 조합,2023.05.08
101,해적,5,아모로소,베클렘트,2023.05.08
102,해적,5,자부심,"해적을 보았다는, 해적을 추천했다는 자부심!",2023.05.08
103,해적,5,재밌어요,재밌어요,2023.05.08
