,musical_title,rate,review_title,review_text,review_date
0,스위니토드,5,스위니토두,감동적인 공연이었습니다 배우님들 최고..ㅠㅠ,2023.04.16
1,스위니토드,5,스위니토드,감동적인 공연이었습니다 배우님들 최고..ㅠㅠ,2023.04.16
2,스위니토드,5,재밌어요,너무 재밌었습니다??,2023.04.04
3,스위니토드,5,재밌어요,너무 재밌었습니다!,2023.04.03
4,스위니토드,3,조금 아쉬웠어요. ,"영화 스위니토드를 워낙 좋아해서 기대를 많이 하고 갔어요~물론 배우분들께서 노래를 다 너무 잘 해주셨고, 특히 조안나 역할을 맡으신 배우분 음색이 너무 예뻤어요.그런데 런던의 배경이 잘 묘사되었던 영화를 보다가 공간이 제한된 뮤지컬 무대를 보니, 런던거리 묘사가 좀 아쉬웠어요.그리고, 판사 터핀의 고뇌 장면은 영화에는 나오지 않는 장면이었는데..좀 징그러웠어요ㅠㅠ 노래는 좋았는데 교차 부분에서 서로 뒤엉켜서 가사 전달이 잘 되지 않은 점이 아쉬웠어요.",2023.04.02
5,스위니토드,5,완벽,훌륭한 조명의 사용. 커튼이 찢어지는 듯한 파격적인 시작. 불협화음을 아름답게 변주하는 패기. 불안하고 난폭하여 정서적으로 불안정한 토드의 등장. 신성록 배우의 건장한 체구로 강하고 듬직한 느낌이 듦. 신성록 배우의 저음이 날이 갈수록 훌륭해지는게 보임. 전미도 배우의 발성이 상당히 깔끔하고 아름다움. 연기력 또한 환상적임. 표정이나 행동에서 한치의 어색함도 보이지 않음. 새소리를 플룻으로 연출. 진태화 배우의 박자가 불안하고 호흡이 딸리는 모습을 확인. 조명으로 완전한 반전을 줌. 5-4대형의 앙상블 배치. 악인의 기도로 더 큰 증오를 불러일으킴. 높고 강한 고음으로 살인의 장면을 표현. 조명으로 공간을 단절시킴. 색으로 아주 가까운 거리의 두 공간을 구분하는게 인상적임. 신성록 배우의 광기가 제대로 살아있음. '윗놈이 아랫놈의 식사거리' 클리셰 확인. 개인적으로 최고의 넘버는 A Little Priest임. 인터미션 때 무대를 공개함. 계단을 이용해 무대가 4층까지 있지만 주된 서사는 1층과 2층에서 일어남. 신성록 배우가 음을 살짝 내려서 시작하고 올라가는 음을 냄. 정말 살짝이지만 센스와 기교로 받아들일 수 있음. 전미도 솔로 넘버가 최고임. 조명이 이동하는게 아니라 조명 내의 패턴이 이동하는것으로 움직이는 듯한 연출을 함. 예측 불가한 서사의 진행.,2023.04.02
6,스위니토드,5,쌍따봉!!!!,내1순위 뮤지컬이 바뀌었어요 ㅎㅎㅎㅎ,2023.03.28
7,스위니토드,5,역시!!,역시 강필석배우님 연기는 섬세해서 감정이입하기 좋아요.,2023.03.28
8,스위니토드,5,전미도배우님 최고!,신성록배우님 팬인데 전미도님께 더 매료되버렸습니다. 워낙 두분다 잘하시는분이기에 말해모해지만 극중 집중력을 최고로 끌어올려주신 전미도배우님께 무한 감사박수 보내고싶습니다.,2023.03.27
9,스위니토드,5,귓가에 맴도는 그의 이름 스위니 토드,영화에 이은 뮤지컬까지 관람 했는데아직도 귓가에 맴도는 넘버들이 너무 좋아요,2023.03.26
10,스위니토드,5,스티브 손드하임은 천재,진짜 불협화음에서 나오는 조화가 진짜 최고,2023.03.24
11,스위니토드,5,감동!!!,전미도이규형 배우의 연기를 눈앞에서 볼 수 있었다는게 넘 행운이었어요 스위니토드의 고통과 광기가 고스란히 느껴지고 미도님의 완벽한 러빗부인은 너무나도 사랑스러웠어요.  짱짱,2023.03.23
12,스위니토드,5,스위니토드,스위니토드,2023.03.20
13,스위니토드,5,좋았어요,ㅡ배우들 넘잘했어요,2023.03.20
14,스위니토드,5,강추,너무 재밌게 잘 봤습니다,2023.03.20
15,스위니토드,5,감사한 시간,"몇 날 며칠 산책해서 그래도 앞열 잡아 갔답니다 이 사람들의 막공을 본 것 아직도 너무 가슴이 벅차요 물론 티켓을 잃어버려서 울 뻔 했지만 ㅠㅠㅠㅠ  제 맘속에, 머릿 속에 있으니까요..  마음이 생생한 것과는 별개로 시간은 얼마 되지 않았네요, 아직 같은 3월이라니. 다음 스위니에도 꼭 와주세요 배우님들!",2023.03.20
16,스위니토드,5,이발사 탈은 쓴 악마,아직도 노래가 귀에 맴돌아요,2023.03.20
17,스위니토드,5,스위니토드,뮤지컬계의 교과서같은극!,2023.03.20
18,스위니토드,5,재밌었어요,재밌어요,2023.03.20
19,스위니토드,5,재미있었어여,또보고싶음 ㅠㅠ,2023.03.20
20,스위니토드,5,재밌네여,재밌어요,2023.03.19
21,스위니토드,5,재미있었어요,재미있었어요,2023.03.19
22,스위니토드,5,좋아요 ,재밌어요,2023.03.19
23,스위니토드,5,파이맛집,보는내내 몰입감이 남달랐습니다.영화나 책보다좀더 생생하게 감정이 느껴졌어요배우님들 연기도 아주 훌륭했습미다.파이 맛집이네요 :),2023.03.19
24,스위니토드,5,잘 봤습니다,좋았어요,2023.03.19
