,musical_title,rate,review_title,review_text,review_date
0,영웅,5,역시 영웅!,내인생 첫 뮤지컬이었는데 역시 영웅이네요! 웅장함과 감동에 너무 좋은 공연이었습니다!,2023.05.06
1,영웅,5,역시 영웅은 영웅!,보면서 전율이 몇번이나 흘렀는지 모르겠네요 ㅎㅎ  정재은님의 노래와 연기는 진짜..  소름 그 자체였습니다!  클라이막스는 역시 누가 죄인인가 부분..  기념일에 여자친구와 즐겁게 관람하고 좋은 경험이 되었습니다^^,2023.05.06
2,영웅,5,최고의 선물!!,어린이날 선물로 선택했던 뮤지컬 영웅!마침 이벤트로 부르마불 선물주셔서 감사했어요!!어린이날이라 아이동반 많았고 거의 전석 매진으로 알고 있었는데요!그만큼 사람 진짜 많았는데 아이들 몰입해서 조용히 얌전히 너무 잘 봤어요!! 제 아이도 숨죽여 잘 관람했고 장면 바뀔때마다 뜨거운 박수!!마지막 끝나고 전원기립박수 치고 배우님들 인사하며 노래 부를때 정말 뜨거웠습니다!!왜 N회차 관람하시는지 알거 같아요!저도 10여년만에 뮤지컬 본건데 기술의 발전! 진짜 너무 멋있고 영화랑 또 다른 매력으로 푹 빠졌네요!Ost cd 구입해서 돌아오는 차 안에서 크게 따라 부르고아직도 여운이 많이 남네요! 또 보러갈께요!,2023.05.06
3,영웅,5,영웅 관람후기,제대로 된 뮤지컬을 처음 관람한거나 마찬가지인데현장의 그 여운과 생생함이 아직도 안잊혀지네요ㅠㅠ내용도 너무나 훌륭해서 추천하고 무대구성도 좋아서 입틀막하고 관람했습니다 ㅎㅎ,2023.05.06
4,영웅,5,그냥 최고의 뮤지컬,"안 본 눈 삽니다,,",2023.05.06
5,영웅,5,어린이날 관람,거의 전석이 꽉 차고 어린이날이라 어린이 관람객이 많아서 혹시나 걱정했는데.. 뮤지컬이 시작되면서부터 전 관객이 몰입했고 기대만큼 너무나 훌륭한 공연이었어요. 양준모 배우님 정말 최고! 조용히 집중해준 어린이 관람객들도 모두 최고!,2023.05.06
6,영웅,5,감격의 공연,"감동의 뮤지컬,, 앙상블과 무대, 환상적인 조화",2023.05.06
7,영웅,5,재관람했어요,보고 또 봐도 또 보고 싶은 공연입니다.감동 그 자체였어요.,2023.05.06
8,영웅,5,재관람도 역시!,보고 또 봐도 또 보고 싶은 공연입니다.다음에 또 볼 거예요!,2023.05.06
9,영웅,5,역시 영웅 넘 감동이었어요!!!,어린이날 이벤트 덕분에 아이와 의미있는 어린이날을 보낸것 같네요^^웅장한 사운드에 카리스마 넘치는 연기력에 감탄하고 안중근 의사의 삶이 고스란히 전해져 감동받고 왔어요.아이도 좋았고 멋있었다고 하는데...아이보다 제가 더 좋았네요 ㅎㅎㅎ,2023.05.06
10,영웅,5,초등학생 아이와 역사공부하며 봤어요.,"초등학교 3학년 아이와 어린이날 기념으로 함께 봤어요~ 할인프로모션 정말 최고였습니다! 다시 한번 감사드려요.유튜브 통해 '누가 죄인이가' '장부가'등의 넘버는 몇번 같이 본 적 있어서 친근했어요. 매체에서 보던 모습을 실제로 보니 더 신기해했던 것 같아요.내용 자체로 의미있고 또 탄탄한 스토리와 심금을 울리는 음악과 배우님들의 열연, 그리고 화려한 스케일이 모두 완벽한 뮤지컬이네요. (특히 무대효과 너무 멋있어요! 하얼빈행 열차씬 보면서 너무 멋지다고 생각했어요.)무엇보다도, 양준모 배우님 너무 카리스마있고 정말 많이 멋지셔서 개인적으로 엄마가 팬이 되었어요^^",2023.05.06
11,영웅,5,기대하고 있습니다,"정성화, 양준모, 민우혁 모두모두 감동을 주네요^^",2023.05.06
12,영웅,5,좋았어요,부모님모히고갔는데 너무좋아하시걸ㄹ구요,2023.05.06
13,영웅,5,너무 좋았어요,오래전에 보고 어린이날을 맞아 다시갔는데 아이도 좋았다고하더라구요,2023.05.06
14,영웅,5,몇번을봐도 끝내주는 영웅,"어느 한 장면도 버릴 게 없는처음부터 끝까지 몰입감 끝내주는 영웅...양준모님, 서영주님... 정말 최고입니다.",2023.05.06
15,영웅,5,볼수록 더 빠져드는 뮤지컬!!,"오늘 또 보고왔습니다. 정성화,민우혁, 그리고 오늘 양준모 배우님까지ㅠㅠ 3번을 봐도 매번 감동이 다른데 오늘은 진짜 레전드였어요ㅠㅠ 양준모 배우님 팬이 되었어요 ㅠㅠ 뮤지컬 영웅!! 대한민국 국민이라면 꼭 봐야하는 뮤지컬!! 넘버소화력은 말모~!! 내공있는 배우들의 섬세한 연기로 무대위 배우와 하나가 된 관객들!! 깊이있고 진하게 전달되는 감정에 계속 흐르는 눈물ㅠㅠ 하지만 울수없었습니다. 눈물로 무대가 흐려져 밀도있는 무대연기를 놓치기 싫어서요 ㅠㅠ 무엇보다 공연횟수가 하루하루  늘어갈 수로 무대의 완성도는 100% 120 150%를 넘어서니 앞으로 공연보실 분들~ 복받으신겁니다????????????",2023.05.06
16,영웅,5,너무너무좋았어요,너무 멋진 공연이었어요.양준모님은 말할 필요가 없고설희역 린지님 목소리 너무 예쁘고 좋았습니다.,2023.05.06
17,영웅,5,짱!!!,와!!!!!! 최고예요!!!!!,2023.05.06
18,영웅,5,영화보다 더 멋진~고막힐링은 이거죠~??,영화 영웅을 보지는 않았어요~아들아이가 영화른 보고 너무좋아해서 보고 왔는데...~ 눈에서하트가 뿅~뿅~~나오는데...노래도 좋고 영화 OST 듣다가살짝 불만이였는데 공연보면서그 불만이 쫘~악~해소되는 기분였씀돠~~????보고오길 너무 잘했단 생각이 마구마구드는 중임니당~~??,2023.05.05
19,영웅,5,뮤지컬영웅은 사랑입니다♡,아이가 영웅에 빠져서 또 보고싶대요,2023.05.05
