year,title,place,duration,playtime,playage,gender_ratio,age_ratio
2023,뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),블루스퀘어 신한카드홀,2022.12.16 ~2023.03.05,170분(인터미션 20분 포함),14세 이상 관람가,"[20.8, 79.2]","[5.1, 33.1, 33.5, 19.6, 7.2]"
2023,뮤지컬 〈맘마미아!〉,충무아트센터 대극장,2023.03.24 ~2023.06.25,160분(인터미션 20분 포함),8세이상 관람가능,"[26.2, 73.8]","[2.4, 25.5, 27.6, 27.8, 13.7]"
2023,뮤지컬 〈영웅〉 - 블루스퀘어,블루스퀘어 신한카드홀,2023.03.17 ~2023.05.21,160분(인터미션 20분 포함),8세이상 관람가능,"[26.3, 73.7]","[3.3, 29.2, 32.7, 26.3, 7.5]"
2023,뮤지컬 〈베토벤; Beethoven Secret〉,예술의전당 오페라극장,2023.01.12 ~2023.03.26,165분(인터미션 20분 포함),8세이상 관람가능,"[24.5, 75.5]","[3.7, 29.1, 32.8, 23.5, 9.2]"
2023,뮤지컬 데스노트 (The Musical Death Note),샤롯데씨어터,2023.03.28 ~2023.06.18,170분(인터미션 20분 포함),14세 이상 관람가,"[15.1, 84.9]","[8.2, 43.4, 28.7, 13.5, 5.2]"
2023,뮤지컬 〈오페라의 유령〉 - 부산,부산 드림씨어터,2023.03.25 ~2023.06.18,150분(인터미션 20분 포함),만 7세이상,"[17.6, 82.4]","[2.6, 26.8, 31.3, 27.2, 10.2]"
2023,뮤지컬 〈마틸다〉,대성 디큐브아트센터,2022.10.05 ~2023.02.26,160분(인터미션 15분 포함),8세이상 관람가능,"[15.5, 84.5]","[5.6, 26.8, 25.2, 37.2, 4.4]"
2023,뮤지컬 〈레드북〉,홍익대 대학로 아트센터 대극장,2023.03.14 ~2023.05.28,160분(인터미션 15분 포함),중학생이상 관람가,"[14.0, 86.0]","[4.7, 49.1, 28.9, 12.5, 4.0]"
2023,뮤지컬 〈시카고〉 25주년 기념 오리지널 내한,블루스퀘어 신한카드홀,2023.05.27 ~2023.08.06,150분(인터미션 20분 포함),14세 이상 관람가,"[24.8, 75.2]","[3.4, 41.5, 29.4, 15.5, 8.5]"
2023,뮤지컬 〈스위니토드〉,샤롯데씨어터,2022.12.01 ~2023.03.05,170분(인터미션 20분 포함),14세 이상 관람가,"[18.0, 82.0]","[9.8, 40.6, 27.9, 15.3, 5.6]"
2023,뮤지컬 ＇영웅＇,LG아트센터 서울 LG SIGNATURE 홀,2022.12.21 ~2023.02.28,160분(인터미션 20분 포함),8세이상 관람가능,"[26.9, 73.1]","[4.7, 31.7, 31.8, 24.4, 6.6]"
2023,뮤지컬 〈여신님이 보고 계셔〉 10th Anniversary,대학로 유니플렉스 1관,2022.11.08 ~2023.03.01,120분,만 10세이상,"[4.3, 95.7]","[7.8, 48.8, 31.3, 9.1, 2.4]"
2023,2023 뮤지컬 〈광염 소나타〉,드림아트센터 1관,2023.03.13 ~2023.06.04,90분,중학생이상 관람가,"[3.2, 96.8]","[5.4, 44.2, 33.9, 12.4, 2.8]"
2023,뮤지컬 〈베토벤; Beethoven Secret〉 SEASON 2,세종문화회관 대극장,2023.04.14 ~2023.05.15,170분(인터미션 20분 포함),8세이상 관람가능,"[25.1, 74.9]","[3.2, 27.6, 32.8, 25.6, 9.5]"
2023,뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,세종문화회관 대극장,2023.01.20 ~2023.03.12,160분(인터미션 20분 포함),8세이상 관람가능,"[27.7, 72.3]","[3.2, 26.3, 27.7, 29.1, 11.7]"
2023,〈식스〉 더 뮤지컬,coex 신한카드 artium,2023.03.31 ~2023.06.25,80분,중학생이상 관람가,"[13.4, 86.6]","[3.8, 43.8, 33.6, 12.9, 5.0]"
2023,뮤지컬 〈해적〉,서경대학교 공연예술센터 스콘1관,2023.03.07 ~2023.06.11,110분,중학생이상 관람가,"[5.0, 95.0]","[5.9, 52.0, 30.0, 8.7, 2.2]"
2023,뮤지컬 〈빨래〉,대학로 유니플렉스 2관,2023.02.09 ~2023.10.01,165분(인터미션 15분 포함),14세 이상 관람가,"[28.5, 71.5]","[6.6, 43.1, 25.6, 14.9, 8.6]"
2023,뮤지컬 〈이프덴〉,홍익대 대학로 아트센터 대극장,2022.12.08 ~2023.02.26,165분(인터미션 15분 포함),16세 이상 관람가,"[11.1, 88.9]","[7.7, 49.3, 27.5, 10.4, 3.9]"
2023,뮤지컬 〈웨스트 사이드 스토리〉,충무아트센터 대극장,2022.11.17 ~2023.02.26,175분(인터미션 20분 포함),14세 이상 관람가,"[12.2, 87.8]","[6.2, 34.5, 29.5, 19.1, 8.9]"
2023,뮤지컬 〈결투〉,드림아트센터 2관,2023.02.05 ~2023.04.17,110분,만 12세이상,"[3.2, 96.8]","[3.4, 45.0, 36.7, 9.9, 2.5]"
2023,뮤지컬 〈윌리엄과 윌리엄의 윌리엄들〉,대학로 아트원씨어터 2관,2023.03.08 ~2023.05.28,100분,12세이상,"[4.2, 95.8]","[5.2, 42.1, 34.4, 13.7, 3.5]"
2023,와일드 와일드 〈드림〉,와일드 와일드 전용관 (명보아트홀),2022.09.16 ~2023.09.10,75분,만 19세이상,"[1.1, 98.9]","[1.8, 39.4, 42.3, 13.9, 2.3]"
2023,뮤지컬 〈미드나잇 : 앤틀러스〉,플러스씨어터,2023.01.31 ~2023.04.23,90분,14세 이상 관람가,"[5.1, 94.9]","[6.7, 49.5, 31.2, 9.3, 2.4]"
2023,뮤지컬 〈로빈〉,대학로 TOM(티오엠) 1관,2023.01.09 ~2023.04.09,100분,8세이상 관람가능,"[6.4, 93.6]","[5.2, 46.6, 31.9, 11.9, 3.4]"
2023,뮤지컬 〈데미안〉,드림아트센터 3관,2023.01.15 ~2023.03.26,90분,8세이상 관람가능,"[6.0, 94.0]","[7.9, 49.7, 30.8, 8.5, 2.5]"
2023,뮤지컬 〈캣츠〉 오리지널 내한 - 대구（Musical CATS）,계명아트센터,2023.03.31 ~2023.04.08,160분(인터미션 20분 포함),8세이상 관람가능,"[26.1, 73.9]","[1.6, 22.5, 30.3, 34.9, 9.5]"
2023,뮤지컬 〈호프 : 읽히지 않은 책과 읽히지 않은 인생〉,대학로 유니플렉스 1관,2023.03.16 ~2023.06.11,110분,중학생이상 관람가,"[10.6, 89.4]","[5.8, 48.1, 28.6, 12.0, 4.9]"
2023,뮤지컬 〈일라이〉,링크아트센터 페이코홀,2023.02.10 ~2023.04.30,150분(인터미션 15분 포함),16세 이상 관람가,"[4.0, 96.0]","[6.4, 47.6, 33.6, 10.0, 1.7]"
2023,뮤지컬 〈비밀의 화원〉,국립정동극장(서울),2023.03.10 ~2023.04.30,100분,8세이상 관람가능,"[10.3, 89.7]","[7.6, 44.9, 30.7, 13.2, 3.0]"
