musical_title,rate,review_title,review_text,review_date
뮤지컬 〈머더 발라드〉,5,진짜 미쳤다,너무 강렬하고 여운이 길다,2021.03.03
뮤지컬 〈머더 발라드〉,5,머발,최고에요,2021.03.01
뮤지컬 〈머더 발라드〉,4,너무 재밌었어요,완전 재밌었습니다!,2021.02.24
뮤지컬 〈머더 발라드〉,5,티켓팅넘나힘든것 ㅠㅠㅠ,하지만그만한가치가있는작품,2020.12.09
뮤지컬 〈머더 발라드〉,5,현장감!!!!!!,배우들 혹시 헛디뎌 다치진 않을지 조마조마하면서 봤어요 운좋게 밴드 바로 옆에 앉게 되어 귀 호강하고 왔습니다 극 줄거리는 개인적으로 개연성이 약해 의아했지만 배우들이 워낙 잘해주셔서 극 내내 홀렸던거 같아요,2020.12.07
뮤지컬 〈머더 발라드〉,5,머더발라드,머더발라드,2020.12.07
뮤지컬 〈머더 발라드〉,5,너무~,나쁘신분들~~이렇게 오래 기다리게 하시다니요다행히 연장공연을 하셔서만날수가 있었네요코로나로 힘든 상황에서도열공해 주셔서 감사했습니다.빨리 다시 만나요 ^-^,2020.12.05
뮤지컬 〈머더 발라드〉,4,머더발라드,재밌게 봤습니다~,2020.11.30
뮤지컬 〈머더 발라드〉,5,좋아요,좋아요,2020.11.30
뮤지컬 〈머더 발라드〉,5,좋아요,좋아요,2020.11.30
뮤지컬 〈머더 발라드〉,5,좋아요,좋아요,2020.11.30
뮤지컬 〈머더 발라드〉,5,좋아요,좋아요,2020.11.30
뮤지컬 〈머더 발라드〉,5,좋아요,좋아요,2020.11.30
뮤지컬 〈머더 발라드〉,5,좋아요,좋아요,2020.11.30
뮤지컬 〈머더 발라드〉,5,좋아요,좋아요,2020.11.30
뮤지컬 〈머더 발라드〉,5,좋아요,좋아요,2020.11.30
뮤지컬 〈머더 발라드〉,5,다음엔 더 신나게,함께 즐길수 있길,2020.11.30
뮤지컬 〈머더 발라드〉,4,너무 신나고 재밌었어요,커튼콜 신나는 그 순간다음에는 환호와 함께 즐기고 싶어요,2020.11.30
뮤지컬 〈머더 발라드〉,5,돌려줘,이번에 디비디 나온다길래 바로 예약했어요ㅠㅠ,2020.11.25
뮤지컬 〈머더 발라드〉,5,머더 발라드,탐 : 김경수 배우님 / 세라 : 김소향 배우님 / 마이클 : 에녹 배우님 / 나레이터 : 장은아 배우님,2020.11.25
뮤지컬 〈머더 발라드〉,5,머더 발라드,쇄롸~~~쇄애애애롸~~~~ 중독성 너무 좋았어요,2020.11.23
뮤지컬 〈머더 발라드〉,5,201115 머더발라드,머더발라드 OST 내주세요☆ 넘버가 너무 좋아요!!,2020.11.23
뮤지컬 〈머더 발라드〉,5,너무 재밌어요,송스루 뮤지컬 너무 재밌네요 시간가는줄 모르고 빠져들어봤습니다.  정말 재밌어요 ^-^!!!!,2020.11.23
뮤지컬 〈머더 발라드〉,5,강력추천,벌써끝난거같아 너무 아쉽습니다ㅠㅠ,2020.11.23
뮤지컬 〈머더 발라드〉,5,.,...,2020.11.23
뮤지컬 〈머더 발라드〉,5,머발 총막!! 말해뭐해 너무 좋았습니다,그러니까 오슷좀 내주세요 ㅠ 딥디보다 오슷 더 기다렸단 말이에욧,2020.11.23
뮤지컬 〈머더 발라드〉,5,배우 분들을 보고 싶어서 다시 한번 다녀왔다.,새로 본 배우 분들이었는데 정말 다른 느낌을 받을 수 있었고 넘버를 따라 부르기 어려워 아쉬웠지만 그만큼 들을 때 좋았다.,2020.11.23
뮤지컬 〈머더 발라드〉,5,머더발라드,잘 봤습니다,2020.11.23
뮤지컬 〈머더 발라드〉,5,신기한 경험,송스루 뮤지컬을 처음 본 것이라서 걱정을 좀 했었는데 나름 잘 들리고 이해하기 쉬워서 좋았다.소정화 배우님께 정말 많이 빠지게 한 뮤지컬이다.,2020.11.23
뮤지컬 〈머더 발라드〉,5,재밌게봤어요,재밌었어요,2020.11.23
뮤지컬 〈머더 발라드〉,4,진쨔 너무 행복했던 공연이었어요,좋은날 다시 만날수 있기를 진심으로 바라요!,2020.11.23
뮤지컬 〈머더 발라드〉,5,진쨔 너무 행복했던 공연이었어요,좋은날 다시 만날수 있기를 진심으로 바라요!,2020.11.23
뮤지컬 〈머더 발라드〉,5,진쨔 너무 행복했던 공연이었어요,좋은날 다시 만날수 있기를 진심으로 바라요!,2020.11.23
뮤지컬 〈머더 발라드〉,5,진쨔 너무 행복했던 공연이었어요,좋은날 다시 만날수 있기를 진심으로 바라요!,2020.11.23
뮤지컬 〈머더 발라드〉,5,진쨔 너무 행복했던 공연이었어요,좋은날 다시 만날수 있기를 진심으로 바라요!,2020.11.23
뮤지컬 〈머더 발라드〉,5,굿바이 고탐,네번정도 보니까 조금 지루하긴 했지만ㅠㅠㅠ그래도 배우님들 세종문화회관 천장 찢어버려~~~코로나에도 불구하고 볼 수 있음에 감사요,2020.11.23
뮤지컬 〈머더 발라드〉,5,굿바이 고탐,네번정도 보니까 조금 지루하긴 했지만ㅠㅠㅠ그래도 배우님들 세종문화회관 천장 찢어버려~~~코로나에도 불구하고 볼 수 있음에 감사요,2020.11.23
뮤지컬 〈머더 발라드〉,5,굿바이 고탐,네번정도 보니까 조금 지루하긴 했지만ㅠㅠㅠ그래도 배우님들 세종문화회관 천장 찢어버려~~~코로나에도 불구하고 볼 수 있음에 감사요,2020.11.23
뮤지컬 〈머더 발라드〉,5,굿바이 고탐,네번정도 보니까 조금 지루하긴 했지만ㅠㅠㅠ그래도 배우님들 세종문화회관 천장 찢어버려~~~코로나에도 불구하고 볼 수 있음에 감사요,2020.11.23
뮤지컬 〈머더 발라드〉,5,굿바이 고탐,네번정도 보니까 조금 지루하긴 했지만ㅠㅠㅠ그래도 배우님들 세종문화회관 천장 찢어버려~~~코로나에도 불구하고 볼 수 있음에 감사요,2020.11.23
뮤지컬 〈머더 발라드〉,5,굿바이 고탐,네번정도 보니까 조금 지루하긴 했지만ㅠㅠㅠ그래도 배우님들 세종문화회관 천장 찢어버려~~~코로나에도 불구하고 볼 수 있음에 감사요,2020.11.23
뮤지컬 〈머더 발라드〉,5,굿바이 고탐,네번정도 보니까 조금 지루하긴 했지만ㅠㅠㅠ그래도 배우님들 세종문화회관 천장 찢어버려~~~코로나에도 불구하고 볼 수 있음에 감사요,2020.11.23
뮤지컬 〈머더 발라드〉,5,굿바이 고탐,네번정도 보니까 조금 지루하긴 했지만ㅠㅠㅠ그래도 배우님들 세종문화회관 천장 찢어버려~~~코로나에도 불구하고 볼 수 있음에 감사요,2020.11.23
뮤지컬 〈머더 발라드〉,5,굿바이 고탐,네번정도 보니까 조금 지루하긴 했지만ㅠㅠㅠ그래도 배우님들 세종문화회관 천장 찢어버려~~~코로나에도 불구하고 볼 수 있음에 감사요,2020.11.23
뮤지컬 〈머더 발라드〉,5,굿바이 고탐,네번정도 보니까 조금 지루하긴 했지만ㅠㅠㅠ그래도 배우님들 세종문화회관 천장 찢어버려~~~코로나에도 불구하고 볼 수 있음에 감사요,2020.11.23
뮤지컬 〈머더 발라드〉,5,굿바이 고탐,네번정도 보니까 조금 지루하긴 했지만ㅠㅠㅠ그래도 배우님들 세종문화회관 천장 찢어버려~~~코로나에도 불구하고 볼 수 있음에 감사요,2020.11.23
뮤지컬 〈머더 발라드〉,4,형식이 독특해서인지 조금 아쉬웠습니다.,다 노래라니! 멋지잖아~집중력이 좀 떨어지는 내용이라 아쉬웠어요.배우들의 연기는 나무랄데 없었지만 몰입이 잘 안되고 내적으로 내용이 설득이 잘 안되더라고요. 결혼제도를 너무 장려하는 듯 느껴져 그런듯 합니다. 김경수씨 팬이라 보러갔는데 소정화씨 김려원씨 연기 멋지셨어요.,2020.11.23
뮤지컬 〈머더 발라드〉,5,행벅했습니다,빨리 다음 임무 투입 요망 ㅠ,2020.11.23
